basis,young_band,term,coef,se
ageband,22-25,hy_q1,-0.0632175060665421,0.018375100377773
ageband,22-25,hy_q2,-0.0368831632149327,0.0120650298303339
ageband,22-25,hy_q4,0.0915680397519738,0.0118130824488095
cohort,22-25,hy_q1,-0.0566543812634621,0.0187929322195607
cohort,22-25,hy_q2,-0.0323185925930153,0.0125701779939583
cohort,22-25,hy_q4,0.0664500400862496,0.0128269364863468
