"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",5.53850364571831e-05,2.06349221815289e-06,-1.64110639288898e-05,-1.6262404883361e-05,1.57375693689632e-05,2.92865289472528e-05
"q1_x_high_x_young",2.06349221815289e-06,0.000130669707114363,5.78032880002939e-05,-4.04776675539915e-05,7.4035513917986e-06,2.12363764067943e-05
"q2_x_high_x_young",-1.64110639288898e-05,5.78032880002939e-05,8.3479761210567e-05,4.24081472068429e-05,-3.26285165775568e-06,-4.69876139737357e-06
"q3_x_high_x_young",-1.6262404883361e-05,-4.04776675539915e-05,4.24081472068429e-05,0.000138694541942498,-1.81382901641433e-05,-3.92541786244769e-05
"interim_x_high_x_young",1.57375693689632e-05,7.4035513917986e-06,-3.26285165775568e-06,-1.81382901641433e-05,9.26354778906419e-05,0.000112872653916279
"post_x_high_x_young",2.92865289472528e-05,2.12363764067943e-05,-4.69876139737357e-06,-3.92541786244769e-05,0.000112872653916279,0.000241186430888656
