"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",6.68370601179427e-05,5.04111005676835e-07,-2.12090579590945e-05,-2.00121468740816e-05,1.86602427049276e-05,3.53957564788284e-05
"q1_x_high_x_young",5.04111005676835e-07,0.00016155262381733,7.17969853501335e-05,-5.23057386561298e-05,7.91371083519906e-06,2.85615688966691e-05
"q2_x_high_x_young",-2.12090579590945e-05,7.17969853501335e-05,0.000104156227277209,5.17786412027613e-05,-4.21313761617156e-06,-3.37109267654007e-06
"q3_x_high_x_young",-2.00121468740816e-05,-5.23057386561298e-05,5.17786412027613e-05,0.000171938485681116,-2.3064993519265e-05,-4.72990058631595e-05
"interim_x_high_x_young",1.86602427049276e-05,7.91371083519906e-06,-4.21313761617156e-06,-2.3064993519265e-05,0.00011172607118427,0.000136513556583703
"post_x_high_x_young",3.53957564788284e-05,2.85615688966691e-05,-3.37109267654007e-06,-4.72990058631595e-05,0.000136513556583703,0.000286370653802152
