"term","rbw_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rbw_x_high_x_young",5.60800337946729e-05,1.96699586464468e-06,-1.66777334619681e-05,-1.66342957026079e-05,7.19823237039805e-05,8.6027883214174e-05
"q1_x_high_x_young",1.96699586464468e-06,0.000130292703497949,5.71014284961881e-05,-4.183573694501e-05,9.12922261041797e-06,2.55900969536476e-05
"q2_x_high_x_young",-1.66777334619681e-05,5.71014284961881e-05,8.33467535136627e-05,4.23102171960361e-05,-2.01546859345051e-05,-1.96743778629039e-05
"q3_x_high_x_young",-1.66342957026079e-05,-4.183573694501e-05,4.23102171960361e-05,0.000139489454403878,-3.51921135369033e-05,-5.46919556591342e-05
"interim_x_high_x_young",7.19823237039805e-05,9.12922261041797e-06,-2.01546859345051e-05,-3.51921135369033e-05,0.000181250951891043,0.000216153239115888
"post_x_high_x_young",8.6027883214174e-05,2.55900969536476e-05,-1.96743778629039e-05,-5.46919556591342e-05,0.000216153239115888,0.000356024433511082
