young_band,outcome,arm,floor,level,n_firms,share_not_2019,share_three_digit,term,coef,se,n_obs,status,t,edu_coef,edu_se
22-25,stock,backward,1,uniform3,105646,0.06470416641802788,1.0,q1_x_high_x_young,-0.134657233304061,0.0113919389400867,25169616,ok,-11.820396335712468,,
22-25,stock,backward,1,uniform3,105646,0.06470416641802788,1.0,q2_x_high_x_young,-0.130341462272239,0.0091124511582372,25169616,ok,-14.303666489824403,,
22-25,stock,backward,1,uniform3,105646,0.06470416641802788,1.0,q3_x_high_x_young,-0.107083265763768,0.0117908389356491,25169616,ok,-9.081903870301062,,
22-25,stock,backward,1,uniform3,105646,0.06470416641802788,1.0,interim_x_high_x_young,-0.0182313583004735,0.0096516190958979,25169616,ok,-1.8889429969550016,,
22-25,stock,backward,1,uniform3,105646,0.06470416641802788,1.0,post_x_high_x_young,-0.057935067740461,0.0154770820337639,25169616,ok,-3.7432810405781423,-0.0408,0.015
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,rb_x_high_x_young,0.0155962620588381,0.0074778783094193,25073280,ok,2.08565336496486,,
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,q1_x_high_x_young,-0.134891362678059,0.011393162418673,25073280,ok,-11.839676967737836,,
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,q2_x_high_x_young,-0.130502049676978,0.0091106117108653,25073280,ok,-14.324180836435108,,
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,q3_x_high_x_young,-0.107145021408629,0.0117873575755695,25073280,ok,-9.089825325287322,,
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,interim_x_high_x_young,-0.0179944709986306,0.0096475290689529,25073280,ok,-1.8651896117669473,,
22-25,stock,backward,3,uniform3,105157,0.06421575706228758,1.0,post_x_high_x_young,-0.0574530093515139,0.0154684835263564,25073280,ok,-3.714197920799477,-0.0408,0.015
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,rb_x_high_x_young,0.0162513827483211,0.007485495319369,25237764,ok,2.1710497508788817,,
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,q1_x_high_x_young,-0.135550012285483,0.0114293585920183,25237764,ok,-11.859809209253829,,
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,q2_x_high_x_young,-0.130763320514629,0.0091304782051568,25237764,ok,-14.321628897901011,,
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,q3_x_high_x_young,-0.107070294580502,0.0118102629533485,25237764,ok,-9.06586881286542,,
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,interim_x_high_x_young,-0.0177516362506563,0.0096587796467876,25237764,ok,-1.8378756840736388,,
22-25,stock,forward,5,uniform3,105961,0.11257739671133965,1.0,post_x_high_x_young,-0.0580732043789515,0.0154933832728431,25237764,ok,-3.7482584246620023,-0.0408,0.015
