"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",0.000110933599663517,-2.26296624240359e-05,-3.82454609070954e-05,-1.82928272738485e-05,1.68434932616907e-05,1.88822268652239e-05
"q1_x_high_x_young",-2.26296624240359e-05,8.32495592212327e-05,6.92554668837865e-05,2.94140327718346e-05,-1.67277711392493e-05,-1.47082412806254e-05
"q2_x_high_x_young",-3.82454609070954e-05,6.92554668837865e-05,7.96330574759972e-05,4.82833164689924e-05,-8.40102546558596e-06,-1.83404767911823e-05
"q3_x_high_x_young",-1.82928272738485e-05,2.94140327718346e-05,4.82833164689924e-05,9.03332690450717e-05,1.09951160058074e-05,-2.01035755721008e-05
"interim_x_high_x_young",1.68434932616907e-05,-1.67277711392493e-05,-8.40102546558596e-06,1.09951160058074e-05,7.53818668770249e-05,7.470312114402e-05
"post_x_high_x_young",1.88822268652239e-05,-1.47082412806254e-05,-1.83404767911823e-05,-2.01035755721008e-05,7.470312114402e-05,0.000204109603946411
