spec,young_band,term,coef,se_employer,se_industry_hybrid,se_industry_complete,coef_employer_run,coef_match_4dp,n_clusters_complete,n_clusters_hybrid,n_firms,n_not_from_2019,n_unresolved,n_obs,status,edu_se_industry,t_industry
pooled,22-25,rb_x_high_x_young,0.0159026409405227,0.0074886603471222,,0.0112917213533978,0.0159026409405227,True,260,,104217,1716,489,24884226,ok,,1.4083451444484525
pooled,22-25,q1_x_high_x_young,-0.134787464953136,0.0114145829314069,,0.0391726998116066,-0.134787464953136,True,260,,104217,1716,489,24884226,ok,,-3.440852062823595
pooled,22-25,q2_x_high_x_young,-0.130545915915884,0.0091294443157106,,0.0220652247830612,-0.130545915915884,True,260,,104217,1716,489,24884226,ok,,-5.916364650683283
pooled,22-25,q3_x_high_x_young,-0.107186315695762,0.0118105653718988,,0.0350198960134053,-0.107186315695762,True,260,,104217,1716,489,24884226,ok,,-3.060726269853344
pooled,22-25,interim_x_high_x_young,-0.0179179369340303,0.0096626258479721,,0.0159866215588946,-0.0179179369340303,True,260,,104217,1716,489,24884226,ok,,-1.1208082250537268
pooled,22-25,post_x_high_x_young,-0.0577798336502001,0.0154935051191686,,0.0307160765422021,-0.0577798336502001,True,260,,104217,1716,489,24884226,ok,0.0302,-1.8810942071593673
pooled,26-30,rb_x_high_x_young,0.0183900247256397,0.0044229201167001,,0.0066829190426621,0.0183900247256397,True,263,,117090,2212,712,28077246,ok,,2.7517952272416193
pooled,26-30,q1_x_high_x_young,-0.0479646267899153,0.0034729535357405,,0.0114564626522965,-0.0479646267899153,True,263,,117090,2212,712,28077246,ok,,-4.186687308782923
pooled,26-30,q2_x_high_x_young,-0.0530060156588674,0.0028452154852973,,0.0062197694390688,-0.0530060156588674,True,263,,117090,2212,712,28077246,ok,,-8.522183366784615
pooled,26-30,q3_x_high_x_young,-0.0439262776938786,0.0025510388230449,,0.0065855178084994,-0.0439262776938786,True,263,,117090,2212,712,28077246,ok,,-6.670132701970143
pooled,26-30,interim_x_high_x_young,-0.0079610883383595,0.0057058017212049,,0.0084074291360646,-0.0079610883383595,True,263,,117090,2212,712,28077246,ok,,-0.9469111436466979
pooled,26-30,post_x_high_x_young,-0.0482395072048235,0.0103523581787355,,0.020788129945506,-0.0482395072048235,True,263,,117090,2212,712,28077246,ok,0.02,-2.320531347999004
gender,22-25,rb_x_high_x_young,0.0186318764664109,0.0086823318643641,,0.0126996634384632,0.0186318764664109,True,260,,104217,1716,489,38398914,ok,,1.4671157670195365
gender,22-25,rb_x_high_x_female,0.0128498281131678,0.002104902603,,0.0040877938073664,0.0128498281131678,True,260,,104217,1716,489,38398914,ok,,3.14346288455445
gender,22-25,rb_x_high_x_young_x_female,-0.0057049592838816,0.009392730417379,,0.0107932943311711,-0.0057049592838816,True,260,,104217,1716,489,38398914,ok,,-0.5285651543297252
gender,22-25,interim_x_high_x_young,-0.0112076118254517,0.0108996287957366,,0.0171670749294816,-0.0112076118254517,True,260,,104217,1716,489,38398914,ok,,-0.6528550653789299
gender,22-25,interim_x_high_x_female,0.0032680182520259,0.0022663864489741,,0.0038870438573823,0.0032680182520259,True,260,,104217,1716,489,38398914,ok,,0.8407464314608278
gender,22-25,interim_x_high_x_young_x_female,-0.0144440223321822,0.0090818222832219,,0.0082209175444349,-0.0144440223321822,True,260,,104217,1716,489,38398914,ok,,-1.7569842118122196
gender,22-25,post_x_high_x_young,-0.0170545156285412,0.017881866326603,,0.0351997400124833,-0.0170545156285412,True,260,,104217,1716,489,38398914,ok,0.0353,-0.48450686347379146
gender,22-25,post_x_high_x_female,0.0093246220288187,0.0039235551607813,,0.0082433304413282,0.0093246220288187,True,260,,104217,1716,489,38398914,ok,,1.1311716902757423
gender,22-25,post_x_high_x_young_x_female,-0.0858248170751674,0.0141980759680564,,0.0173500337049622,-0.0858248170751674,True,260,,104217,1716,489,38398914,ok,0.0179,-4.946665726108708
gender,22-25,q1_x_high_x_young,-0.131754185524538,0.0104335558220066,,0.033656652303712,-0.131754185524538,True,260,,104217,1716,489,38398914,ok,,-3.9146550980653174
gender,22-25,q1_x_high_x_female,0.0037890395632046,0.0013638619508781,,0.0021360642496507,0.0037890395632046,True,260,,104217,1716,489,38398914,ok,,1.7738415704603467
gender,22-25,q1_x_high_x_young_x_female,-0.0068932477791618,0.0077630788191013,,0.0222683880562927,-0.0068932477791618,True,260,,104217,1716,489,38398914,ok,,-0.3095530651673674
gender,22-25,q2_x_high_x_young,-0.124758553236164,0.009250414093963,,0.0236653928308311,-0.124758553236164,True,260,,104217,1716,489,38398914,ok,,-5.271771913020158
gender,22-25,q2_x_high_x_female,0.0010097043966335,0.0010704163009157,,0.0017495587551682,0.0010097043966335,True,260,,104217,1716,489,38398914,ok,,0.577119455777539
gender,22-25,q2_x_high_x_young_x_female,-0.0125821885565324,0.0059201651323404,,0.0126216476750049,-0.0125821885565324,True,260,,104217,1716,489,38398914,ok,,-0.9968736951396098
gender,22-25,q3_x_high_x_young,-0.0802126943168277,0.0109968992366704,,0.0303799138824359,-0.0802126943168277,True,260,,104217,1716,489,38398914,ok,,-2.640320003118987
gender,22-25,q3_x_high_x_female,0.0044927873378378,0.0012782855474472,,0.0021338328655172,0.0044927873378378,True,260,,104217,1716,489,38398914,ok,,2.1055010495158135
gender,22-25,q3_x_high_x_young_x_female,-0.0566734246643187,0.0068489533792136,,0.0153501180737702,-0.0566734246643187,True,260,,104217,1716,489,38398914,ok,,-3.692051383054862
