"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",5.59186640104842e-05,2.01931483412972e-06,-1.65956472079873e-05,-1.65893704231242e-05,1.58807873890173e-05,2.98693755442532e-05
"q1_x_high_x_young",2.01931483412972e-06,0.000129804149898263,5.68763509627252e-05,-4.16653783691986e-05,7.16872663048309e-06,2.35256426257325e-05
"q2_x_high_x_young",-1.65956472079873e-05,5.68763509627252e-05,8.3003245746157e-05,4.21417873276113e-05,-3.45719399949591e-06,-2.9792413497614e-06
"q3_x_high_x_young",-1.65893704231242e-05,-4.16653783691986e-05,4.21417873276113e-05,0.000138941798614336,-1.84872002374038e-05,-3.78718550097154e-05
"interim_x_high_x_young",1.58807873890173e-05,7.16872663048309e-06,-3.45719399949591e-06,-1.84872002374038e-05,9.30748171362922e-05,0.000113856793120272
"post_x_high_x_young",2.98693755442532e-05,2.35256426257325e-05,-2.9792413497614e-06,-3.78718550097154e-05,0.000113856793120272,0.00023927398260516
