"term","pq_2019Q1_x_high_x_young","pq_2019Q2_x_high_x_young","pq_2019Q3_x_high_x_young","pq_2019Q4_x_high_x_young","pq_2020Q1_x_high_x_young","pq_2020Q2_x_high_x_young","pq_2020Q3_x_high_x_young","pq_2020Q4_x_high_x_young","pq_2021Q1_x_high_x_young","pq_2021Q2_x_high_x_young","pq_2021Q3_x_high_x_young","pq_2021Q4_x_high_x_young","pq_2022Q2_x_high_x_young","pq_2022Q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"pq_2019Q1_x_high_x_young",0.000132539792326313,0.000128087559090333,0.000121791134198986,0.000114621922299445,8.56456406312861e-05,8.26706563103025e-05,7.61457485705746e-05,7.00521897162844e-05,3.57368179375268e-05,3.48307983278483e-05,3.34477029211644e-05,3.14207719418404e-05,9.36146848033889e-06,1.40037813186726e-05,1.6437772258841e-05,-1.41656850946115e-06,1.86394003231271e-06,1.55834224940346e-06,-1.07474560354284e-06,-1.98801021622542e-05,-1.86549244765252e-05,-1.63074600853028e-05,-1.7664119979264e-05,-2.96177821728108e-05,7.3832873421361e-06
"pq_2019Q2_x_high_x_young",0.000128087559090333,0.000130724977260714,0.000125264520074631,0.000117601532765061,8.66106963028505e-05,8.72963160946419e-05,8.17764127095708e-05,7.40542071324006e-05,3.82015347170591e-05,3.92571032214735e-05,3.91236050180986e-05,3.55009465717134e-05,1.13748944598417e-05,1.69013397326806e-05,1.84642463052417e-05,-3.5673982164149e-06,3.23052841467222e-06,3.94670268272347e-06,-2.58470691407009e-08,-2.28424914270573e-05,-1.94928945508211e-05,-1.53362019579119e-05,-1.74202295277818e-05,-3.42261443397288e-05,6.45392723969621e-06
"pq_2019Q3_x_high_x_young",0.000121791134198986,0.000125264520074631,0.000127257901179679,0.000117019967614913,8.41397719833902e-05,8.72088876926506e-05,8.50730783258698e-05,7.38466218315134e-05,3.61061621974746e-05,3.82172631479855e-05,4.3470453816225e-05,3.69514201807329e-05,1.19524996459316e-05,2.20015451748013e-05,2.04754602782131e-05,-4.66862456822215e-06,3.23967740782454e-06,8.20733215225205e-06,1.39564466796493e-06,-2.42545436239496e-05,-1.91056270424283e-05,-1.03308244557117e-05,-1.50274432948918e-05,-3.3345766177881e-05,7.97764913619906e-06
"pq_2019Q4_x_high_x_young",0.000114621922299445,0.000117601532765061,0.000117019967614913,0.000116085407557421,8.49513782898633e-05,8.44623583899159e-05,7.93310197612694e-05,7.29867464701744e-05,3.52641840553327e-05,3.61731681568273e-05,3.78289999477417e-05,3.69754678341216e-05,9.89563823170226e-06,1.6737035408789e-05,2.04491773690048e-05,-2.83263286550056e-06,2.45019359809899e-06,4.56339830967211e-06,3.6032884995543e-06,-2.12724298440319e-05,-1.80170430675805e-05,-1.2336575606309e-05,-1.19018721120796e-05,-3.23606280579315e-05,2.39980157404872e-06
"pq_2020Q1_x_high_x_young",8.56456406312861e-05,8.66106963028505e-05,8.41397719833902e-05,8.49513782898633e-05,7.53374806737454e-05,6.82512052560214e-05,6.12182219704131e-05,5.59211695436615e-05,3.09631595214563e-05,2.78931912357608e-05,2.47333502961734e-05,2.5090048315671e-05,4.58097553090351e-06,6.24495998559827e-06,9.74909792888256e-06,-2.30013204554699e-06,-1.64539414935528e-06,-3.15778265325404e-06,-1.74188774035566e-06,-1.31051048542377e-05,-1.34677249352979e-05,-1.22579548399975e-05,-1.0109340263136e-05,-1.92256434407813e-05,4.52538083625603e-06
"pq_2020Q2_x_high_x_young",8.26706563103025e-05,8.72963160946419e-05,8.72088876926506e-05,8.44623583899159e-05,6.82512052560214e-05,7.79308488351702e-05,7.05277035353055e-05,6.06091407069115e-05,3.26955405055813e-05,3.43804084187183e-05,3.36732237647421e-05,2.97785798723401e-05,8.59823374774748e-06,1.36850503404915e-05,1.39908989392286e-05,-3.36258273815159e-06,2.44329914615729e-06,6.08365925159001e-06,3.22737910648593e-06,-1.30634592340496e-05,-9.67608857990149e-06,-2.96803615221912e-06,-4.47544246258848e-06,-1.6569081078204e-05,5.47693491340964e-06
"pq_2020Q3_x_high_x_young",7.61457485705746e-05,8.17764127095708e-05,8.50730783258698e-05,7.93310197612694e-05,6.12182219704131e-05,7.05277035353055e-05,7.3024904394196e-05,6.14944817824853e-05,3.24618006827015e-05,3.43979547516291e-05,3.85513081962366e-05,3.09340663984162e-05,9.51153570773441e-06,1.81900054204432e-05,1.53796890740105e-05,-5.23267000722655e-06,3.37648838466736e-06,9.49655722687314e-06,3.33971936166394e-06,-1.57293279694899e-05,-1.04179251545331e-05,-1.60090306213501e-06,-6.64993010314516e-06,-2.04290530710452e-05,5.70514549615739e-06
"pq_2020Q4_x_high_x_young",7.00521897162844e-05,7.40542071324006e-05,7.38466218315134e-05,7.29867464701744e-05,5.59211695436615e-05,6.06091407069115e-05,6.14944817824853e-05,6.00567274108199e-05,3.23910034475699e-05,3.30203048748046e-05,3.3182854693529e-05,3.03327959885002e-05,7.1005552790816e-06,1.22707488775277e-05,1.49173196418673e-05,-3.60372046724051e-06,1.9062535971745e-06,4.79746404770783e-06,3.62231819156629e-06,-1.53398912254959e-05,-1.20793278768563e-05,-7.33506471313587e-06,-7.61219036401028e-06,-2.32139029886158e-05,8.4769068814579e-07
"pq_2021Q1_x_high_x_young",3.57368179375268e-05,3.82015347170591e-05,3.61061621974746e-05,3.52641840553327e-05,3.09631595214563e-05,3.26955405055813e-05,3.24618006827015e-05,3.23910034475699e-05,2.95273602633666e-05,2.53190185057118e-05,2.00524501376821e-05,1.58058321431434e-05,1.23518016510879e-06,7.64642698120238e-07,1.98061370741808e-06,-2.58665505400621e-06,-6.8940236665981e-08,-4.54280002273856e-07,-1.70604155097139e-06,-7.98348048761021e-06,-7.34787944780854e-06,-6.63442770073013e-06,-5.78134463702434e-06,-9.97936195491471e-06,1.53753551677442e-06
"pq_2021Q2_x_high_x_young",3.48307983278483e-05,3.92571032214735e-05,3.82172631479855e-05,3.61731681568273e-05,2.78931912357608e-05,3.43804084187183e-05,3.43979547516291e-05,3.30203048748046e-05,2.53190185057118e-05,2.90324513610165e-05,2.49223991009386e-05,1.98909840766924e-05,5.34960237803938e-06,6.34767760369512e-06,6.5721043340108e-06,-4.40185571397261e-06,7.94920376661189e-07,2.50712404975561e-06,2.71766098148045e-07,-9.59748212917912e-06,-6.63256945144366e-06,-3.7375420890773e-06,-4.52427319607859e-06,-1.23590385560485e-05,2.24382223773174e-10
