"term","pq_2019Q1_x_high_x_young","pq_2019Q2_x_high_x_young","pq_2019Q3_x_high_x_young","pq_2019Q4_x_high_x_young","pq_2020Q1_x_high_x_young","pq_2020Q2_x_high_x_young","pq_2020Q3_x_high_x_young","pq_2020Q4_x_high_x_young","pq_2021Q1_x_high_x_young","pq_2021Q2_x_high_x_young","pq_2021Q3_x_high_x_young","pq_2021Q4_x_high_x_young","pq_2022Q2_x_high_x_young","pq_2022Q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"pq_2019Q1_x_high_x_young",0.000234119967745985,0.000248164231744392,0.000254130737283425,0.000212820094890323,0.000145376823804517,0.000162863588505091,0.000166382595842815,0.000140040803513869,5.22229373902141e-05,8.42344284407103e-05,0.000125375885808416,9.08472934743573e-05,3.73458423764941e-05,8.96729604853686e-05,6.21430138454007e-05,-3.67814267254619e-05,-1.0084103379952e-05,2.65405017968489e-05,-1.14462257107913e-05,-5.57835235217275e-05,-2.52526079744905e-05,2.34778565852324e-05,-2.48206200652898e-05,-5.20811247641323e-05,2.99709322403239e-05
"pq_2019Q2_x_high_x_young",0.000248164231744392,0.000336532937935891,0.000381327841773697,0.000281600078292055,0.000158550869095356,0.0002585145824318,0.000291610690389351,0.00020301144133567,5.96905866391901e-05,0.000150961035115994,0.000238890528283414,0.000143246407684058,9.69962709866802e-05,0.000201496082651581,0.00011870246415228,-5.55573348242843e-05,4.93574047279812e-05,0.000142423698182982,3.15704383767002e-05,-6.64025403572997e-05,2.59645382756298e-05,0.000123904953062235,-9.43165801836521e-06,-9.34189232262277e-05,7.14600385577404e-05
"pq_2019Q3_x_high_x_young",0.000254130737283425,0.000381327841773697,0.000543901509725046,0.000365705352039543,0.000168896535435497,0.000330216454290294,0.000442365246947213,0.000268397320136277,5.30848824961642e-05,0.000191511228320679,0.000387149022550186,0.000211712722451115,0.000146134549035919,0.000351770594131421,0.000191174855969534,-6.820958032476e-05,9.19317468902343e-05,0.000293950757467585,0.000101894088040954,-6.57507587427511e-05,7.60529559161829e-05,0.000277555844511435,5.12204345521693e-05,-0.00011746389195585,0.000105213401212294
"pq_2019Q4_x_high_x_young",0.000212820094890323,0.000281600078292055,0.000365705352039543,0.000304882105739504,0.000149791864914921,0.000229496806151303,0.000278622362026203,0.000209908179190595,4.2588966248048e-05,0.000121602346789122,0.000236690038876065,0.000167334372354359,8.86766080672741e-05,0.000213803690142982,0.000155083286717383,-2.47517537969184e-05,6.12952927984242e-05,0.000175902357691315,9.73821154926869e-05,-3.13439424058893e-05,4.57739404603943e-05,0.000165116713256803,7.01631777497391e-05,-5.08228606533235e-05,7.72884848675668e-05
"pq_2020Q1_x_high_x_young",0.000145376823804517,0.000158550869095356,0.000168896535435497,0.000149791864914921,0.000143650313001309,0.000131297324202936,0.000125089062434797,0.00011184110256327,4.99249956685681e-05,6.20686868166178e-05,7.96645588675437e-05,6.28711051096683e-05,1.99313596331332e-05,5.47162917482213e-05,4.14221524932485e-05,-6.86843823787185e-06,4.62111456988873e-06,3.20138052257565e-05,1.4277648113757e-05,-1.41263649969257e-05,4.68205483555011e-06,3.52610313813197e-05,1.48861910747362e-05,-2.40507519357242e-05,2.60167850349133e-05
"pq_2020Q2_x_high_x_young",0.000162863588505091,0.0002585145824318,0.000330216454290294,0.000229496806151303,0.000131297324202936,0.000319098157034717,0.000319734234421705,0.000197730482400444,6.14682774742642e-05,0.000162974034690213,0.000246856155789097,0.000135336620356008,0.000108692482378487,0.000213157237178244,0.000112997255478755,-4.2235185198461e-05,8.613306195382e-05,0.000195571791519533,6.85727228402945e-05,-3.39383663745779e-05,7.65561225200929e-05,0.000176182731102388,3.01797215082425e-05,-6.54411704489979e-05,5.45504293096081e-05
"pq_2020Q3_x_high_x_young",0.000166382595842815,0.000291610690389351,0.000442365246947213,0.000278622362026203,0.000125089062434797,0.000319734234421705,0.000447098941497683,0.000251486444681644,6.29844487825917e-05,0.00019885865383083,0.000372287398506378,0.000182224015710275,0.000144246505792789,0.000325665604455662,0.000156768092024057,-6.06597480011275e-05,0.000112450094772927,0.000303749148242191,0.000105280181766899,-4.18805296618721e-05,0.000100122843216938,0.000280573459092508,4.99115988747998e-05,-0.000103274667585463,8.22684947161335e-05
"pq_2020Q4_x_high_x_young",0.000140040803513869,0.00020301144133567,0.000268397320136277,0.000209908179190595,0.00011184110256327,0.000197730482400444,0.000251486444681644,0.000204777042282745,6.11503274871718e-05,0.000129577145184527,0.000211777023427397,0.000142831640283721,7.35298977692557e-05,0.00017217630192604,0.000118130776252691,-1.77121418280789e-05,6.15943359144126e-05,0.000157166571712312,8.34744309850621e-05,-2.54719935442793e-05,5.17175631661085e-05,0.000142801344550996,5.75415834431715e-05,-4.14346831776591e-05,6.49847727716587e-05
"pq_2021Q1_x_high_x_young",5.22229373902141e-05,5.96905866391901e-05,5.30848824961642e-05,4.2588966248048e-05,4.99249956685681e-05,6.14682774742642e-05,6.29844487825917e-05,6.11503274871718e-05,8.107566189034e-05,6.22131830981567e-05,4.75236646910205e-05,2.24581392122708e-05,3.24709938689898e-06,3.59111023474794e-06,-7.56868463325473e-06,-1.50518311492241e-05,-7.59427504443456e-06,-8.2985667126066e-06,-2.60839416771567e-05,-3.09743093962154e-05,-2.24789251441464e-05,-1.97257917709544e-05,-2.47507956057231e-05,-4.04051678619485e-05,-2.45588540621588e-05
"pq_2021Q2_x_high_x_young",8.42344284407103e-05,0.000150961035115994,0.000191511228320679,0.000121602346789122,6.20686868166178e-05,0.000162974034690213,0.00019885865383083,0.000129577145184527,6.22131830981567e-05,0.000140919500517579,0.00017554844938682,8.91493221857694e-05,7.61728500529213e-05,0.000129427279602551,5.80608062773755e-05,-3.5998017422695e-05,5.85822204201172e-05,0.000116626677151825,2.84500062260042e-05,-3.05280370252254e-05,4.64896490224882e-05,9.97665979747748e-05,-2.9321272401599e-06,-5.99805676650866e-05,3.13715852701218e-05
