track,band_vs_ref,coef,se,n_firms,status
all,22-25,-0.0153359491165913,0.0126341006547465,120359,ok
all,26-30,-0.0090673838882456,0.0085986957992601,120359,ok
ict,22-25,-0.116659314974995,0.0500763775972745,6921,ok
ict,26-30,-0.132256196335211,0.0344652966646243,6921,ok
engineering,22-25,-0.0269674257499771,0.0219519401386714,50657,ok
engineering,26-30,-0.0170355028115275,0.015384850532725,50657,ok
business_law_social,22-25,-0.0690203320281132,0.0215491946382405,39691,ok
business_law_social,26-30,-0.0339004435995348,0.0158020919061961,39691,ok
health_education_care,22-25,-0.0098728250698441,0.0198731415060201,26493,ok
health_education_care,26-30,-0.0289539233836029,0.0140069937662698,26493,ok
other,22-25,0.0328562170608439,0.0180841236046416,77164,ok
other,26-30,-0.028372748482479,0.0099029409055692,77164,ok
