age_group,coef,se,pval,n_obs,n_entities
22-25,0.0009062005499828787,0.0018473112415154666,0.6237440037797222,8153460,135891.0
26-30,0.00888663432569659,0.001713928457093095,2.160778556081766e-07,11274540,187909.0
31-34,0.011052072144000212,0.0018482930140790615,2.2368409346995577e-09,9727680,162128.0
35-40,0.0030744470276614483,0.001683046830723835,0.0677426603048854,11571540,192859.0
41-49,0.0038080917120372456,0.0014456778758704888,0.008435534198023342,14908980,248483.0
50+,0.011190086768834652,0.0011522721259787743,0.0,20814720,346912.0
