label,method,n_obs,gamma1_rb_high,se1,pval1,gamma2_gpt_high,se2,pval2,gender,age_group,method_note
Men_reweighted_22-25,PanelOLS,6401850,-0.011714228229283686,0.0024339608452416416,1.488164811824788e-06,-0.006690108934642447,0.0025054211887743467,0.007579435655113542,Men,22-25,unweighted
Men_reweighted_26-30,PanelOLS,9373104,-0.0035196398501142856,0.0021518763832974147,0.10192038050672703,-0.0021594941942909033,0.0021901642995485445,0.32413490049352944,Men,26-30,unweighted
Men_reweighted_31-34,PanelOLS,8448726,-0.002923076341810337,0.0022551249919000654,0.19490919138376306,0.006618323461685846,0.002320876322281078,0.004349333158955915,Men,31-34,unweighted
Men_reweighted_35-40,PanelOLS,10064574,0.00023979653571564613,0.0020170290428482666,0.90536566899088,0.0025938377827524227,0.0020851286098001304,0.21351058892503172,Men,35-40,unweighted
Men_reweighted_41-49,PanelOLS,12338664,0.006043510901793206,0.0017608539935747962,0.0005988245328261144,0.005215236635932204,0.0018503861669357186,0.004825496830617837,Men,41-49,unweighted
Men_reweighted_50+,PanelOLS,16984266,0.007519522914575178,0.0013899151217711299,6.300528765379454e-08,0.01551687212744732,0.0014902038929277585,0.0,Men,50+,unweighted
Women_reweighted_22-25,PanelOLS,7412574,-0.007458056115032937,0.0022783188166742314,0.0010622850955159802,-0.012539874259280938,0.002354569898757984,1.0053617272021143e-07,Women,22-25,IPW-reweighted
Women_reweighted_26-30,PanelOLS,9506640,0.005043622090709487,0.0024250711566945965,0.03754547017922061,-0.0054774601562814105,0.0024678831563574046,0.026452942887040143,Women,26-30,IPW-reweighted
Women_reweighted_31-34,PanelOLS,7746258,0.008754982891317887,0.002745987688564264,0.0014312183111615528,0.005561683986499873,0.0028899982681645678,0.054297098441590474,Women,31-34,IPW-reweighted
Women_reweighted_35-40,PanelOLS,8826948,-0.0036691440604749177,0.0025663858030066395,0.15280518005646204,0.00129548844703756,0.0026838395618906112,0.6293090231764769,Women,35-40,IPW-reweighted
Women_reweighted_41-49,PanelOLS,10863138,0.0026654025916836273,0.002229918069404765,0.2319731182128102,0.0018728051925066581,0.0023277965803492305,0.42108527295101394,Women,41-49,IPW-reweighted
Women_reweighted_50+,PanelOLS,14592396,-0.00030647608778863446,0.0016753585310386888,0.8548516588261994,0.010630042174928897,0.0017496519899568529,1.2359302470343891e-09,Women,50+,IPW-reweighted
