gender_label,High AI,Low AI,total,share_q4,period,share_q4_pct
Men,657510,1881204,2538714,0.25899333284489706,Base (2022-10),25.9
Women,765533,1694078,2459611,0.31124149306536686,Base (2022-10),31.12
Men,648332,1820761,2469093,0.2625790118071697,Latest (2025-06),26.26
Women,756708,1719810,2476518,0.30555320009787934,Latest (2025-06),30.56
