age_group,method,n_obs,gamma1_rb_high,se1,pval1,gamma2_gpt_high,se2,pval2
22-25,PanelOLS,11970426,-0.012483877841407786,0.0018058074223142354,4.739320047519868e-12,-0.009781076849394707,0.001848142935118637,1.2073707211790463e-07
26-30,PanelOLS,16498560,-0.006365377554923941,0.0016289942449207498,9.323705497510382e-05,0.00021504230287510497,0.0016531103556434994,0.8965004040511215
31-34,PanelOLS,14773590,-0.0012409415360513532,0.0016899513260344179,0.46276223038503783,0.008414279371855174,0.0017469101937535709,1.459804602754744e-06
35-40,PanelOLS,17511078,-0.0024150260428154246,0.001512910260423856,0.1104266678489092,0.0031809112727225813,0.0015671236846100782,0.04237925743870896
41-49,PanelOLS,21810984,0.0014874007988320147,0.001312443072818499,0.2570854119705941,0.0016655647444007396,0.0013588925741928894,0.2203198897884604
50+,PanelOLS,29895762,0.005104585455655594,0.0010330562271599686,7.762534766087015e-07,0.010253540895399134,0.0010896790407959954,0.0
