age_group,exposure_quartile,halfyear,n_cells,n_zero_cells,zero_cell_share
41-49,2,2019H1,377460,226328,0.5996
41-49,2,2019H2,377460,225349,0.597
41-49,2,2020H1,377460,219483,0.5815
41-49,2,2020H2,377460,220908,0.5852
41-49,2,2021H1,377460,220397,0.5839
41-49,2,2021H2,377460,214700,0.5688
41-49,2,2022H1,377460,212483,0.5629
41-49,2,2022H2,377460,211242,0.5596
41-49,2,2023H1,377460,220148,0.5832
41-49,2,2023H2,377460,221869,0.5878
41-49,2,2024H1,377460,223978,0.5934
41-49,2,2024H2,377460,223494,0.5921
41-49,2,2025H1,377460,225276,0.5968
41-49,3,2019H1,425904,253954,0.5963
41-49,3,2019H2,425904,252238,0.5922
41-49,3,2020H1,425904,245038,0.5753
41-49,3,2020H2,425904,245255,0.5758
41-49,3,2021H1,425904,245704,0.5769
41-49,3,2021H2,425904,241015,0.5659
41-49,3,2022H1,425904,239612,0.5626
41-49,3,2022H2,425904,238413,0.5598
41-49,3,2023H1,425904,247798,0.5818
41-49,3,2023H2,425904,249001,0.5846
41-49,3,2024H1,425904,255289,0.5994
41-49,3,2024H2,425904,255964,0.601
41-49,3,2025H1,425904,260739,0.6122
41-49,4,2019H1,587088,365692,0.6229
41-49,4,2019H2,587088,363232,0.6187
41-49,4,2020H1,587088,351820,0.5993
41-49,4,2020H2,587088,352237,0.6
41-49,4,2021H1,587088,350458,0.5969
41-49,4,2021H2,587088,344858,0.5874
41-49,4,2022H1,587088,341796,0.5822
41-49,4,2022H2,587088,340496,0.58
41-49,4,2023H1,587088,352063,0.5997
41-49,4,2023H2,587088,355384,0.6053
41-49,4,2024H1,587088,362657,0.6177
41-49,4,2024H2,587088,363574,0.6193
41-49,4,2025H1,587088,368937,0.6284
50+,1,2019H1,415056,228742,0.5511
50+,1,2019H2,415056,228625,0.5508
50+,1,2020H1,415056,220304,0.5308
50+,1,2020H2,415056,222125,0.5352
50+,1,2021H1,415056,220917,0.5323
50+,1,2021H2,415056,216018,0.5205
50+,1,2022H1,415056,212152,0.5111
50+,1,2022H2,415056,211891,0.5105
50+,1,2023H1,415056,219438,0.5287
50+,1,2023H2,415056,221622,0.534
50+,1,2024H1,415056,223534,0.5386
50+,1,2024H2,415056,224180,0.5401
50+,1,2025H1,415056,227285,0.5476
50+,2,2019H1,511248,298959,0.5848
50+,2,2019H2,511248,298955,0.5848
50+,2,2020H1,511248,289623,0.5665
50+,2,2020H2,511248,292236,0.5716
50+,2,2021H1,511248,290125,0.5675
50+,2,2021H2,511248,283860,0.5552
50+,2,2022H1,511248,279232,0.5462
50+,2,2022H2,511248,278541,0.5448
50+,2,2023H1,511248,287135,0.5616
50+,2,2023H2,511248,289770,0.5668
50+,2,2024H1,511248,289904,0.5671
50+,2,2024H2,511248,290248,0.5677
50+,2,2025H1,511248,291321,0.5698
50+,3,2019H1,585606,348823,0.5957
50+,3,2019H2,585606,346929,0.5924
50+,3,2020H1,585606,333471,0.5694
50+,3,2020H2,585606,335113,0.5722
50+,3,2021H1,585606,330452,0.5643
50+,3,2021H2,585606,325790,0.5563
50+,3,2022H1,585606,316454,0.5404
50+,3,2022H2,585606,315788,0.5392
50+,3,2023H1,585606,326504,0.5575
50+,3,2023H2,585606,328357,0.5607
50+,3,2024H1,585606,327202,0.5587
50+,3,2024H2,585606,329380,0.5625
50+,3,2025H1,585606,329630,0.5629
50+,4,2019H1,787764,475706,0.6039
50+,4,2019H2,787764,474383,0.6022
50+,4,2020H1,787764,451811,0.5735
50+,4,2020H2,787764,453880,0.5762
50+,4,2021H1,787764,445501,0.5655
50+,4,2021H2,787764,439271,0.5576
50+,4,2022H1,787764,429184,0.5448
50+,4,2022H2,787764,428392,0.5438
50+,4,2023H1,787764,440345,0.559
50+,4,2023H2,787764,443543,0.563
50+,4,2024H1,787764,443170,0.5626
50+,4,2024H2,787764,446618,0.5669
50+,4,2025H1,787764,446729,0.5671
