age_group,n_pre_periods,pretrend_slope,pretrend_r2,n_post_periods,cumulative_bias,endpoint_coef,endpoint_se,bias_share
22-25,6,0.0006788378860467329,0.022092928568435477,6,0.004073027316280398,-0.0547834832617743,0.0024578018354218,-0.07434772441938521
26-30,6,0.0012303070469357423,0.09035331997993767,6,0.0073818422816144535,-0.048989726715978,0.0022125550547282,-0.15068143417927793
31-34,6,0.0016187259651182933,0.34051471956532575,6,0.00971235579070976,-0.0128890330887533,0.0023371011187063,-0.7535364153254102
35-40,6,0.0012116123064489911,0.2986335804102761,6,0.007269673838693947,-0.0091241276586397,0.0020779613081943,-0.7967527538712419
41-49,6,0.002237905883028562,0.7017370773936353,6,0.013427435298171371,-0.0034838258181607,0.0017750448073329,-3.8542211921663867
50+,6,0.003230353468305786,0.879444396066152,6,0.019382120809834716,0.0130515511432828,0.0013829408674162,1.4850434708528917
