ssyk4,year_month,young,n_employed,pctl_rank_genai,exposure_quartile,high_exposure
1113,2019-09,0,958,70.57,Q3,0
1113,2019-09,1,16,70.57,Q3,0
1113,2019-10,0,962,70.57,Q3,0
1113,2019-10,1,13,70.57,Q3,0
1113,2019-11,0,960,70.57,Q3,0
1113,2019-11,1,13,70.57,Q3,0
1113,2019-12,0,963,70.57,Q3,0
1113,2019-12,1,15,70.57,Q3,0
1113,2020-01,0,1041,70.57,Q3,0
1113,2020-01,1,17,70.57,Q3,0
1113,2020-02,0,1044,70.57,Q3,0
1113,2020-02,1,14,70.57,Q3,0
1113,2020-03,0,1050,70.57,Q3,0
1113,2020-03,1,17,70.57,Q3,0
1113,2020-04,0,1050,70.57,Q3,0
1113,2020-04,1,17,70.57,Q3,0
1113,2020-05,0,1041,70.57,Q3,0
1113,2020-05,1,16,70.57,Q3,0
1113,2020-06,0,1044,70.57,Q3,0
1113,2020-06,1,24,70.57,Q3,0
1113,2020-07,0,1029,70.57,Q3,0
1113,2020-07,1,25,70.57,Q3,0
1113,2020-08,0,1016,70.57,Q3,0
1113,2020-08,1,22,70.57,Q3,0
1113,2020-09,0,1032,70.57,Q3,0
1113,2020-09,1,22,70.57,Q3,0
1113,2020-10,0,1031,70.57,Q3,0
1113,2020-10,1,20,70.57,Q3,0
1113,2020-11,0,1030,70.57,Q3,0
1113,2020-11,1,22,70.57,Q3,0
1113,2020-12,0,1045,70.57,Q3,0
1113,2020-12,1,22,70.57,Q3,0
1113,2021-01,0,1042,70.57,Q3,0
1113,2021-01,1,21,70.57,Q3,0
1113,2021-02,0,1039,70.57,Q3,0
1113,2021-02,1,20,70.57,Q3,0
1113,2021-03,0,1046,70.57,Q3,0
1113,2021-03,1,20,70.57,Q3,0
1113,2021-04,0,1041,70.57,Q3,0
1113,2021-04,1,19,70.57,Q3,0
1113,2021-05,0,1042,70.57,Q3,0
1113,2021-05,1,19,70.57,Q3,0
1113,2021-06,0,1047,70.57,Q3,0
1113,2021-06,1,19,70.57,Q3,0
1113,2021-07,0,1038,70.57,Q3,0
1113,2021-07,1,20,70.57,Q3,0
1113,2021-08,0,1024,70.57,Q3,0
1113,2021-08,1,20,70.57,Q3,0
1113,2021-09,0,1026,70.57,Q3,0
1113,2021-09,1,18,70.57,Q3,0
1113,2021-10,0,1035,70.57,Q3,0
1113,2021-10,1,17,70.57,Q3,0
1113,2021-11,0,1026,70.57,Q3,0
1113,2021-11,1,17,70.57,Q3,0
1113,2021-12,0,1043,70.57,Q3,0
1113,2021-12,1,18,70.57,Q3,0
1113,2022-01,0,1018,70.57,Q3,0
1113,2022-01,1,12,70.57,Q3,0
1113,2022-02,0,1025,70.57,Q3,0
1113,2022-02,1,14,70.57,Q3,0
1113,2022-03,0,1025,70.57,Q3,0
1113,2022-03,1,13,70.57,Q3,0
1113,2022-04,0,1024,70.57,Q3,0
1113,2022-04,1,13,70.57,Q3,0
1113,2022-05,0,1026,70.57,Q3,0
1113,2022-05,1,13,70.57,Q3,0
1113,2022-06,0,1037,70.57,Q3,0
1113,2022-06,1,16,70.57,Q3,0
1113,2022-07,0,1017,70.57,Q3,0
1113,2022-07,1,19,70.57,Q3,0
1113,2022-08,0,1012,70.57,Q3,0
1113,2022-08,1,20,70.57,Q3,0
1113,2022-09,0,1017,70.57,Q3,0
1113,2022-09,1,21,70.57,Q3,0
1113,2022-10,0,1024,70.57,Q3,0
1113,2022-10,1,17,70.57,Q3,0
1113,2022-11,0,1020,70.57,Q3,0
1113,2022-11,1,18,70.57,Q3,0
1113,2022-12,0,1028,70.57,Q3,0
1113,2022-12,1,21,70.57,Q3,0
1113,2023-01,0,975,70.57,Q3,0
1113,2023-01,1,15,70.57,Q3,0
1113,2023-02,0,969,70.57,Q3,0
1113,2023-02,1,14,70.57,Q3,0
1113,2023-03,0,966,70.57,Q3,0
1113,2023-03,1,15,70.57,Q3,0
1113,2023-04,0,966,70.57,Q3,0
1113,2023-04,1,13,70.57,Q3,0
1113,2023-05,0,971,70.57,Q3,0
1113,2023-05,1,14,70.57,Q3,0
1113,2023-06,0,972,70.57,Q3,0
1113,2023-06,1,16,70.57,Q3,0
1113,2023-07,0,958,70.57,Q3,0
1113,2023-07,1,16,70.57,Q3,0
1113,2023-08,0,957,70.57,Q3,0
1113,2023-08,1,14,70.57,Q3,0
1113,2023-09,0,953,70.57,Q3,0
1113,2023-09,1,13,70.57,Q3,0
1113,2023-10,0,953,70.57,Q3,0
1113,2023-10,1,11,70.57,Q3,0
1113,2023-11,0,955,70.57,Q3,0
1113,2023-11,1,11,70.57,Q3,0
1113,2023-12,0,964,70.57,Q3,0
1113,2023-12,1,12,70.57,Q3,0
1113,2024-01,0,943,70.57,Q3,0
1113,2024-01,1,8,70.57,Q3,0
1113,2024-02,0,940,70.57,Q3,0
1113,2024-02,1,9,70.57,Q3,0
1113,2024-03,0,941,70.57,Q3,0
1113,2024-03,1,9,70.57,Q3,0
1113,2024-04,0,946,70.57,Q3,0
1113,2024-04,1,8,70.57,Q3,0
1113,2024-05,0,947,70.57,Q3,0
1113,2024-05,1,8,70.57,Q3,0
1113,2024-06,0,942,70.57,Q3,0
