mbar,theta_hat,se_theta,bias_bound,ci_lo,ci_hi,includes_zero
0.0,-0.18382013617017465,0.057432869287384725,0.0,-0.2963864915022453,-0.07125378083810399,False
0.25,-0.18382013617017465,0.057432869287384725,0.07164350080619417,-0.36802999230843947,0.0003897199680901742,True
0.5,-0.18382013617017465,0.057432869287384725,0.14328700161238833,-0.4396734931146336,0.07203322077428434,True
0.75,-0.18382013617017465,0.057432869287384725,0.2149305024185825,-0.5113169939208277,0.1436767215804785,True
1.0,-0.18382013617017465,0.057432869287384725,0.28657400322477666,-0.5829604947270219,0.21532022238667267,True
1.25,-0.18382013617017465,0.057432869287384725,0.35821750403097086,-0.6546039955332161,0.2869637231928669,True
1.5,-0.18382013617017465,0.057432869287384725,0.429861004837165,-0.7262474963394103,0.358607223999061,True
1.75,-0.18382013617017465,0.057432869287384725,0.5015045056433591,-0.7978909971456044,0.43025072480525517,True
2.0,-0.18382013617017465,0.057432869287384725,0.5731480064495533,-0.8695344979517986,0.5018942256114494,True
2.25,-0.18382013617017465,0.057432869287384725,0.6447915072557475,-0.9411779987579928,0.5735377264176436,True
2.5,-0.18382013617017465,0.057432869287384725,0.7164350080619417,-1.012821499564187,0.6451812272238377,True
2.75,-0.18382013617017465,0.057432869287384725,0.7880785088681358,-1.084465000370381,0.7168247280300318,True
3.0,-0.18382013617017465,0.057432869287384725,0.85972200967433,-1.1561085011765753,0.788468228836226,True
