decile,period,coef,se,pval
2,post_riksbank,0.07859200176260382,0.08417478896376297,0.35047977133673847
2,post_chatgpt,-0.012520730779170052,0.08641125103371064,0.8847933444329774
3,post_riksbank,0.16898009576536177,0.08343073398118873,0.04283734964782826
3,post_chatgpt,0.0006940716601877323,0.08138768854158442,0.9931958147326043
4,post_riksbank,0.01657091941394753,0.07919216174269589,0.8342551545490327
4,post_chatgpt,0.07272438122922653,0.07470662640932058,0.33033086293948677
5,post_riksbank,-0.0031748095677561323,0.08166130550997346,0.9689881438452832
5,post_chatgpt,-0.10361272326009531,0.08343513344871462,0.21430864561142027
6,post_riksbank,-0.0025053217213293053,0.0779816566570746,0.9743709719481679
6,post_chatgpt,0.04869732644459553,0.07992287074241569,0.5423283798301664
7,post_riksbank,-0.0011015359704570063,0.08335094933974915,0.9894558569877898
7,post_chatgpt,0.09764611674082183,0.08488056379869365,0.2499923116716951
8,post_riksbank,0.05233576189776387,0.08237877824804345,0.5252343348439563
8,post_chatgpt,-0.11187603727455693,0.08799897141984026,0.20362165590651693
9,post_riksbank,-0.06853013098569827,0.08487407946359768,0.419424615047453
9,post_chatgpt,-0.04248425030228209,0.07277196409251575,0.5593602566142444
10,post_riksbank,-0.12471596130714209,0.07691454393672742,0.10492554000351317
10,post_chatgpt,-0.04399873965609879,0.07420640520358557,0.5532374527023314
