panel,row,source,rb,se_rb,p_rb,gpt,se_gpt,p_gpt,n_obs,n_occ,n_high_occ
2020-01 to 2026-06,Baseline,l57,-0.1270919049459365,0.03850725109580204,0.0010595893810396717,-0.05932978641523457,0.03833934117838764,0.12260440351545032,28084,369,91
2020-01 to 2026-06,Vacancies (positions advertised),l57,-0.10405645835282826,0.044071455592431905,0.01874213851133444,-0.05170260205918474,0.044247859605484476,0.24337084553653554,28084,369,91
2020-01 to 2026-06,Excluding January to June 2020,l57,-0.11599171395615955,0.035419973503834565,0.0011578568054522176,-0.05948959968060321,0.038333599576172606,0.1215476591708815,25951,369,91
2020-01 to 2026-06,Top tercile,l57,-0.09269616589567363,0.03582235685479268,0.010045498766779959,-0.0774553012796493,0.03638467217467368,0.033935344062501205,28084,369,120
2020-01 to 2026-06,Excluding ICT occupations (SSYK 25),l57,-0.1281224991519194,0.04035892893278241,0.001629512809292022,-0.06396588353920139,0.04035172347715622,0.1137945877539499,27538,362,84
2020-01 to 2026-06,Balanced panel,l57,-0.11302243043006899,0.0374665459314423,0.0027698527730262157,-0.050951147465517835,0.035720799273629054,0.15477711335085909,24024,308,82
2020-01 to 2026-06,Poisson on counts,l08 postings_extended_did.csv,-0.1285075989635292,0.0512160460076763,0.0121029726993329,-0.0600431456540904,0.0413878793986468,0.1468516433997981,28084,369,91
2020-01 to 2026-06,Group by calendar-month effects,l06 postings_seasonality.csv S1_groupseason,-0.1304156845433908,0.0389199391636765,0.000889044974403,-0.0618600405619405,0.0380256144369133,0.1046356638449803,28084,369,91
