ym,n_ads,text_remote,field_true
2020-01,55382,0.008215665739771045,0.0
2020-02,57124,0.0063020796862964775,0.0
2020-03,50578,0.0078294910830796,0.0
2020-04,36531,0.012208808956776436,0.0
2020-05,35291,0.014224589838769092,0.0
2020-06,34907,0.014008651559859054,0.0
2020-07,23931,0.019096569303413982,0.0
2020-08,31266,0.015256188831318365,0.0
2020-09,40546,0.015217284072411581,0.0
2020-10,43457,0.019007294567043285,0.0
2020-11,43622,0.024368437944156617,0.0
2020-12,38022,0.023170795855031297,0.0
2021-01,40059,0.02239197184153374,0.0
2021-02,48397,0.026344608136867988,0.0
2021-03,62532,0.02353994754685601,0.0
2021-04,64755,0.024754845185699946,0.0
2021-05,64332,0.026782938506497544,0.0
2021-06,56145,0.029388191290408764,0.0
2021-07,37392,0.029525032092426188,0.0
2021-08,52649,0.02890843130923664,0.0
2021-09,72472,0.032260735180483495,0.0
2021-10,73572,0.03885989235035068,0.0
2021-11,78122,0.03550856352883951,0.0
2021-12,73098,0.041136556403731976,0.0
2022-01,77596,0.03363575442033095,0.0010567555028609722
2022-02,90167,0.03646566925815432,0.0019962957623077177
2022-03,105344,0.03784743317132442,0.0016137606318347509
2022-04,91705,0.03998691456300093,0.0017883430565399923
2022-05,107345,0.042535749219805304,0.0028785690996320275
2022-06,87690,0.04295814802143916,0.0025430493784924166
2022-07,58952,0.049209526394354726,0.0020355543493011264
2022-08,84654,0.04682590308786354,0.0027051291138044274
2022-09,92897,0.0529941763458454,0.0010011087548575303
2022-10,90687,0.06284252428683273,0.0005623738793873432
2022-11,86979,0.06432587176214949,0.0
2022-12,82085,0.07136504842541268,0.0
2023-01,93715,0.05513525049351758,0.0013124899962652723
2023-02,90597,0.05411878980540195,0.0012141682395664316
2023-03,112652,0.05178780669672975,0.001606718034300323
2023-04,94931,0.05252235834448178,0.0010639306443627477
2023-05,126943,0.04413004261755276,0.0009925714690845497
2023-06,86940,0.045364619277662756,0.0004715896020243846
2023-07,62910,0.046479097122873944,0.00022254013670322683
2023-08,76703,0.04664745837842066,0.00044326819029242664
2023-09,77374,0.0489699382221418,0.0008529997156667614
2023-10,74471,0.052611083509016936,0.0004565535577607391
2023-11,68284,0.05522523577997774,0.0007761701130572315
2023-12,57982,0.05870787485771446,0.0006036356110517057
2024-01,72880,0.047187156970362236,0.00030186608122941824
2024-02,71578,0.060046382966833386,0.004344910447344156
2024-03,69195,0.06501914878242647,0.007124792253775562
2024-04,76087,0.05593596803658969,0.0046394259203280455
2024-05,68717,0.05199586710712051,0.0009604610212902193
2024-06,55182,0.054202457323040125,0.0013953825522815412
2024-07,40449,0.0561200524116789,0.001112512052213899
2024-08,52222,0.051127877139902723,0.0004404274060740684
2024-09,55662,0.05761560849412525,0.001024037943300636
2024-10,58251,0.06360405829942833,0.0012188631954816226
2024-11,49722,0.0677768392260971,0.0006838019387796146
2024-12,43115,0.0726661254783718,0.0012524643395569986
2025-01,55463,0.05787642211925067,0.0015686133097740837
2025-02,55403,0.06236124397595798,0.0011371225384906954
2025-03,59715,0.05658544754249351,0.0003014318010550113
2025-04,57693,0.06255524933700796,0.0018546444109337355
2025-05,52414,0.060823444117983745,0.001278284427824627
2025-06,40174,0.06257778662816747,0.0017673121919649524
2025-07,30509,0.06755383657281458,0.0005244354125012291
2025-08,41176,0.06540217602486885,0.00633864387021566
2025-09,49618,0.06874521343060985,0.002297553307267524
2025-10,50120,0.07003192338387869,0.0007781324820430966
2025-11,44087,0.06750289200898224,0.00027218908068137997
2025-12,42939,0.07717925429097092,0.00020959966464053657
2026-01,42122,0.056170172356488295,0.0026589430701296234
2026-02,54118,0.059961565468051294,0.0022912894046343175
2026-03,54493,0.05619070339309636,0.0004037215789183932
2026-04,42131,0.05910137428496831,0.001020626142270537
2026-05,48765,0.05559315082538706,0.0007587409002358248
2026-06,47972,0.05298924372550654,0.0006253647961310764
