year_month,exposure_quartile,n_ads,share
2021-01,Q2,12947,0.3357972818757132
2021-01,Q3,8810,0.2284988069301795
2021-01,Q4 (highest),11036,0.2862330117232078
2021-02,Q1 (lowest),6825,0.14677103718199608
2021-02,Q2,14483,0.31145566762005117
2021-02,Q3,11314,0.24330659555708478
2021-02,Q4 (highest),13879,0.2984666996408679
2021-03,Q1 (lowest),8425,0.1402600429520369
2021-03,Q2,19235,0.32022574791482844
2021-03,Q3,14604,0.2431285065010738
2021-03,Q4 (highest),17803,0.2963857026320609
2021-04,Q1 (lowest),9234,0.14767075530536855
2021-04,Q2,19699,0.315027746237866
2021-04,Q3,14838,0.23729030400921144
2021-04,Q4 (highest),18760,0.30001119444755403
2021-05,Q1 (lowest),9651,0.15570398335027347
2021-05,Q2,18564,0.2995014762112192
2021-05,Q3,14565,0.23498378587677266
2021-05,Q4 (highest),19203,0.3098107545617347
2021-06,Q1 (lowest),8856,0.1639332123949502
2021-06,Q2,15945,0.2951575284143497
2021-06,Q3,12506,0.23149827847913812
2021-06,Q4 (highest),16715,0.309410980711562
2021-07,Q1 (lowest),6225,0.1740674458922879
2021-07,Q2,10812,0.302332084335328
2021-07,Q3,8338,0.23315250824897937
2021-07,Q4 (highest),10387,0.29044796152340474
2021-08,Q1 (lowest),8878,0.17449242320014152
2021-08,Q2,16300,0.3203679317596651
2021-08,Q3,11824,0.23239450460897423
2021-08,Q4 (highest),13877,0.27274514043121917
2021-09,Q1 (lowest),11442,0.16444853258213804
2021-09,Q2,21096,0.3031992871309897
2021-09,Q3,16888,0.24272040012647675
2021-09,Q4 (highest),20152,0.28963178016039554
2021-10,Q1 (lowest),11404,0.16130355450572145
2021-10,Q2,21157,0.2992545863449271
2021-10,Q3,16637,0.2353215745625822
2021-10,Q4 (highest),21501,0.30412028458676926
2021-11,Q1 (lowest),11107,0.14793553542887586
2021-11,Q2,23637,0.31482418753329783
2021-11,Q3,18155,0.24180873734683006
2021-11,Q4 (highest),22181,0.2954315396909963
2021-12,Q1 (lowest),9596,0.13749229865459286
2021-12,Q2,21009,0.30101872680641323
2021-12,Q3,16667,0.23880618400126088
2021-12,Q4 (highest),22521,0.322682790537733
2022-01,Q1 (lowest),12066,0.16185762002495072
2022-01,Q2,24969,0.3349430560585939
2022-01,Q3,17507,0.2348451312594739
2022-01,Q4 (highest),20005,0.2683541926569815
2022-02,Q1 (lowest),14428,0.16614846035145903
2022-02,Q2,27408,0.315622193049126
2022-02,Q3,21279,0.24504249291784702
2022-02,Q4 (highest),23723,0.273186853681568
2022-03,Q1 (lowest),17566,0.17313056248213599
2022-03,Q2,32420,0.3195316427001508
2022-03,Q3,22189,0.2186948679788293
2022-03,Q4 (highest),29286,0.28864292683888393
2022-04,Q1 (lowest),14793,0.16709589969501865
2022-04,Q2,28473,0.32161978990172824
2022-04,Q3,20029,0.22623969275951655
2022-04,Q4 (highest),25235,0.28504461764373656
2022-05,Q1 (lowest),17404,0.1674749807544265
2022-05,Q2,34701,0.3339203233256351
2022-05,Q3,23518,0.22630869899923017
2022-05,Q4 (highest),28297,0.2722959969207082
2022-06,Q1 (lowest),13499,0.15939872707735545
2022-06,Q2,27483,0.32452442523645897
2022-06,Q3,19769,0.23343606456717086
2022-06,Q4 (highest),23936,0.28264078311901475
2022-07,Q1 (lowest),9409,0.16559601541737798
2022-07,Q2,18165,0.3196993963286929
2022-07,Q3,14446,0.25424593885848046
2022-07,Q4 (highest),14799,0.2604586493954487
2022-08,Q1 (lowest),14245,0.17381914023891742
2022-08,Q2,27919,0.3406708723292619
2022-08,Q3,19866,0.24240723341427403
2022-08,Q4 (highest),19923,0.24310275401754664
2022-09,Q1 (lowest),15607,0.17444810819873693
2022-09,Q2,29220,0.32660817079304755
2022-09,Q3,21680,0.2423294025596602
2022-09,Q4 (highest),22958,0.2566143184485553
2022-10,Q1 (lowest),13630,0.1560478562024157
2022-10,Q2,28364,0.32473524529165954
2022-10,Q3,21654,0.24791344667697063
2022-10,Q4 (highest),23697,0.27130345182895416
2022-11,Q1 (lowest),11864,0.14142666412359337
2022-11,Q2,25411,0.3029157924852184
2022-11,Q3,23248,0.27713141331298874
2022-11,Q4 (highest),23365,0.2785261300781995
2022-12,Q1 (lowest),10594,0.1339080314482898
2022-12,Q2,24595,0.3108805015547185
2022-12,Q3,21667,0.2738706170842076
2022-12,Q4 (highest),22258,0.2813408499127841
2023-01,Q1 (lowest),13887,0.15281935029492033
2023-01,Q2,31387,0.34539792235231975
2023-01,Q3,23720,0.2610264988115151
2023-01,Q4 (highest),21878,0.24075622854124482
2023-02,Q1 (lowest),14750,0.16828486348960056
2023-02,Q2,29202,0.33316980227954685
