variant,term,coef,se,pval,n_obs,n_firms
a_all_firms,rb_x_high,0.003985239627382843,0.010956111592782368,0.7160478357643487,881443,12141
a_all_firms,gpt_x_high,-0.15774227830485313,0.012526116252466192,0.0,881443,12141
b_excl_staffing_public,rb_x_high,0.001098465149601587,0.020595235497496266,0.9574642873316677,638248,10509
b_excl_staffing_public,gpt_x_high,-0.18034013213811137,0.020046087095174362,0.0,638248,10509
c_entry_level_ads,rb_x_high,-0.006768073198495551,0.11700620964060444,0.9538731213081748,49246,1265
c_entry_level_ads,gpt_x_high,-0.19557156781994653,0.06461205747523632,0.002471094462403789,49246,1265
