year,n_raw,n_parse_error,n_no_occfield,n_bad_code,n_no_date,n_out_of_range,n_duplicate,n_kept
2020,490713,0,106,0,0,2,0,490605
2021,730824,0,4845,0,0,0,2407,723572
2022,1082795,0,0,0,0,0,26691,1056104
2023,1028074,0,0,0,0,0,4646,1023428
2024,717094,0,0,0,0,0,4018,713076
2025,582241,0,0,0,0,0,2853,579388
TOTAL,4631741,0,4951,0,0,2,40615,4586173
