variant,period,coef,se,pval
a_all_firms,2021H1,0.051265521838559175,0.013020094533181141,8.236392624905164e-05
a_all_firms,2021H2,-0.04379393912566333,0.011944752455754952,0.0002460133017443411
a_all_firms,2022H2,-0.0800407233962109,0.012272124176094282,6.930322982157122e-11
a_all_firms,2023H1,-0.0534370108647101,0.014863347648532815,0.00032411704805035413
a_all_firms,2023H2,-0.1691110391225708,0.016441434430976835,0.0
a_all_firms,2024H1,-0.1481364351878406,0.018311688663830653,6.661338147750939e-16
a_all_firms,2024H2,-0.2213000247324691,0.018864289015357392,0.0
a_all_firms,2025H1,-0.1463496882226253,0.017553741227819292,0.0
a_all_firms,2025H2,-0.26456265281362934,0.01911969328180875,0.0
a_all_firms,2026H1,-0.2715763122622764,0.019327066587224065,0.0
a_all_firms,2022H1,0.0,0.0,1.0
c_entry_level_ads,2021H1,-0.010825538773377358,0.08016752852120289,0.8925830522015001
c_entry_level_ads,2021H2,-0.1094846915230368,0.09172812519788598,0.23264300162084162
c_entry_level_ads,2022H2,-0.14157595314151009,0.05995132627865423,0.01820043817292083
c_entry_level_ads,2023H1,-0.06259379024029095,0.06759615924047586,0.35444792700820793
c_entry_level_ads,2023H2,-0.3465725019424026,0.07292793533125144,2.011555811032295e-06
c_entry_level_ads,2024H1,-0.19412744992946568,0.11170139028218032,0.08222590543380237
c_entry_level_ads,2024H2,-0.23809445140196678,0.07588675308520078,0.0017039708484989369
c_entry_level_ads,2025H1,-0.30745781343605727,0.09074845187572915,0.0007039844199572265
c_entry_level_ads,2025H2,-0.4167176424320068,0.1176717342392288,0.00039807428117666355
c_entry_level_ads,2026H1,-0.47275061520381934,0.08071479353506045,4.711601331308657e-09
c_entry_level_ads,2022H1,0.0,0.0,1.0
