window,frequency,n_pre_periods,wald_stat,p_value
2020-01 to 2026-06,monthly,26,107.21330629986855,7.878364627345036e-12
2020-01 to 2026-06,quarterly,8,52.98074697360694,1.0877520217889014e-08
