year_month,coef,se,date,ci_lo,ci_hi
2020-01,-0.0196047768202414,0.048053634609169706,2020-01-01,-0.11378990065421402,0.07458034701373123
2020-02,0.0,0.0,2020-02-01,0.0,0.0
2020-03,0.05171948334088008,0.05066460428170815,2020-03-01,-0.047583141051267895,0.15102210773302804
2020-04,0.05276555711312036,0.07062475375185173,2020-04-01,-0.08565896024050904,0.19119007446674977
2020-05,0.13324555154583928,0.07336340679377103,2020-05-01,-0.010546725769951942,0.27703782886163053
2020-06,0.02518963623040062,0.07023524194101562,2020-06-01,-0.11247143797399,0.16285071043479124
2020-07,0.00860285828952136,0.06128028203338207,2020-07-01,-0.11150649449590751,0.12871221107495023
2020-08,-0.20975715668849118,0.06435582288137096,2020-08-01,-0.33589456953597824,-0.08361974384100412
2020-09,-0.1090524549165967,0.057066302344453756,2020-09-01,-0.22090240751172607,0.0027974976785326705
2020-10,0.06926566487346092,0.05976551942727946,2020-10-01,-0.04787475320400682,0.18640608295092864
2020-11,0.15562112406236844,0.06275441736247495,2020-11-01,0.032622466031917555,0.27861978209281935
2020-12,0.25843757769230125,0.06799695839236809,2020-12-01,0.1251635392432598,0.3917116161413427
2021-01,-0.01213070572793746,0.06006883416665895,2021-01-01,-0.129865620694589,0.10560420923871408
2021-02,0.00960118146796848,0.054359584591606724,2021-02-01,-0.0969436043315807,0.11614596726751766
2021-03,-0.022341814212286475,0.05716804725952229,2021-03-01,-0.13439118684095017,0.0897075584163772
2021-04,0.031279825510731996,0.058951874590564134,2021-04-01,-0.0842658486867737,0.1468254997082377
2021-05,0.043247041048506935,0.058820238084253726,2021-05-01,-0.07204062559663037,0.15853470769364425
2021-06,-0.014963426231594733,0.05696290964528737,2021-06-01,-0.12661072913635799,0.09668387667316851
2021-07,-0.07037832807885319,0.07237244206785423,2021-07-01,-0.21222831453184748,0.0714716583741411
2021-08,-0.1789087234461858,0.06758450395173467,2021-08-01,-0.31137435119158574,-0.046443095700785864
2021-09,-0.06721596586022568,0.06462281226637215,2021-09-01,-0.19387667790231508,0.05944474618186371
2021-10,0.0739623155879602,0.06709211733676951,2021-10-01,-0.05753823439210805,0.20546286556802845
2021-11,0.0025908835769989963,0.07246515251272663,2021-11-01,-0.1394408153479452,0.14462258250194318
2021-12,0.14070010268782962,0.06598399496144504,2021-12-01,0.01137147256339735,0.2700287328122619
2022-01,-0.14587390053694707,0.06863892683796866,2022-01-01,-0.28040619713936565,-0.011341603934528516
2022-02,-0.05671837248868424,0.06385405233009048,2022-02-01,-0.1818723150556616,0.0684355700782931
2022-03,-0.07769765892764932,0.056788108099443686,2022-03-01,-0.18900235080255895,0.03360703294726031
2022-04,-0.11468961928697913,0.06344755757271645,2022-04-01,-0.23904683212950334,0.009667593555545098
2022-05,-0.1340006690066188,0.0693114735587252,2022-05-01,-0.2698511571817202,0.0018498191684825915
2022-06,-0.10675123295432506,0.0741093323324074,2022-06-01,-0.25200552432584356,0.038503058417193425
2022-07,-0.21649357935809777,0.07950576624752703,2022-07-01,-0.37232488120325075,-0.060662277512944784
2022-08,-0.23213321555435662,0.07426351313031758,2022-08-01,-0.3776897012897791,-0.08657672981893416
2022-09,-0.1161511193370413,0.0682411017420543,2022-09-01,-0.24990367875146774,0.017601440077385136
2022-10,-0.0778607995225229,0.06812572599052658,2022-10-01,-0.21138722246395497,0.05566562341890918
2022-11,0.0006859094408866772,0.07132582105569056,2022-11-01,-0.13911269982826682,0.14048451871004017
2022-12,-0.012549004345239879,0.07583016302861775,2022-12-01,-0.16117612388133065,0.13607811519085092
2023-01,-0.20095429799897724,0.07284459282601244,2023-01-01,-0.34372969993796165,-0.05817889605999285
2023-02,-0.2110009723534871,0.06819696637128041,2023-02-01,-0.34466702644119673,-0.07733491826577751
2023-03,-0.20962850512744777,0.07005173107674935,2023-03-01,-0.3469298980378765,-0.07232711221701904
2023-04,-0.21230414215459936,0.07278899112277612,2023-04-01,-0.3549705647552406,-0.06963771955395817
2023-05,-0.12485368570187112,0.08177736931030137,2023-05-01,-0.2851373295500618,0.035429958146319565
2023-06,-0.07166266759537111,0.07898303196368649,2023-06-01,-0.22646941024419665,0.0831440750534544
2023-07,-0.2457558812831987,0.0928661569455657,2023-07-01,-0.4277735488965074,-0.06373821366988994
2023-08,-0.29570829936974186,0.09489401759212071,2023-08-01,-0.4817005738502984,-0.10971602488918528
2023-09,-0.10864633386189375,0.07602480066940746,2023-09-01,-0.2576549431739324,0.04036227545014488
2023-10,-0.00011531428044328166,0.07860155092277926,2023-10-01,-0.15417435408909064,0.15394372552820407
2023-11,-0.020894425081903943,0.07554932624007614,2023-11-01,-0.16897110451245317,0.12718225434864527
2023-12,0.032374821435107455,0.08504239726441082,2023-12-01,-0.13430827720313776,0.19905792007335266
2024-01,-0.20466881157634992,0.08081043425060293,2024-01-01,-0.3630572627075317,-0.04628036044516817
2024-02,-0.23597795595958754,0.0729206029169591,2024-02-01,-0.37890233767682735,-0.0930535742423477
2024-03,-0.23231003070818942,0.07627950426230388,2024-03-01,-0.38181785906230503,-0.08280220235407382
2024-04,-0.1737350910919204,0.07056224457979367,2024-04-01,-0.31203709046831596,-0.035433091715524806
2024-05,-0.14407056020472134,0.08024274439892957,2024-05-01,-0.3013463392266233,0.01320521881718062
2024-06,-0.1581732385908403,0.08274689107957062,2024-06-01,-0.3203571451067987,0.0040106679251181165
2024-07,-0.2767985742220258,0.08410619962369248,2024-07-01,-0.44164672548446304,-0.11195042295958854
2024-08,-0.36510696131258147,0.08547199840947253,2024-08-01,-0.5326320781951477,-0.1975818444300153
2024-09,-0.15441648486901152,0.07863959029513463,2024-09-01,-0.3085500818474754,-0.00028288789054764507
2024-10,-0.10063677731678818,0.07272878179540501,2024-10-01,-0.243185189635782,0.04191163500220564
2024-11,-0.07537704419597026,0.07360724101264766,2024-11-01,-0.21964723658075969,0.06889314818881916
2024-12,-0.0034292403442248982,0.0686601500010934,2024-12-01,-0.13800313434636796,0.13114465365791816
2025-01,-0.2818845290231834,0.06969604544715992,2025-01-01,-0.4184887780996168,-0.14528027994674997
2025-02,-0.2715795651177895,0.06090055630952562,2025-02-01,-0.3909446554844597,-0.15221447475111932
2025-03,-0.2956150357935603,0.06677046455930474,2025-03-01,-0.4264851463297976,-0.164744925257323
2025-04,-0.14804344172016323,0.06647153953878818,2025-04-01,-0.2783276592161881,-0.01775922422413842
2025-05,-0.12660390170350594,0.06938203269241351,2025-05-01,-0.26259268578063644,0.009384882373624531
2025-06,-0.07892754760285173,0.06814770940791728,2025-06-01,-0.2124970580423696,0.05464196283666614
2025-07,-0.23313117090457128,0.07458278869131012,2025-07-01,-0.3793134367395391,-0.08694890506960345
2025-08,-0.3594740893076235,0.08180616142306324,2025-08-01,-0.5198141656968274,-0.19913401291841953
2025-09,-0.27064691067312596,0.07728941655908096,2025-09-01,-0.42213416712892465,-0.11915965421732727
2025-10,-0.1397455646630055,0.07833106091875333,2025-10-01,-0.293274444063762,0.013783314737751018
2025-11,-0.19116447907720624,0.07384815084025302,2025-11-01,-0.3359068547241022,-0.04642210343031031
2025-12,-0.034420295172504486,0.06932960916461647,2025-12-01,-0.17030632913515276,0.1014657387901438
2026-01,-0.3365569509616302,0.06645210053396583,2026-01-01,-0.4668030680082032,-0.20631083391505717
2026-02,-0.278628230954775,0.07113751902002714,2026-02-01,-0.4180577682340282,-0.13919869367552182
2026-03,-0.2720574838793294,0.06948044730379337,2026-03-01,-0.4082391605947644,-0.13587580716389439
2026-04,-0.2484698134317913,0.07651453760295655,2026-04-01,-0.3984383071335862,-0.09850131972999646
2026-05,-0.28256725979899083,0.07417990621863939,2026-05-01,-0.42795987598752405,-0.13717464361045764
2026-06,-0.24835010742062416,0.07938001592867075,2026-06-01,-0.40393493864081886,-0.09276527620042949
