,Q1 (lowest),Q2,Q3,Q4 (highest),All
occupations,103.0,99.0,76.0,91.0,369.0
cells,7630.0,7612.0,5817.0,7025.0,28084.0
ads_mean,99.85504587155964,198.10430898581188,198.4691421695032,180.98989323843418,167.20598917533115
ads_sd,212.19605132956707,559.7864524205467,515.4731108180597,364.2198851730501,432.5601009996655
ads_median,22.0,54.0,49.0,64.0,44.0
vac_mean,255.18479685452164,427.70493956910144,305.21076156094205,256.7602846975089,312.701253382709
vac_sd,676.1346872298844,1222.676318471997,796.6161604036278,701.7944760845508,888.3892821448505
pctl_mean,12.409301455082568,37.400132668812404,61.89552179955304,88.16481132455516,48.38259613446375
