,value
old_window,2020-01 to 2025-12
old_n_cells,25918
old_n_occupations,369
old_n_months,72
old_n_pre_reference_coefs,1
old_n_pre_ratehike_coefs,26
old_n_post_chatgpt_coefs,37
old_wald_monthly,107.05870076044964
old_df_monthly,26
old_p_monthly,8.368750137321967e-12
old_wald_quarterly,52.768666967900046
old_df_quarterly,8
old_p_quarterly,1.1955311629563425e-08
old_n_quarter_cells,8798
old_theta_hat,-0.16896913516316034
old_se_theta,0.05905293594270744
old_p_theta,0.004218857580479574
old_dmax_pre,0.2853757074755796
old_breakdown_mbar,0.25
old_n_pre_coefs_signif_05,6
old_pooled_rb_x_high,
old_pooled_gpt_x_high,
old_pooled_rb_plus_gpt,
new_window,2020-01 to 2026-06
new_n_cells,28084
new_n_occupations,369
new_n_months,78
new_n_pre_reference_coefs,1
new_n_pre_ratehike_coefs,26
new_n_post_chatgpt_coefs,43
new_wald_monthly,107.21330629986855
new_df_monthly,26
new_p_monthly,7.878364627345036e-12
new_wald_quarterly,52.98074697360694
new_df_quarterly,8
new_p_quarterly,1.0877520217889014e-08
new_n_quarter_cells,9534
new_theta_hat,-0.18382013617017465
new_se_theta,0.057432869287384725
new_p_theta,0.0013713767209744265
new_dmax_pre,0.28657400322477666
new_breakdown_mbar,0.25
new_n_pre_coefs_signif_05,6
new_pooled_rb_x_high,-0.1270919049459365
new_pooled_gpt_x_high,-0.0593297864152345
new_pooled_rb_plus_gpt,-0.186421691361171
