quarter,coef,se
2020Q2,0.07078227948679888,0.05873681517721607
2020Q3,-0.09193448062112672,0.04964828563733939
2020Q4,0.16655477026621354,0.05102790292977633
2021Q1,-0.0015465662524959422,0.04559995661817092
2021Q2,-0.003233931679726656,0.04805112103506518
2021Q3,-0.12854359719653843,0.06812713650670299
2021Q4,0.041545913288673735,0.0725065666585789
2022Q1,-0.1285068022227604,0.06321040299539162
2022Q2,-0.10379625414891487,0.06129888567694067
2022Q3,-0.186245921333926,0.06666536556161434
2022Q4,-0.03417489160413688,0.06183009608843922
2023Q1,-0.19518614160432562,0.06678991136360984
2023Q2,-0.1383072537835542,0.06945955293510662
2023Q3,-0.2156324861324399,0.08011134763802731
2023Q4,-0.028280265137047657,0.07683184051671507
2024Q1,-0.22047390194722488,0.07050192631100992
2024Q2,-0.1814549103419653,0.07685124861422973
2024Q3,-0.255406184344543,0.07709717901109825
2024Q4,-0.07838124123221882,0.06711357018831103
2025Q1,-0.2959832438444504,0.06114959604588605
2025Q2,-0.12789136174715898,0.0631896987861195
2025Q3,-0.27995926862618653,0.07387796375760106
2025Q4,-0.12014738429151986,0.07016962556239485
2026Q1,-0.29408117538766543,0.0646495574764463
2026Q2,-0.26146990910363105,0.07118773929651484
