window,estimator,term,coef,se,pval,n_obs
submitted_to_2025-12,OLS_ln,rb_x_high,-0.12686709440483596,0.038461869804450155,0.00106676425012453,25918
submitted_to_2025-12,OLS_ln,gpt_x_high,-0.04438747954409337,0.036972439826504666,0.23069575160029632,25918
submitted_to_2025-12,Poisson,rb_x_high,-0.1285020822474753,0.051216376594975084,0.012107219031817662,25918
submitted_to_2025-12,Poisson,gpt_x_high,-0.06031029530353198,0.038245333913813774,0.11481114598809072,25918
extended_to_2026-06,OLS_ln,rb_x_high,-0.1270919049459365,0.03850725109580204,0.0010595893810396717,28084
extended_to_2026-06,OLS_ln,gpt_x_high,-0.05932978641523457,0.03833934117838764,0.12260440351545032,28084
extended_to_2026-06,Poisson,rb_x_high,-0.12850759896352923,0.0512160460076763,0.012102972699332915,28084
extended_to_2026-06,Poisson,gpt_x_high,-0.06004314565409041,0.04138787939864685,0.14685164339979817,28084
