group,panel,outcome,n_occ,n_obs,beta1_rb,se_rb,p_rb,beta2_gpt,se_gpt,p_gpt
Teleworkable,2020-01 to 2026-06,ln(ads+1),187,14275,-0.13695882131811662,0.04705294803528845,0.0036057580601256065,-0.010413191514009601,0.04577102663665677,0.8200301627623751
Non-teleworkable,2020-01 to 2026-06,ln(ads+1),182,13809,-0.1660583540001261,0.1256814915229463,0.18641355525471892,-0.21558161443798265,0.07576569479730247,0.004435953260681868
All,2020-01 to 2026-06,ln(ads+1),369,28084,-0.1097664606600108,0.03712573261874434,0.0031103723240117707,-0.061057160166435365,0.03615159912035173,0.09123475464081715
All,2020-01 to 2026-06,"ln(ads), check",369,28084,-0.12709190494605904,0.03876278384054376,0.0010428295173423288,-0.05932978641529809,0.038593759678905985,0.12422240054600907
