spec,age_group,gamma1,se1,p1,gamma2,se2,p2,n_obs,n_emp_total,n_employers,estimator,fe,vcov,elapsed_s
STEP4_reweighted,22-25,-0.0030038789721819,0.0103527183784949,0.771698697392595,-0.163806127432334,0.0119003802061459,4.15140291018242e-43,11662248,21175822,46402,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,202.0
STEP4_reweighted,26-30,0.0105924196629662,0.0079406301502302,0.182219580050649,-0.0511420409196238,0.0079665695182517,1.3664963885056901e-10,15943902,36246159,65858,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,320.0
STEP4_reweighted,31-34,0.0199510571385728,0.0064509672184345,0.0019832890817269,0.0096891105959736,0.0062149169635271,0.118994283706712,14194362,31857028,61522,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,250.4
STEP4_reweighted,35-40,0.006655834632555,0.0056265579874871,0.236836158821218,0.0039253605777249,0.0049835822999073,0.430896531062885,16921632,45450990,74568,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,320.2
STEP4_reweighted,41-49,0.018487455567657,0.0051930763913386,0.000370826617619,-0.0017515800880964,0.0034621475435433,0.612910702065299,21272238,69033425,94651,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,415.7
STEP4_reweighted,50+,0.0364762262438821,0.0045687993606152,1.4193465794931301e-15,0.0260991409626175,0.0045330626838263,8.53651379829108e-09,29456154,128063388,128840,"Poisson PML weighted (R fixest::fepois via subprocess, weights=w)",employer x bin + employer x month,CRV1 by employer,570.4
