dm,mcl,beta_artificial,erases_headline
0.015,0.18,-0.2135645765338863,True
0.015,0.185,-0.2196808035513226,True
0.015,0.19,-0.2258346691257007,True
0.015,0.195,-0.232026639373622,True
0.015,0.2,-0.2382571891242579,True
0.02,0.0,-0.0202027073175194,False
0.02,0.005,-0.0252152491410637,False
0.02,0.01,-0.0302530431710209,False
0.02,0.015,-0.0353163451275676,False
0.02,0.02,-0.0404054146350389,False
0.02,0.025,-0.0455205153018093,False
0.02,0.03,-0.0506619148022279,False
0.02,0.035,-0.0558298849606705,False
0.02,0.04,-0.0610247018377746,False
0.02,0.045,-0.0662466458189263,False
0.02,0.05,-0.07149600170507,False
0.02,0.055,-0.0767730588059138,False
0.02,0.06,-0.082078111035607,False
0.02,0.065,-0.0874114570109695,False
0.02,0.07,-0.092773400152355,False
0.02,0.075,-0.0981642487872313,False
0.02,0.08,-0.1035843162565704,False
0.02,0.085,-0.1090339210241351,False
0.02,0.09,-0.1145133867887607,False
0.02,0.095,-0.1200230425997303,False
0.02,0.1,-0.1255632229753457,False
0.02,0.105,-0.1311342680248011,False
0.02,0.11,-0.136736523573471,False
0.02,0.115,-0.142370341291727,False
0.02,0.12,-0.1480360788274044,False
0.02,0.125,-0.1537340999420421,False
0.02,0.13,-0.159464774651027,False
0.02,0.135,-0.1652284793677771,False
0.02,0.14,-0.1710255970521031,False
0.02,0.145,-0.1768565173628963,True
0.02,0.15,-0.1827216368152944,True
0.02,0.155,-0.1886213589424827,True
0.02,0.16,-0.1945560944622973,True
0.02,0.165,-0.2005262614488011,True
0.02,0.17,-0.206532285509013,True
0.02,0.175,-0.2125745999649755,True
0.02,0.18,-0.2186536460413576,True
0.02,0.185,-0.2247698730587938,True
0.02,0.19,-0.2309237386331719,True
0.02,0.195,-0.2371157088810932,True
0.02,0.2,-0.2433462586317291,True
0.025,0.0,-0.0253178079842898,False
0.025,0.005,-0.0303303498078341,False
0.025,0.01,-0.0353681438377913,False
0.025,0.015,-0.040431445794338,False
0.025,0.02,-0.0455205153018093,False
0.025,0.025,-0.0506356159685798,False
0.025,0.03,-0.0557770154689984,False
0.025,0.035,-0.0609449856274411,False
0.025,0.04,-0.066139802504545,False
0.025,0.045,-0.0713617464856967,False
0.025,0.05,-0.0766111023718405,False
0.025,0.055,-0.0818881594726842,False
0.025,0.06,-0.0871932117023773,False
0.025,0.065,-0.0925265576777399,False
0.025,0.07,-0.0978885008191253,False
0.025,0.075,-0.1032793494540017,False
0.025,0.08,-0.1086994169233409,False
0.025,0.085,-0.1141490216909055,False
0.025,0.09,-0.1196284874555312,False
0.025,0.095,-0.1251381432665007,False
0.025,0.1,-0.1306783236421162,False
0.025,0.105,-0.1362493686915716,False
0.025,0.11,-0.1418516242402414,False
0.025,0.115,-0.1474854419584974,False
0.025,0.12,-0.1531511794941747,False
0.025,0.125,-0.1588492006088124,False
0.025,0.13,-0.1645798753177975,False
0.025,0.135,-0.1703435800345476,False
0.025,0.14,-0.1761406977188734,True
0.025,0.145,-0.1819716180296667,True
0.025,0.15,-0.1878367374820648,True
0.025,0.155,-0.1937364596092531,True
0.025,0.16,-0.1996711951290677,True
0.025,0.165,-0.2056413621155714,True
0.025,0.17,-0.2116473861757834,True
0.025,0.175,-0.217689700631746,True
0.025,0.18,-0.2237687467081281,True
0.025,0.185,-0.2298849737255643,True
0.025,0.19,-0.2360388392999424,True
0.025,0.195,-0.2422308095478637,True
0.025,0.2,-0.2484613592984996,True
0.03,0.0,-0.0304592074847085,False
0.03,0.005,-0.0354717493082528,False
0.03,0.01,-0.04050954333821,False
0.03,0.015,-0.0455728452947568,False
0.03,0.02,-0.0506619148022279,False
0.03,0.025,-0.0557770154689984,False
0.03,0.03,-0.0609184149694171,False
0.03,0.035,-0.0660863851278597,False
