gamma2,se,n_obs,status,design,arm,trunc,age_group
0.0242825217076421,0.0091123841142739,10547940,ok,OL_daioe,true,2021,22-25
0.0375427676286715,0.005482141069165,12869100,ok,OL_daioe,true,2021,26-30
0.0296768825326361,0.0048143873882801,12726480,ok,OL_daioe,true,2021,31-34
0.0163106655493647,0.0040820148107609,14406360,ok,OL_daioe,true,2021,35-40
0.0103945143073546,0.003212985956566,17082840,ok,OL_daioe,true,2021,41-49
0.0630127450395067,0.0110113710596578,20384340,ok,OL_daioe,true,2021,50+
0.0162366755636255,0.0089905606590021,10541700,ok,OL_daioe,asof,2021,22-25
0.0324272932342076,0.0054351112940718,12859920,ok,OL_daioe,asof,2021,26-30
0.0272615858574021,0.0047866081281666,12714420,ok,OL_daioe,asof,2021,31-34
0.0142724912014137,0.0040697314322829,14387820,ok,OL_daioe,asof,2021,35-40
0.009316577064787,0.0032116949783021,17062380,ok,OL_daioe,asof,2021,41-49
0.0623150580230223,0.0110543629287147,20373120,ok,OL_daioe,asof,2021,50+
0.0242825217076421,0.0091123841142739,10547940,ok,OL_daioe,true,2022,22-25
0.0375427676286715,0.005482141069165,12869100,ok,OL_daioe,true,2022,26-30
0.0296768825326361,0.0048143873882801,12726480,ok,OL_daioe,true,2022,31-34
0.0163106655493647,0.0040820148107609,14406360,ok,OL_daioe,true,2022,35-40
0.0103945143073546,0.003212985956566,17082840,ok,OL_daioe,true,2022,41-49
0.0630127450395067,0.0110113710596578,20384340,ok,OL_daioe,true,2022,50+
0.0158344263796271,0.0089926186979413,10546140,ok,OL_daioe,asof,2022,22-25
0.0338981569922076,0.0055327986633309,12865980,ok,OL_daioe,asof,2022,26-30
0.0287618652343419,0.0048938987853961,12726480,ok,OL_daioe,asof,2022,31-34
0.0161509867218738,0.0041493914420166,14403060,ok,OL_daioe,asof,2022,35-40
0.0100447096250175,0.003244893978646,17076480,ok,OL_daioe,asof,2022,41-49
0.0633040274913891,0.0111644317597309,20372220,ok,OL_daioe,asof,2022,50+
0.0148669931480484,0.0096186542356489,10547940,ok,entrant,true,2021,22-25
0.0314892639548281,0.0056612777619522,12869100,ok,entrant,true,2021,26-30
0.0240904090117158,0.0053274392690861,12726480,ok,entrant,true,2021,31-34
0.0113258866053521,0.0042809410042951,14406360,ok,entrant,true,2021,35-40
0.0106117453300257,0.0031748982048101,17082840,ok,entrant,true,2021,41-49
0.0561878761743979,0.0121778533751027,20384340,ok,entrant,true,2021,50+
0.0119976409801059,0.0101165620707372,10541700,ok,entrant,asof,2021,22-25
0.0282616482108755,0.0057619436963143,12859920,ok,entrant,asof,2021,26-30
0.0208082815794546,0.0053573268154817,12714420,ok,entrant,asof,2021,31-34
0.0094720467892123,0.0043189411840195,14387820,ok,entrant,asof,2021,35-40
0.009738455282231,0.0032400919117578,17062380,ok,entrant,asof,2021,41-49
0.054601576512229,0.0122409879656492,20373120,ok,entrant,asof,2021,50+
0.0148669931480484,0.0096186542356489,10547940,ok,entrant,true,2022,22-25
0.0314892639548281,0.0056612777619522,12869100,ok,entrant,true,2022,26-30
0.0240904090117158,0.0053274392690861,12726480,ok,entrant,true,2022,31-34
0.0113258866053521,0.0042809410042951,14406360,ok,entrant,true,2022,35-40
0.0106117453300257,0.0031748982048101,17082840,ok,entrant,true,2022,41-49
0.0561878761743979,0.0121778533751027,20384340,ok,entrant,true,2022,50+
0.0104534104542017,0.0099600534546219,10546140,ok,entrant,asof,2022,22-25
0.0285700888204266,0.0057167850780895,12865980,ok,entrant,asof,2022,26-30
0.0211374636861024,0.0053383642956527,12726480,ok,entrant,asof,2022,31-34
0.0100791072611345,0.0043299135929317,14403060,ok,entrant,asof,2022,35-40
0.0105066072414185,0.0032557209308953,17076480,ok,entrant,asof,2022,41-49
0.0541100197699358,0.0123339772080439,20372220,ok,entrant,asof,2022,50+
