spec,coef,se,t,ci_lo,ci_hi,se_vs_other_median,negative,twice_se,beats_pre_max,pre_max_abs,passes
h1only,-0.0494162307464734,0.067221923883756,-0.7351207447130906,-0.1811712015586351,0.0823387400656883,3.805043699027344,True,False,True,0.0091913373906963,False
rebased,-0.0751811291610128,0.0791819578134073,-0.9494729763840594,-0.2303777664752911,0.0800155081532654,4.265056400799858,True,False,True,0.01247428962106,False
