term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group,gender
post_rb_x_high,-0.0020441570758857,0.0163218513424876,0.900333143013327,6393426,9360296,True,10.5409440994263,ok,22-25,men
post_gpt_x_high,-0.150764370341202,0.0150132728621868,9.95602965345687e-24,6393426,9360296,True,10.5409440994263,ok,22-25,men
post_rb_x_high,-0.0033432389499454,0.0109497873176078,0.760118975383482,7398534,10787309,True,12.136528968811,ok,22-25,women
post_gpt_x_high,-0.200372486126684,0.0126637674129901,2.17667739563528e-56,7398534,10787309,True,12.136528968811,ok,22-25,women
post_rb_x_high,0.0127721502128612,0.0133543640902012,0.338868808294878,9363822,16670352,True,17.2668931484222,ok,26-30,men
post_gpt_x_high,-0.0592539463831617,0.0098383478449235,1.71474232135481e-09,9363822,16670352,True,17.2668931484222,ok,26-30,men
post_rb_x_high,0.0122341342775801,0.007383621911614,0.097533912403447,9486828,17951545,True,15.2520241737366,ok,26-30,women
post_gpt_x_high,-0.0552790012420855,0.0075228613070924,2.00991294461385e-13,9486828,17951545,True,15.2520241737366,ok,26-30,women
