age_group,cells,med_coverage,med_expo
22-25,14554,1.0,37.82625
26-30,22531,1.0,42.5550005
31-34,18455,1.0,46.1440018
35-40,23705,1.0,48.82000024545455
41-49,31773,1.0,49.559999871428566
50+,32682,1.0,47.29642892857143
