year_month,age_group,n_workers,n_coded,match_rate,n_excluded,excluded_share
2019-12,41-49,1079585,1036350,0.9599522038561114,43235,0.0400477961438886
2019-12,50+,1951062,1833297,0.9396405649846084,117765,0.0603594350153916
2020-01,22-25,343005,343005,1.0,0,0.0
2020-01,26-30,600260,600260,1.0,0,0.0
2020-01,31-34,480699,480699,1.0,0,0.0
2020-01,35-40,672190,672190,1.0,0,0.0
2020-01,41-49,1050355,1050355,1.0,0,0.0
2020-01,50+,1929488,1929488,1.0,0,0.0
2020-02,22-25,331865,331865,1.0,0,0.0
2020-02,26-30,593690,593690,1.0,0,0.0
2020-02,31-34,478005,478005,1.0,0,0.0
2020-02,35-40,669888,669888,1.0,0,0.0
2020-02,41-49,1046281,1046281,1.0,0,0.0
2020-02,50+,1918774,1918774,1.0,0,0.0
2020-03,22-25,336410,336410,1.0,0,0.0
2020-03,26-30,598452,598452,1.0,0,0.0
2020-03,31-34,480493,480493,1.0,0,0.0
2020-03,35-40,673545,673545,1.0,0,0.0
2020-03,41-49,1053130,1053130,1.0,0,0.0
2020-03,50+,1931946,1931946,1.0,0,0.0
2020-04,22-25,334848,334848,1.0,0,0.0
2020-04,26-30,594844,594844,1.0,0,0.0
2020-04,31-34,478609,478609,1.0,0,0.0
2020-04,35-40,671531,671531,1.0,0,0.0
2020-04,41-49,1049617,1049617,1.0,0,0.0
2020-04,50+,1918862,1918862,1.0,0,0.0
2020-05,22-25,322694,322694,1.0,0,0.0
2020-05,26-30,582996,582996,1.0,0,0.0
2020-05,31-34,471463,471463,1.0,0,0.0
2020-05,35-40,662796,662796,1.0,0,0.0
2020-05,41-49,1037422,1037422,1.0,0,0.0
2020-05,50+,1887758,1887758,1.0,0,0.0
2020-06,22-25,341005,341005,1.0,0,0.0
2020-06,26-30,597292,597292,1.0,0,0.0
2020-06,31-34,479107,479107,1.0,0,0.0
2020-06,35-40,671729,671729,1.0,0,0.0
2020-06,41-49,1052290,1052290,1.0,0,0.0
2020-06,50+,1918571,1918571,1.0,0,0.0
2020-07,22-25,360973,360973,1.0,0,0.0
2020-07,26-30,596133,596133,1.0,0,0.0
2020-07,31-34,471566,471566,1.0,0,0.0
2020-07,35-40,658438,658438,1.0,0,0.0
2020-07,41-49,1028946,1028946,1.0,0,0.0
2020-07,50+,1865178,1865178,1.0,0,0.0
2020-08,22-25,361061,361061,1.0,0,0.0
2020-08,26-30,596997,596997,1.0,0,0.0
2020-08,31-34,471230,471230,1.0,0,0.0
2020-08,35-40,656700,656700,1.0,0,0.0
2020-08,41-49,1023799,1023799,1.0,0,0.0
2020-08,50+,1837019,1837019,1.0,0,0.0
2020-09,22-25,366208,366208,1.0,0,0.0
2020-09,26-30,606921,606921,1.0,0,0.0
2020-09,31-34,479474,479474,1.0,0,0.0
2020-09,35-40,665798,665798,1.0,0,0.0
2020-09,41-49,1037437,1037437,1.0,0,0.0
2020-09,50+,1864267,1864267,1.0,0,0.0
2020-10,22-25,335648,335648,1.0,0,0.0
2020-10,26-30,593223,593223,1.0,0,0.0
2020-10,31-34,475173,475173,1.0,0,0.0
2020-10,35-40,666389,666389,1.0,0,0.0
2020-10,41-49,1040553,1040553,1.0,0,0.0
2020-10,50+,1874191,1874191,1.0,0,0.0
2020-11,22-25,336503,336503,1.0,0,0.0
2020-11,26-30,594528,594528,1.0,0,0.0
2020-11,31-34,476629,476629,1.0,0,0.0
2020-11,35-40,668410,668410,1.0,0,0.0
2020-11,41-49,1042497,1042497,1.0,0,0.0
2020-11,50+,1877831,1877831,1.0,0,0.0
2020-12,22-25,345753,345753,1.0,0,0.0
2020-12,26-30,606474,606474,1.0,0,0.0
2020-12,31-34,485660,485660,1.0,0,0.0
2020-12,35-40,680304,680304,1.0,0,0.0
2020-12,41-49,1060009,1060009,1.0,0,0.0
2020-12,50+,1923235,1923235,1.0,0,0.0
2021-01,22-25,317113,317113,1.0,0,0.0
2021-01,26-30,562338,562338,1.0,0,0.0
2021-01,31-34,486730,486730,1.0,0,0.0
2021-01,35-40,667351,667351,1.0,0,0.0
2021-01,41-49,1027840,1027840,1.0,0,0.0
2021-01,50+,1903746,1903746,1.0,0,0.0
2021-02,22-25,309834,309834,1.0,0,0.0
2021-02,26-30,559187,559187,1.0,0,0.0
2021-02,31-34,485157,485157,1.0,0,0.0
2021-02,35-40,666679,666679,1.0,0,0.0
2021-02,41-49,1025731,1025731,1.0,0,0.0
2021-02,50+,1896743,1896743,1.0,0,0.0
2021-03,22-25,313013,313013,1.0,0,0.0
2021-03,26-30,562037,562037,1.0,0,0.0
2021-03,31-34,486827,486827,1.0,0,0.0
2021-03,35-40,669957,669957,1.0,0,0.0
2021-03,41-49,1032144,1032144,1.0,0,0.0
2021-03,50+,1908322,1908322,1.0,0,0.0
2021-04,22-25,321009,321009,1.0,0,0.0
2021-04,26-30,568998,568998,1.0,0,0.0
2021-04,31-34,491611,491611,1.0,0,0.0
2021-04,35-40,675465,675465,1.0,0,0.0
2021-04,41-49,1038965,1038965,1.0,0,0.0
2021-04,50+,1917215,1917215,1.0,0,0.0
2021-05,22-25,331099,331099,1.0,0,0.0
2021-05,26-30,577555,577555,1.0,0,0.0
2021-05,31-34,497271,497271,1.0,0,0.0
2021-05,35-40,682485,682485,1.0,0,0.0
2021-05,41-49,1049432,1049432,1.0,0,0.0
2021-05,50+,1932068,1932068,1.0,0,0.0
2021-06,22-25,361338,361338,1.0,0,0.0
2021-06,26-30,601446,601446,1.0,0,0.0
2021-06,31-34,509653,509653,1.0,0,0.0
2021-06,35-40,693642,693642,1.0,0,0.0
2021-06,41-49,1059711,1059711,1.0,0,0.0
2021-06,50+,1949435,1949435,1.0,0,0.0
2021-07,22-25,385078,385078,1.0,0,0.0
2021-07,26-30,601125,601125,1.0,0,0.0
2021-07,31-34,502142,502142,1.0,0,0.0
2021-07,35-40,683518,683518,1.0,0,0.0
2021-07,41-49,1044727,1044727,1.0,0,0.0
2021-07,50+,1908341,1908341,1.0,0,0.0
2021-08,22-25,384307,384307,1.0,0,0.0
2021-08,26-30,602845,602845,1.0,0,0.0
2021-08,31-34,502906,502906,1.0,0,0.0
2021-08,35-40,682858,682858,1.0,0,0.0
2021-08,41-49,1041274,1041274,1.0,0,0.0
2021-08,50+,1880136,1880136,1.0,0,0.0
2021-09,22-25,389644,389644,1.0,0,0.0
2021-09,26-30,614069,614069,1.0,0,0.0
2021-09,31-34,512981,512981,1.0,0,0.0
2021-09,35-40,694993,694993,1.0,0,0.0
2021-09,41-49,1057607,1057607,1.0,0,0.0
2021-09,50+,1909676,1909676,1.0,0,0.0
2021-10,22-25,354268,354268,1.0,0,0.0
2021-10,26-30,598285,598285,1.0,0,0.0
2021-10,31-34,508208,508208,1.0,0,0.0
2021-10,35-40,693969,693969,1.0,0,0.0
2021-10,41-49,1060832,1060832,1.0,0,0.0
2021-10,50+,1923030,1923030,1.0,0,0.0
2021-11,22-25,356191,356191,1.0,0,0.0
2021-11,26-30,600521,600521,1.0,0,0.0
2021-11,31-34,510138,510138,1.0,0,0.0
2021-11,35-40,697293,697293,1.0,0,0.0
2021-11,41-49,1063779,1063779,1.0,0,0.0
2021-11,50+,1926470,1926470,1.0,0,0.0
2021-12,22-25,363497,363497,1.0,0,0.0
2021-12,26-30,608864,608864,1.0,0,0.0
2021-12,31-34,517243,517243,1.0,0,0.0
2021-12,35-40,707932,707932,1.0,0,0.0
2021-12,41-49,1082699,1082699,1.0,0,0.0
2021-12,50+,1974771,1974771,1.0,0,0.0
2022-01,22-25,350406,350406,1.0,0,0.0
2022-01,26-30,570620,570620,1.0,0,0.0
2022-01,31-34,521488,521488,1.0,0,0.0
2022-01,35-40,705918,705918,1.0,0,0.0
2022-01,41-49,1051722,1051722,1.0,0,0.0
2022-01,50+,1963886,1963886,1.0,0,0.0
2022-02,22-25,339363,339363,1.0,0,0.0
2022-02,26-30,564003,564003,1.0,0,0.0
2022-02,31-34,518700,518700,1.0,0,0.0
2022-02,35-40,703083,703083,1.0,0,0.0
2022-02,41-49,1045730,1045730,1.0,0,0.0
2022-02,50+,1948533,1948533,1.0,0,0.0
2022-03,22-25,344424,344424,1.0,0,0.0
2022-03,26-30,569372,569372,1.0,0,0.0
2022-03,31-34,523385,523385,1.0,0,0.0
2022-03,35-40,710436,710436,1.0,0,0.0
2022-03,41-49,1057473,1057473,1.0,0,0.0
2022-03,50+,1971221,1971221,1.0,0,0.0
2022-04,22-25,352858,352858,1.0,0,0.0
2022-04,26-30,577202,577202,1.0,0,0.0
2022-04,31-34,528685,528685,1.0,0,0.0
2022-04,35-40,715588,715588,1.0,0,0.0
2022-04,41-49,1062845,1062845,1.0,0,0.0
2022-04,50+,1976513,1976513,1.0,0,0.0
2022-05,22-25,367020,367020,1.0,0,0.0
2022-05,26-30,589143,589143,1.0,0,0.0
2022-05,31-34,537485,537485,1.0,0,0.0
2022-05,35-40,726857,726857,1.0,0,0.0
2022-05,41-49,1077826,1077826,1.0,0,0.0
2022-05,50+,2000328,2000328,1.0,0,0.0
2022-06,22-25,393239,393239,1.0,0,0.0
2022-06,26-30,608689,608689,1.0,0,0.0
2022-06,31-34,547946,547946,1.0,0,0.0
2022-06,35-40,736610,736610,1.0,0,0.0
2022-06,41-49,1086393,1086393,1.0,0,0.0
2022-06,50+,2012144,2012144,1.0,0,0.0
2022-07,22-25,411379,411379,1.0,0,0.0
2022-07,26-30,604587,604587,1.0,0,0.0
2022-07,31-34,538355,538355,1.0,0,0.0
2022-07,35-40,722475,722475,1.0,0,0.0
2022-07,41-49,1065576,1065576,1.0,0,0.0
2022-07,50+,1959563,1959563,1.0,0,0.0
2022-08,22-25,403897,403897,1.0,0,0.0
2022-08,26-30,601781,601781,1.0,0,0.0
2022-08,31-34,535966,535966,1.0,0,0.0
2022-08,35-40,718036,718036,1.0,0,0.0
2022-08,41-49,1056732,1056732,1.0,0,0.0
2022-08,50+,1920374,1920374,1.0,0,0.0
2022-09,22-25,408944,408944,1.0,0,0.0
2022-09,26-30,612871,612871,1.0,0,0.0
2022-09,31-34,546823,546823,1.0,0,0.0
2022-09,35-40,731974,731974,1.0,0,0.0
2022-09,41-49,1074194,1074194,1.0,0,0.0
2022-09,50+,1955613,1955613,1.0,0,0.0
2022-10,22-25,374426,374426,1.0,0,0.0
2022-10,26-30,598591,598591,1.0,0,0.0
2022-10,31-34,542559,542559,1.0,0,0.0
2022-10,35-40,732287,732287,1.0,0,0.0
2022-10,41-49,1080469,1080469,1.0,0,0.0
2022-10,50+,1978032,1978032,1.0,0,0.0
2022-11,22-25,367131,367131,1.0,0,0.0
2022-11,26-30,592843,592843,1.0,0,0.0
2022-11,31-34,539029,539029,1.0,0,0.0
2022-11,35-40,729118,729118,1.0,0,0.0
2022-11,41-49,1074980,1074980,1.0,0,0.0
2022-11,50+,1964966,1964966,1.0,0,0.0
2022-12,22-25,371626,371626,1.0,0,0.0
2022-12,26-30,598274,598274,1.0,0,0.0
2022-12,31-34,544148,544148,1.0,0,0.0
2022-12,35-40,736741,736741,1.0,0,0.0
2022-12,41-49,1090593,1090593,1.0,0,0.0
2022-12,50+,2008163,2008163,1.0,0,0.0
2023-01,22-25,364659,364659,1.0,0,0.0
2023-01,26-30,563075,563075,1.0,0,0.0
2023-01,31-34,542819,542819,1.0,0,0.0
2023-01,35-40,745499,745499,1.0,0,0.0
2023-01,41-49,1069743,1069743,1.0,0,0.0
2023-01,50+,2050341,2050341,1.0,0,0.0
2023-02,22-25,347396,347396,1.0,0,0.0
2023-02,26-30,552490,552490,1.0,0,0.0
2023-02,31-34,537831,537831,1.0,0,0.0
2023-02,35-40,740260,740260,1.0,0,0.0
2023-02,41-49,1062820,1062820,1.0,0,0.0
2023-02,50+,2036203,2036203,1.0,0,0.0
2023-03,22-25,351430,351430,1.0,0,0.0
2023-03,26-30,556358,556358,1.0,0,0.0
2023-03,31-34,541224,541224,1.0,0,0.0
2023-03,35-40,744646,744646,1.0,0,0.0
2023-03,41-49,1069872,1069872,1.0,0,0.0
2023-03,50+,2051591,2051591,1.0,0,0.0
2023-04,22-25,359797,359797,1.0,0,0.0
2023-04,26-30,560340,560340,1.0,0,0.0
2023-04,31-34,543223,543223,1.0,0,0.0
2023-04,35-40,746584,746584,1.0,0,0.0
2023-04,41-49,1071542,1071542,1.0,0,0.0
2023-04,50+,2054669,2054669,1.0,0,0.0
2023-05,22-25,365693,365693,1.0,0,0.0
2023-05,26-30,567852,567852,1.0,0,0.0
2023-05,31-34,549822,549822,1.0,0,0.0
2023-05,35-40,754038,754038,1.0,0,0.0
2023-05,41-49,1082319,1082319,1.0,0,0.0
2023-05,50+,2074680,2074680,1.0,0,0.0
2023-06,22-25,393316,393316,1.0,0,0.0
2023-06,26-30,585464,585464,1.0,0,0.0
2023-06,31-34,558861,558861,1.0,0,0.0
2023-06,35-40,763223,763223,1.0,0,0.0
2023-06,41-49,1089720,1089720,1.0,0,0.0
2023-06,50+,2085869,2085869,1.0,0,0.0
2023-07,22-25,410071,410071,1.0,0,0.0
2023-07,26-30,581174,581174,1.0,0,0.0
2023-07,31-34,549969,549969,1.0,0,0.0
2023-07,35-40,749684,749684,1.0,0,0.0
2023-07,41-49,1070360,1070360,1.0,0,0.0
2023-07,50+,2034916,2034916,1.0,0,0.0
2023-08,22-25,401568,401568,1.0,0,0.0
2023-08,26-30,574746,574746,1.0,0,0.0
2023-08,31-34,543937,543937,1.0,0,0.0
2023-08,35-40,741370,741370,1.0,0,0.0
2023-08,41-49,1057421,1057421,1.0,0,0.0
2023-08,50+,1992387,1992387,1.0,0,0.0
2023-09,22-25,405029,405029,1.0,0,0.0
2023-09,26-30,583408,583408,1.0,0,0.0
2023-09,31-34,552735,552735,1.0,0,0.0
2023-09,35-40,753880,753880,1.0,0,0.0
2023-09,41-49,1074537,1074537,1.0,0,0.0
2023-09,50+,2028513,2028513,1.0,0,0.0
2023-10,22-25,368901,368901,1.0,0,0.0
2023-10,26-30,568417,568417,1.0,0,0.0
2023-10,31-34,547385,547385,1.0,0,0.0
2023-10,35-40,750907,750907,1.0,0,0.0
2023-10,41-49,1074816,1074816,1.0,0,0.0
2023-10,50+,2036686,2036686,1.0,0,0.0
2023-11,22-25,362280,362280,1.0,0,0.0
2023-11,26-30,563518,563518,1.0,0,0.0
2023-11,31-34,544010,544010,1.0,0,0.0
2023-11,35-40,748072,748072,1.0,0,0.0
2023-11,41-49,1071185,1071185,1.0,0,0.0
2023-11,50+,2035292,2035292,1.0,0,0.0
2023-12,22-25,365606,365606,1.0,0,0.0
2023-12,26-30,566762,566762,1.0,0,0.0
2023-12,31-34,547696,547696,1.0,0,0.0
2023-12,35-40,753719,753719,1.0,0,0.0
2023-12,41-49,1083706,1083706,1.0,0,0.0
2023-12,50+,2070330,2070330,1.0,0,0.0
2024-01,22-25,353148,353148,1.0,0,0.0
2024-01,26-30,533018,533018,1.0,0,0.0
2024-01,31-34,534676,534676,1.0,0,0.0
2024-01,35-40,759853,759853,1.0,0,0.0
2024-01,41-49,1055903,1055903,1.0,0,0.0
2024-01,50+,2068153,2068153,1.0,0,0.0
2024-02,22-25,339942,339942,1.0,0,0.0
2024-02,26-30,523695,523695,1.0,0,0.0
2024-02,31-34,529983,529983,1.0,0,0.0
2024-02,35-40,754940,754940,1.0,0,0.0
2024-02,41-49,1048436,1048436,1.0,0,0.0
2024-02,50+,2052722,2052722,1.0,0,0.0
2024-03,22-25,341360,341360,1.0,0,0.0
2024-03,26-30,527002,527002,1.0,0,0.0
2024-03,31-34,531974,531974,1.0,0,0.0
2024-03,35-40,759378,759378,1.0,0,0.0
2024-03,41-49,1054804,1054804,1.0,0,0.0
2024-03,50+,2065318,2065318,1.0,0,0.0
2024-04,22-25,346953,346953,1.0,0,0.0
2024-04,26-30,529868,529868,1.0,0,0.0
2024-04,31-34,533465,533465,1.0,0,0.0
2024-04,35-40,760998,760998,1.0,0,0.0
2024-04,41-49,1057032,1057032,1.0,0,0.0
2024-04,50+,2069659,2069659,1.0,0,0.0
2024-05,22-25,354920,354920,1.0,0,0.0
2024-05,26-30,536344,536344,1.0,0,0.0
2024-05,31-34,539142,539142,1.0,0,0.0
2024-05,35-40,768542,768542,1.0,0,0.0
2024-05,41-49,1067600,1067600,1.0,0,0.0
2024-05,50+,2092160,2092160,1.0,0,0.0
2024-06,22-25,384267,384267,1.0,0,0.0
2024-06,26-30,554691,554691,1.0,0,0.0
2024-06,31-34,549766,549766,1.0,0,0.0
2024-06,35-40,779354,779354,1.0,0,0.0
2024-06,41-49,1077097,1077097,1.0,0,0.0
2024-06,50+,2109869,2109869,1.0,0,0.0
2024-07,22-25,400629,400629,1.0,0,0.0
2024-07,26-30,549186,549186,1.0,0,0.0
2024-07,31-34,538295,538295,1.0,0,0.0
2024-07,35-40,761783,761783,1.0,0,0.0
2024-07,41-49,1054489,1054489,1.0,0,0.0
2024-07,50+,2055761,2055761,1.0,0,0.0
2024-08,22-25,391243,391243,1.0,0,0.0
2024-08,26-30,542161,542161,1.0,0,0.0
2024-08,31-34,531972,531972,1.0,0,0.0
2024-08,35-40,751770,751770,1.0,0,0.0
2024-08,41-49,1040427,1040427,1.0,0,0.0
2024-08,50+,2007675,2007675,1.0,0,0.0
2024-09,22-25,396297,396297,1.0,0,0.0
2024-09,26-30,551259,551259,1.0,0,0.0
2024-09,31-34,540830,540830,1.0,0,0.0
2024-09,35-40,765449,765449,1.0,0,0.0
2024-09,41-49,1057362,1057362,1.0,0,0.0
2024-09,50+,2041272,2041272,1.0,0,0.0
2024-10,22-25,355222,355222,1.0,0,0.0
2024-10,26-30,534710,534710,1.0,0,0.0
2024-10,31-34,534558,534558,1.0,0,0.0
2024-10,35-40,761375,761375,1.0,0,0.0
2024-10,41-49,1056958,1056958,1.0,0,0.0
2024-10,50+,2049543,2049543,1.0,0,0.0
2024-11,22-25,350902,350902,1.0,0,0.0
2024-11,26-30,530368,530368,1.0,0,0.0
2024-11,31-34,531156,531156,1.0,0,0.0
2024-11,35-40,757971,757971,1.0,0,0.0
2024-11,41-49,1053910,1053910,1.0,0,0.0
2024-11,50+,2045217,2045217,1.0,0,0.0
2024-12,22-25,354336,354336,1.0,0,0.0
2024-12,26-30,532849,532849,1.0,0,0.0
2024-12,31-34,535536,535536,1.0,0,0.0
2024-12,35-40,764722,764722,1.0,0,0.0
2024-12,41-49,1065773,1065773,1.0,0,0.0
2024-12,50+,2083340,2083340,1.0,0,0.0
2025-01,22-25,345513,345513,1.0,0,0.0
2025-01,26-30,513812,513812,1.0,0,0.0
2025-01,31-34,516312,516312,1.0,0,0.0
2025-01,35-40,780234,780234,1.0,0,0.0
2025-01,41-49,1051009,1051009,1.0,0,0.0
2025-01,50+,2081404,2081404,1.0,0,0.0
2025-02,22-25,336883,336883,1.0,0,0.0
2025-02,26-30,507702,507702,1.0,0,0.0
2025-02,31-34,512313,512313,1.0,0,0.0
2025-02,35-40,776151,776151,1.0,0,0.0
2025-02,41-49,1045611,1045611,1.0,0,0.0
2025-02,50+,2068155,2068155,1.0,0,0.0
2025-03,22-25,337831,337831,1.0,0,0.0
2025-03,26-30,508999,508999,1.0,0,0.0
2025-03,31-34,513352,513352,1.0,0,0.0
2025-03,35-40,777858,777858,1.0,0,0.0
2025-03,41-49,1050289,1050289,1.0,0,0.0
2025-03,50+,2079899,2079899,1.0,0,0.0
2025-04,22-25,343764,343764,1.0,0,0.0
2025-04,26-30,511753,511753,1.0,0,0.0
2025-04,31-34,514847,514847,1.0,0,0.0
2025-04,35-40,779916,779916,1.0,0,0.0
2025-04,41-49,1052407,1052407,1.0,0,0.0
2025-04,50+,2082772,2082772,1.0,0,0.0
2025-05,22-25,352570,352570,1.0,0,0.0
2025-05,26-30,517435,517435,1.0,0,0.0
2025-05,31-34,518667,518667,1.0,0,0.0
2025-05,35-40,784604,784604,1.0,0,0.0
2025-05,41-49,1057623,1057623,1.0,0,0.0
2025-05,50+,2089981,2089981,1.0,0,0.0
2025-06,22-25,381725,381725,1.0,0,0.0
2025-06,26-30,536491,536491,1.0,0,0.0
2025-06,31-34,530909,530909,1.0,0,0.0
2025-06,35-40,799087,799087,1.0,0,0.0
2025-06,41-49,1072892,1072892,1.0,0,0.0
2025-06,50+,2158237,2158237,1.0,0,0.0
