year_month,age_group,n_workers,n_coded,match_rate,n_excluded,excluded_share
2019-01,22-25,360866,356272,0.9872695127831383,4594,0.0127304872168616
2019-01,26-30,604815,571104,0.9442622950819672,33711,0.0557377049180327
2019-01,31-34,464952,442000,0.9506357645520398,22952,0.0493642354479602
2019-01,35-40,662403,633338,0.9561218774673425,29065,0.0438781225326576
2019-01,41-49,1055600,1014252,0.960829859795377,41348,0.0391701402046229
2019-01,50+,1927610,1817147,0.9426943209466644,110463,0.0573056790533355
2019-02,22-25,352030,347586,0.987376075902622,4444,0.0126239240973781
2019-02,26-30,599960,566841,0.9447979865324356,33119,0.0552020134675644
2019-02,31-34,463292,440548,0.9509078507722992,22744,0.0490921492277008
2019-02,35-40,660456,631850,0.9566875007570528,28606,0.0433124992429473
2019-02,41-49,1051072,1010246,0.9611577513243622,40826,0.0388422486756377
2019-02,50+,1909651,1801237,0.9432283700005916,108414,0.0567716299994083
2019-03,22-25,353019,348606,0.9874992564139607,4413,0.0125007435860392
2019-03,26-30,601195,567986,0.9447616829813954,33209,0.0552383170186046
2019-03,31-34,464866,441928,0.950656748396312,22938,0.0493432516036879
2019-03,35-40,663642,634658,0.9563258503831884,28984,0.0436741496168114
2019-03,41-49,1056161,1014844,0.9608800173458404,41317,0.0391199826541597
2019-03,50+,1920679,1810108,0.9424312964321472,110571,0.0575687035678528
2019-04,22-25,362223,357642,0.9873530946405944,4581,0.0126469053594057
2019-04,26-30,610462,576219,0.9439064184175264,34243,0.0560935815824735
2019-04,31-34,470092,446788,0.9504267249814928,23304,0.049573275018507
2019-04,35-40,669533,639995,0.9558826824069911,29538,0.0441173175930088
2019-04,41-49,1062563,1020518,0.9604305815278718,42045,0.0395694184721282
2019-04,50+,1931429,1819333,0.9419621430557374,112096,0.0580378569442625
2019-05,22-25,370656,365973,0.9873656436156436,4683,0.0126343563843563
2019-05,26-30,618724,583792,0.943541870042216,34932,0.0564581299577841
2019-05,31-34,474947,451144,0.9498828290314498,23803,0.0501171709685501
2019-05,35-40,674835,644828,0.955534315795713,30007,0.0444656842042869
2019-05,41-49,1069160,1026810,0.9603894646264356,42350,0.0396105353735642
2019-05,50+,1939341,1826235,0.941678126745116,113106,0.058321873254884
2019-06,22-25,396004,390788,0.9868284158745873,5216,0.0131715841254128
2019-06,26-30,637836,601003,0.942253181068488,36833,0.0577468189315121
2019-06,31-34,484195,459695,0.9494005514307252,24500,0.0505994485692747
2019-06,35-40,683787,652963,0.9549216349535748,30824,0.0450783650464252
2019-06,41-49,1080622,1037406,0.9600082174895568,43216,0.0399917825104431
2019-06,50+,1964892,1848361,0.940693432514357,116531,0.059306567485643
2019-07,22-25,412876,407268,0.9864172293860628,5608,0.0135827706139373
2019-07,26-30,632945,596099,0.9417864111415684,36846,0.0582135888584316
2019-07,31-34,474360,450438,0.9495699468757904,23922,0.0504300531242094
2019-07,35-40,669217,639554,0.9556750650386944,29663,0.0443249349613055
2019-07,41-49,1057600,1015890,0.9605616490166414,41710,0.0394383509833585
2019-07,50+,1905605,1795037,0.9419774822169338,110568,0.0580225177830662
2019-08,22-25,403625,398253,0.986690616289873,5372,0.013309383710127
2019-08,26-30,626122,590078,0.9424329443782522,36044,0.0575670556217478
2019-08,31-34,469725,446498,0.950551918675821,23227,0.0494480813241789
2019-08,35-40,662578,633799,0.9565651138432004,28779,0.0434348861567996
2019-08,41-49,1046341,1005800,0.9612545049845128,40541,0.0387454950154873
2019-08,50+,1865766,1759651,0.9431252364980388,106115,0.056874763501961
2019-09,22-25,406423,401021,0.98670842939499,5402,0.01329157060501
2019-09,26-30,635159,598855,0.9428426582950096,36304,0.0571573417049904
2019-09,31-34,477867,454216,0.95050714947883,23651,0.0494928505211701
2019-09,35-40,674769,645041,0.955943441385126,29728,0.0440565586148741
2019-09,41-49,1062833,1021078,0.960713489325228,41755,0.039286510674772
2019-09,50+,1896741,1786692,0.9419799540369508,110049,0.0580200459630492
2019-10,22-25,371231,366700,0.987794661544968,4531,0.012205338455032
2019-10,26-30,618836,584528,0.9445604328125708,34308,0.0554395671874292
2019-10,31-34,473888,450492,0.9506296846512255,23396,0.0493703153487743
2019-10,35-40,673092,643375,0.9558500175310358,29717,0.0441499824689641
2019-10,41-49,1063494,1021528,0.96053950468926,41966,0.0394604953107399
2019-10,50+,1906304,1795254,0.9417459125092326,111050,0.0582540874907674
2019-11,22-25,373019,368402,0.987622614397658,4617,0.0123773856023419
2019-11,26-30,619498,584603,0.9436721345347362,34895,0.0563278654652638
2019-11,31-34,474581,450950,0.9502066032984886,23631,0.0497933967015113
2019-11,35-40,672957,643002,0.9554874977153072,29955,0.0445125022846928
2019-11,41-49,1063456,1021261,0.9603227590046038,42195,0.0396772409953961
2019-11,50+,1907768,1795630,0.9412203160971356,112138,0.0587796839028644
2019-12,22-25,374572,369882,0.9874790427474558,4690,0.0125209572525442
2019-12,26-30,623611,588286,0.9433541101744516,35325,0.0566458898255483
2019-12,31-34,478288,454454,0.9501680995550796,23834,0.0498319004449202
2019-12,35-40,680618,650208,0.955320017983656,30410,0.0446799820163439
