year_month,age_group,exposure_quartile,n_coded,share_fresh
2019-12,50+,4,484741,0.7210283429707823
2020-01,22-25,1,88339,0.5749442488595071
2020-01,22-25,2,149715,0.6452793641251712
2020-01,22-25,3,33840,0.644001182033097
2020-01,22-25,4,42665,0.6574475565451775
2020-01,26-30,1,131815,0.5952812654098547
2020-01,26-30,2,208565,0.6676335914463117
2020-01,26-30,3,87823,0.7265864295230179
2020-01,26-30,4,142407,0.7093190643718357
2020-01,31-34,1,95732,0.6202837086867505
2020-01,31-34,2,149084,0.6946553620777548
2020-01,31-34,3,82394,0.7381726824768794
2020-01,31-34,4,132828,0.7009666636552534
2020-01,35-40,1,126078,0.6452672155332413
2020-01,35-40,2,191633,0.7211127519790432
2020-01,35-40,3,127883,0.7553466840784154
2020-01,35-40,4,199334,0.7142484473296076
2020-01,41-49,1,188736,0.6768131146151237
2020-01,41-49,2,281308,0.7427943748489201
2020-01,41-49,3,219681,0.7544985683786946
2020-01,41-49,4,324372,0.736330509415116
2020-01,50+,1,398087,0.6485366264158338
2020-01,50+,2,535437,0.6900774507551776
2020-01,50+,3,388999,0.6617317782307923
2020-01,50+,4,501964,0.6613263102533249
2020-02,22-25,1,85370,0.5855687009488111
2020-02,22-25,2,145058,0.6564132967502654
2020-02,22-25,3,33012,0.6531564279655883
2020-02,22-25,4,41571,0.66531957374131
2020-02,26-30,1,129763,0.6011266693895795
2020-02,26-30,2,205821,0.6744598461770179
2020-02,26-30,3,87240,0.7301123337918386
2020-02,26-30,4,141683,0.7116097202910723
2020-02,31-34,1,94933,0.6242191861628728
2020-02,31-34,2,147926,0.6989846274488596
2020-02,31-34,3,82004,0.7399517096726989
2020-02,31-34,4,132514,0.703095521982583
2020-02,35-40,1,125310,0.6481286409703935
2020-02,35-40,2,190885,0.7242213898420515
2020-02,35-40,3,127369,0.7563771404344857
2020-02,35-40,4,199061,0.7149918869090379
2020-02,41-49,1,187902,0.6798703579525497
2020-02,41-49,2,280251,0.7446753089195043
2020-02,41-49,3,218719,0.7550921502018572
2020-02,41-49,4,323123,0.7370258384578009
2020-02,50+,1,395673,0.6530190333937368
2020-02,50+,2,532534,0.6926506101018902
2020-02,50+,3,386443,0.6630861472455187
2020-02,50+,4,499308,0.6634181707483157
2020-03,22-25,1,86332,0.5907427141731919
2020-03,22-25,2,146516,0.6610813836031559
2020-03,22-25,3,33604,0.6516783716224259
2020-03,22-25,4,41894,0.66992886809567
2020-03,26-30,1,131334,0.6042304353785006
2020-03,26-30,2,207052,0.6775447713617835
2020-03,26-30,3,87864,0.7306291541473185
2020-03,26-30,4,142201,0.7127727653110738
2020-03,31-34,1,95743,0.6272416782427959
2020-03,31-34,2,148494,0.7010316915161555
2020-03,31-34,3,82444,0.7400538547377614
2020-03,31-34,4,132736,0.7042550626808101
2020-03,35-40,1,126332,0.6504211126238799
2020-03,35-40,2,191803,0.7262347304265314
2020-03,35-40,3,127837,0.7562599247479211
2020-03,35-40,4,199706,0.7159023764934453
2020-03,41-49,1,189664,0.6822538805466509
2020-03,41-49,2,281599,0.7455637271439174
2020-03,41-49,3,219826,0.7543056781272461
2020-03,41-49,4,325025,0.7366017998615492
2020-03,50+,1,397381,0.6544323961135535
2020-03,50+,2,534644,0.6932388654880631
2020-03,50+,3,389211,0.661677085180018
2020-03,50+,4,503866,0.6613107453172073
2020-04,22-25,1,86520,0.5956426259824318
2020-04,22-25,2,146108,0.6655898376543379
2020-04,22-25,3,32902,0.6562518995805726
2020-04,22-25,4,41742,0.674740069953524
2020-04,26-30,1,130931,0.6085953670253798
2020-04,26-30,2,205632,0.6814065904139434
2020-04,26-30,3,86987,0.7316725487716556
2020-04,26-30,4,141512,0.7147097065973204
2020-04,31-34,1,95629,0.6297462066946219
2020-04,31-34,2,147692,0.7039446957181161
2020-04,31-34,3,81953,0.7412541334667432
2020-04,31-34,4,132316,0.7056667372048732
2020-04,35-40,1,125797,0.6521538669443627
2020-04,35-40,2,190872,0.7280585942411668
2020-04,35-40,3,127444,0.7565911302219014
2020-04,35-40,4,199431,0.7158114836710441
2020-04,41-49,1,188707,0.6826985750396116
2020-04,41-49,2,280012,0.7459608873905405
2020-04,41-49,3,219201,0.7539883485933002
2020-04,41-49,4,324307,0.7367278535461769
2020-04,50+,1,395231,0.6566033534818878
2020-04,50+,2,530016,0.6955488136207209
2020-04,50+,3,386673,0.6634546503117621
2020-04,50+,4,500507,0.663437274603552
2020-05,22-25,1,83076,0.6048437575232317
2020-05,22-25,2,141721,0.6732947128513065
2020-05,22-25,3,31415,0.6651599554353016
2020-05,22-25,4,40327,0.6796191137451335
2020-05,26-30,1,127562,0.614697166867876
2020-05,26-30,2,201393,0.687233419235028
2020-05,26-30,3,85350,0.7372934973637961
2020-05,26-30,4,140005,0.7174315203028463
2020-05,31-34,1,93322,0.6353164312809413
2020-05,31-34,2,145317,0.7087470839612708
2020-05,31-34,3,80811,0.7447995941146626
2020-05,31-34,4,131535,0.7084882350705135
2020-05,35-40,1,123335,0.6560262699152715
2020-05,35-40,2,187993,0.7322879043368636
2020-05,35-40,3,126021,0.75919886368145
2020-05,35-40,4,198288,0.7182280319535221
2020-05,41-49,1,185226,0.6868366212086856
2020-05,41-49,2,276247,0.7486343743099473
2020-05,41-49,3,217053,0.7559674365247198
2020-05,41-49,4,322649,0.7379784223722993
2020-05,50+,1,387095,0.6630594556891719
2020-05,50+,2,518886,0.7022139737822951
2020-05,50+,3,381341,0.6676386750965672
2020-05,50+,4,496016,0.6666680107093319
2020-06,22-25,1,87002,0.5990666881221122
2020-06,22-25,2,147764,0.6673750033837741
2020-06,22-25,3,33769,0.6585921999466967
2020-06,22-25,4,42946,0.6707027429795557
2020-06,26-30,1,130520,0.6140974563285321
2020-06,26-30,2,206214,0.6874945445023132
2020-06,26-30,3,87670,0.7399452492300673
2020-06,26-30,4,142663,0.7185184665961041
2020-06,31-34,1,94902,0.6379528355566795
2020-06,31-34,2,147614,0.7120259595973282
2020-06,31-34,3,82024,0.7469886862381742
2020-06,31-34,4,133583,0.7105919166360989
2020-06,35-40,1,124841,0.6600956416561866
2020-06,35-40,2,190594,0.7350598654732048
2020-06,35-40,3,127673,0.7614060921259781
2020-06,35-40,4,200840,0.720354511053575
2020-06,41-49,1,187116,0.690106671797174
2020-06,41-49,2,280222,0.7514006751789652
2020-06,41-49,3,219986,0.7577391288536544
2020-06,41-49,4,327881,0.7399178360441746
2020-06,50+,1,392174,0.6656586107187116
2020-06,50+,2,525814,0.7049584073455633
2020-06,50+,3,387728,0.6679063673503074
2020-06,50+,4,505767,0.6678648468563587
2020-07,22-25,1,90945,0.588366595194898
2020-07,22-25,2,156569,0.6535329471351289
2020-07,22-25,3,34854,0.6458369197222701
2020-07,22-25,4,44539,0.6609263791284044
2020-07,26-30,1,130959,0.6148718301147688
2020-07,26-30,2,207584,0.6868978341297981
2020-07,26-30,3,86211,0.7409611302502
2020-07,26-30,4,140414,0.7197715327531443
2020-07,31-34,1,94106,0.640554268590738
2020-07,31-34,2,146545,0.7143266573407486
2020-07,31-34,3,79980,0.7502375593898475
2020-07,31-34,4,129987,0.7142175756037142
2020-07,35-40,1,123411,0.6627124000291709
2020-07,35-40,2,188014,0.7380035529269097
2020-07,35-40,3,124336,0.7639380388624373
2020-07,35-40,4,195197,0.723059268328919
2020-07,41-49,1,184945,0.6929844007677959
2020-07,41-49,2,274970,0.753711313961523
2020-07,41-49,3,214238,0.7601032496569237
2020-07,41-49,4,318375,0.7418233215547703
2020-07,50+,1,383800,0.6711386138613862
2020-07,50+,2,512845,0.709190886135187
2020-07,50+,3,376169,0.6729076558674426
2020-07,50+,4,488604,0.6725917102602517
2020-08,22-25,1,91524,0.5923364363445653
2020-08,22-25,2,155580,0.6571538758195141
2020-08,22-25,3,34771,0.658307210031348
2020-08,22-25,4,44982,0.6714241252056378
2020-08,26-30,1,130985,0.6204832614421498
2020-08,26-30,2,206666,0.6917586830925261
2020-08,26-30,3,86795,0.7485569445244542
2020-08,26-30,4,141733,0.7269513804124657
2020-08,31-34,1,93975,0.6448310720936419
2020-08,31-34,2,145639,0.7191548966966266
2020-08,31-34,3,80326,0.7578617135174165
2020-08,31-34,4,130544,0.719833925726192
2020-08,35-40,1,122772,0.6674893298146157
2020-08,35-40,2,186787,0.7414916455641988
2020-08,35-40,3,124599,0.7689387555277329
2020-08,35-40,4,195268,0.7284654935780568
2020-08,41-49,1,183904,0.6957869323125109
2020-08,41-49,2,273009,0.756747946038409
2020-08,41-49,3,213724,0.764284778499373
2020-08,41-49,4,317279,0.7454227982312097
2020-08,50+,1,378246,0.6759569169270792
2020-08,50+,2,506195,0.7125969241102738
2020-08,50+,3,370199,0.6783837881787903
2020-08,50+,4,480956,0.6778936118896531
2020-09,22-25,1,92682,0.6084460844608446
2020-09,22-25,2,158002,0.6722699712661865
2020-09,22-25,3,35967,0.673339450051436
2020-09,22-25,4,46330,0.6853658536585366
2020-09,26-30,1,132504,0.6287583771055968
2020-09,26-30,2,210305,0.6991369677373339
2020-09,26-30,3,88680,0.7501804239963915
2020-09,26-30,4,144150,0.7294484911550468
2020-09,31-34,1,95518,0.6506208253941665
2020-09,31-34,2,148507,0.7239052704586316
2020-09,31-34,3,81719,0.7584772207197836
2020-09,31-34,4,132436,0.7212087347851037
2020-09,35-40,1,124506,0.6721764412960018
2020-09,35-40,2,189653,0.7456301772183936
2020-09,35-40,3,126361,0.7696836840480844
2020-09,35-40,4,197480,0.7291472554182702
2020-09,41-49,1,186586,0.6986965795933242
2020-09,41-49,2,277016,0.757800993444422
2020-09,41-49,3,216513,0.7641296365576201
2020-09,41-49,4,320577,0.7451688673859946
2020-09,50+,1,383539,0.6784368734339924
2020-09,50+,2,512649,0.714313302083882
2020-09,50+,3,376408,0.6783038617670187
2020-09,50+,4,487259,0.6776231942355092
2020-10,22-25,1,86174,0.6509271938171606
2020-10,22-25,2,145015,0.7292142192187016
2020-10,22-25,3,33461,0.7141448253190281
2020-10,22-25,4,43861,0.7205718063883633
2020-10,26-30,1,129558,0.6452554068448109
2020-10,26-30,2,204208,0.7210491263809449
2020-10,26-30,3,87138,0.7585553948908628
2020-10,26-30,4,142295,0.7335886714220458
2020-10,31-34,1,94542,0.6608491464111189
2020-10,31-34,2,146430,0.7361128184115276
2020-10,31-34,3,81322,0.7607904380118541
2020-10,31-34,4,131702,0.721788583316882
2020-10,35-40,1,124745,0.6784400176359774
2020-10,35-40,2,189315,0.7517946280009508
2020-10,35-40,3,126547,0.7706148703643706
2020-10,35-40,4,197817,0.7291739334839776
2020-10,41-49,1,186898,0.7032820040877912
2020-10,41-49,2,277231,0.7611775017945324
2020-10,41-49,3,217146,0.7635738166947583
2020-10,41-49,4,322165,0.7456613846941784
2020-10,50+,1,384035,0.6830028513026156
2020-10,50+,2,513796,0.7174579015796153
2020-10,50+,3,379038,0.6793672402239354
2020-10,50+,4,491746,0.6789989140735258
2020-11,22-25,1,86143,0.6410967809340283
2020-11,22-25,2,145156,0.7270798313538538
2020-11,22-25,3,33433,0.7175844225764962
2020-11,22-25,4,43788,0.7154928290855942
2020-11,26-30,1,129508,0.6387404639095654
2020-11,26-30,2,204258,0.7186499427195018
2020-11,26-30,3,87400,0.7573340961098398
2020-11,26-30,4,142368,0.7308313665992358
2020-11,31-34,1,94652,0.657059544436462
2020-11,31-34,2,146743,0.7352991284081694
2020-11,31-34,3,81604,0.7591907259448066
2020-11,31-34,4,131916,0.7198292853027685
2020-11,35-40,1,124746,0.674883362993603
2020-11,35-40,2,189852,0.7512378062912163
2020-11,35-40,3,127021,0.7693609718078113
2020-11,35-40,4,198264,0.7267733930516886
2020-11,41-49,1,186998,0.7007133766136536
2020-11,41-49,2,278062,0.760758392013292
2020-11,41-49,3,217731,0.7631435119482297
2020-11,41-49,4,321931,0.7437432244797798
2020-11,50+,1,383606,0.6812615026876535
2020-11,50+,2,515307,0.7175567186162811
2020-11,50+,3,380240,0.6787160740584893
2020-11,50+,4,491837,0.6773138255153638
2020-12,22-25,1,86617,0.6284678527309882
2020-12,22-25,2,149563,0.7050540574874802
2020-12,22-25,3,34343,0.6977550010191306
2020-12,22-25,4,44566,0.7005789166629269
2020-12,26-30,1,130507,0.6330388408284613
2020-12,26-30,2,210008,0.7101158051121862
2020-12,26-30,3,88805,0.7524238500084455
2020-12,26-30,4,144413,0.7262227084819234
2020-12,31-34,1,95335,0.6540619919232181
2020-12,31-34,2,150456,0.72966182804275
2020-12,31-34,3,83118,0.7561178084169494
2020-12,31-34,4,134018,0.7171200883463416
2020-12,35-40,1,125782,0.6730613283299677
2020-12,35-40,2,193824,0.7478279263661879
2020-12,35-40,3,129320,0.766331580575317
2020-12,35-40,4,201524,0.7242611301879677
2020-12,41-49,1,188382,0.69941395674746
2020-12,41-49,2,282964,0.7583791577727202
2020-12,41-49,3,221583,0.7609518780772894
2020-12,41-49,4,327726,0.7417965007353704
2020-12,50+,1,388777,0.6795900992085437
2020-12,50+,2,527063,0.7144610796052844
2020-12,50+,3,389973,0.6739133222043577
2020-12,50+,4,505483,0.6727209421484006
2021-01,22-25,1,80959,0.6226855568868193
2021-01,22-25,2,142479,0.6747310129913882
2021-01,22-25,3,30049,0.703084961229991
2021-01,22-25,4,39674,0.704315168624288
2021-01,26-30,1,121894,0.6220240536859895
2021-01,26-30,2,197100,0.6888280060882801
2021-01,26-30,3,83037,0.7587340583113552
2021-01,26-30,4,137146,0.7472401674128302
2021-01,31-34,1,96602,0.6376161984223929
2021-01,31-34,2,150956,0.7155263785473913
2021-01,31-34,3,84022,0.7601580538430411
2021-01,31-34,4,137420,0.7285329646339689
2021-01,35-40,1,124513,0.6627420429995261
2021-01,35-40,2,191696,0.7429993322761038
2021-01,35-40,3,127843,0.7704684652268798
2021-01,35-40,4,200022,0.7424533301336853
2021-01,41-49,1,183215,0.6900963349070763
2021-01,41-49,2,274728,0.7605777350688682
2021-01,41-49,3,215802,0.7705999017618002
2021-01,41-49,4,322280,0.757847213603078
2021-01,50+,1,390589,0.6526860715483539
2021-01,50+,2,528130,0.7049893018764319
2021-01,50+,3,388290,0.6718612377346829
2021-01,50+,4,511444,0.6765061277481015
2021-02,22-25,1,79168,0.6291557194826193
2021-02,22-25,2,139540,0.6843915723090154
2021-02,22-25,3,29460,0.7118126272912424
2021-02,22-25,4,38569,0.709403925432342
2021-02,26-30,1,120769,0.6263610694797506
2021-02,26-30,2,195939,0.6926492428766096
2021-02,26-30,3,82667,0.76238402264507
2021-02,26-30,4,136747,0.7480675992891983
2021-02,31-34,1,95955,0.6411755510395498
2021-02,31-34,2,150549,0.7180519299364326
2021-02,31-34,3,83627,0.7612134836834994
2021-02,31-34,4,137229,0.7294522294850214
2021-02,35-40,1,123874,0.6656844858485235
