year_month,high_exposure,young,n_cells,mean_flow,outcome
2019-02,0,0,94276,1.5848254062539775,n_hire
2019-02,0,1,13001,2.2325205753403585,n_hire
2019-02,1,0,34224,1.0414913510986443,n_hire
2019-02,1,1,1535,1.641042345276873,n_hire
2019-03,0,0,94276,1.568193389621961,n_hire
2019-03,0,1,13001,2.3039766171832934,n_hire
2019-03,1,0,34224,1.0056100981767182,n_hire
2019-03,1,1,1535,1.4671009771986971,n_hire
2019-04,0,0,94276,1.7338134838134838,n_hire
2019-04,0,1,13001,2.5720329205445736,n_hire
2019-04,1,0,34224,1.1077314165497896,n_hire
2019-04,1,1,1535,1.6390879478827365,n_hire
2019-05,0,0,94276,1.7251898680470108,n_hire
2019-05,0,1,13001,2.7164833474348127,n_hire
2019-05,1,0,34224,1.204622487143525,n_hire
2019-05,1,1,1535,1.6228013029315962,n_hire
2019-06,0,0,94276,2.0930247358818788,n_hire
2019-06,0,1,13001,3.691331436043381,n_hire
2019-06,1,0,34224,1.241964703132305,n_hire
2019-06,1,1,1535,2.4599348534201955,n_hire
2019-07,0,0,94276,1.4743094743094742,n_hire
2019-07,0,1,13001,3.648719329282363,n_hire
2019-07,1,0,34224,0.7741643291257597,n_hire
2019-07,1,1,1535,2.600651465798045,n_hire
2019-08,0,0,94276,1.4371632228775086,n_hire
2019-08,0,1,13001,1.9314668102453656,n_hire
2019-08,1,0,34224,0.823252688172043,n_hire
2019-08,1,1,1535,1.7791530944625409,n_hire
2019-09,0,0,94276,1.853812210955068,n_hire
2019-09,0,1,13001,2.3605876471040688,n_hire
2019-09,1,0,34224,1.207047685834502,n_hire
2019-09,1,1,1535,2.2833876221498373,n_hire
2019-10,0,0,94276,1.6392401035258175,n_hire
2019-10,0,1,13001,2.370971463733559,n_hire
2019-10,1,0,34224,1.233257363253857,n_hire
2019-10,1,1,1535,1.7863192182410423,n_hire
2019-11,0,0,94276,1.6529021171878315,n_hire
2019-11,0,1,13001,2.756018767787093,n_hire
2019-11,1,0,34224,1.1291783543712015,n_hire
2019-11,1,1,1535,1.409771986970684,n_hire
2019-12,0,0,94276,1.5404238618524333,n_hire
2019-12,0,1,13001,2.2393662025998,n_hire
2019-12,1,0,34224,1.2516947171575503,n_hire
2019-12,1,1,1535,1.4469055374592834,n_hire
2020-01,0,0,94276,1.5595167380881667,n_hire
2020-01,0,1,13001,2.453426659487732,n_hire
2020-01,1,0,34224,1.3401706404862086,n_hire
2020-01,1,1,1535,1.585016286644951,n_hire
2020-02,0,0,94276,1.457550171835886,n_hire
2020-02,0,1,13001,1.9543881239904624,n_hire
2020-02,1,0,34224,0.977705703599813,n_hire
2020-02,1,1,1535,1.454071661237785,n_hire
2020-03,0,0,94276,1.615193686622258,n_hire
2020-03,0,1,13001,2.430505345742635,n_hire
2020-03,1,0,34224,0.9572522206638616,n_hire
2020-03,1,1,1535,1.3563517915309449,n_hire
2020-04,0,0,94276,1.543277186134329,n_hire
2020-04,0,1,13001,2.3622798246288745,n_hire
2020-04,1,0,34224,0.9332339878447872,n_hire
2020-04,1,1,1535,1.4156351791530946,n_hire
2020-05,0,0,94276,1.34436123721838,n_hire
2020-05,0,1,13001,2.084224290439197,n_hire
2020-05,1,0,34224,0.8399076671341749,n_hire
2020-05,1,1,1535,1.1732899022801302,n_hire
2020-06,0,0,94276,1.6217807289235862,n_hire
2020-06,0,1,13001,2.868625490346896,n_hire
2020-06,1,0,34224,0.9805984104721832,n_hire
2020-06,1,1,1535,2.0371335504885995,n_hire
2020-07,0,0,94276,1.2403262760405618,n_hire
2020-07,0,1,13001,3.040919929236213,n_hire
2020-07,1,0,34224,0.6201788218793829,n_hire
2020-07,1,1,1535,1.8912052117263844,n_hire
2020-08,0,0,94276,1.2366349866349866,n_hire
2020-08,0,1,13001,1.5919544650411508,n_hire
2020-08,1,0,34224,0.6387038335670874,n_hire
2020-08,1,1,1535,1.1042345276872965,n_hire
2020-09,0,0,94276,1.5378145021002163,n_hire
2020-09,0,1,13001,2.097761710637643,n_hire
2020-09,1,0,34224,0.9689983637213652,n_hire
2020-09,1,1,1535,1.4436482084690554,n_hire
2020-10,0,0,94276,1.3917009631295345,n_hire
2020-10,0,1,13001,2.006537958618568,n_hire
2020-10,1,0,34224,1.0522732585320242,n_hire
2020-10,1,1,1535,1.3543973941368077,n_hire
2020-11,0,0,94276,1.3165386736815308,n_hire
2020-11,0,1,13001,1.9590800707637877,n_hire
2020-11,1,0,34224,0.8462190275829827,n_hire
2020-11,1,1,1535,1.1856677524429968,n_hire
2020-12,0,0,94276,1.6515019729305445,n_hire
2020-12,0,1,13001,2.3525113452811324,n_hire
2020-12,1,0,34224,1.1155329593267882,n_hire
2020-12,1,1,1535,1.4612377850162863,n_hire
2021-01,0,0,94276,1.2359030930459505,n_hire
