age_group,cells,firms,mean_hire,mean_sep
22-25,1989014,200726,1.8098897242553345,1.7453733357331824
26-30,2293968,242160,1.62310023505123,1.5783119032174815
31-34,1920045,237396,1.3735334328101685,1.3428893593639732
35-40,2268884,269030,1.3859478933255291,1.3548211367350644
41-49,2732186,308701,1.4333131053303103,1.41376575386888
50+,4014616,377927,1.8270160832318707,1.859268732053078
