period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,variant,age_group
2019H1,-0.0049666160942751,0.0153595042816572,0.746424256334345,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2019H2,-0.0312300899534402,0.0160789081367039,0.0521005922764188,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2020H1,-0.0346539464476281,0.0148788437947489,0.0198550809542873,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2020H2,-0.0467669089330955,0.0154496040930623,0.0024694333065872,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2021H1,-0.0179403595416214,0.0106133336709112,0.090959015548731,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2021H2,-0.0513376156284349,0.0112928922079803,5.46721013810701e-06,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2022H1,0.0,0.0,,11676912,21169966,True,50.5447950363159,reference,V2023_22-25,22-25
2022H2,-0.0498636205391874,0.0082833579938677,1.74702783352561e-09,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2023H1,0.005752949111992,0.0097276611555293,0.554251730786294,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2023H2,-0.0180104428444652,0.0122678676414429,0.142077363568673,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2024H1,-0.282934263980734,0.014511332878464,1.15350859251022e-84,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2024H2,-0.3469370373738,0.0169018433643581,1.2464532449024201e-93,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2025H1,-0.587169089638726,0.0258774416451487,5.574878243335459e-114,11676912,21169966,True,50.5447950363159,ok,V2023_22-25,22-25
2019H1,-0.0097314160773989,0.0160757171153127,0.544947262379717,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2019H2,-0.0370952368250527,0.016814683803966,0.027375488014922,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2020H1,-0.0409553011971447,0.0154442800739706,0.0080061505878066,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2020H2,-0.0524841283058707,0.0160426125849499,0.0010696158085874,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2021H1,-0.0208140624448065,0.0108846023345477,0.055844352037029,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2021H2,-0.0539055959554167,0.0116975204830464,4.0598925407875e-06,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2022H1,0.0,0.0,,8841456,12863218,True,26.5985689163208,reference,V2022_22-25,22-25
2022H2,-0.0472494019402957,0.0087238217320237,6.09009022628858e-08,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2023H1,-0.201075958620516,0.119509830684047,0.0924708411676077,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2023H2,-0.0237241858067061,0.137641215585062,0.863152541387998,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2024H1,-0.357791336657924,0.277664321765263,0.197545837726412,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2024H2,-0.643459638130577,0.268095890778729,0.0163901440804498,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2025H1,-1.31746966283874,0.354196350763942,0.0001995364906451,8841456,12863218,True,26.5985689163208,ok,V2022_22-25,22-25
2019H1,-0.0098125009614317,0.0160757876144259,0.541603451323182,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2019H2,-0.0371370978740241,0.01681614329139,0.0272150473733472,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2020H1,-0.0409900625887548,0.0154452378159546,0.0079568228270505,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2020H2,-0.0525100280929493,0.0160429199896169,0.0010637608654257,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2021H1,-0.0207937589161261,0.0108847348412536,0.0560869143952357,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2021H2,-0.0538658480574417,0.0116976047520858,4.12740749049743e-06,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2022H1,0.0,0.0,,8837322,12855956,True,23.4243340492249,reference,V2021_22-25,22-25
2022H2,-0.0473255094838364,0.0087251588352928,5.827061128384e-08,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2023H1,-0.293959368620343,0.340892893258956,0.388510467277116,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2023H2,-0.557223219245427,0.405006929142033,0.168872332174292,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2024H1,-0.343504705303121,0.463312387049731,0.458444531851097,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2024H2,-0.539329889745784,0.372850866794779,0.14803617691381,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
2025H1,-0.53157399730703,0.53307772332961,0.318677553793949,8837322,12855956,True,23.4243340492249,ok,V2021_22-25,22-25
