period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,trunc,assignment
2019H1,0.0122735660763751,0.0145888242844886,0.400180343435544,7944780,16445333,True,34.2595329284668,ok,2022,true
2019H2,-0.0165439480589348,0.0145582374902628,0.255790144765223,7944780,16445333,True,34.2595329284668,ok,2022,true
2020H1,-0.0193072713843003,0.0119963773975511,0.107523411586071,7944780,16445333,True,34.2595329284668,ok,2022,true
2020H2,-0.0315960708349542,0.012040206217278,0.0086849343653533,7944780,16445333,True,34.2595329284668,ok,2022,true
2021H1,0.0,0.0,,7944780,16445333,True,34.2595329284668,reference,2022,true
2021H2,-0.0349666792961019,0.0081984589273915,1.99874686623702e-05,7944780,16445333,True,34.2595329284668,ok,2022,true
2022H1,0.0194220840924729,0.0108466083157255,0.0733553271057757,7944780,16445333,True,34.2595329284668,ok,2022,true
2022H2,-0.034322701120857,0.0133927601583449,0.0103837749722712,7944780,16445333,True,34.2595329284668,ok,2022,true
2023H1,0.0250136998479773,0.0145277153596009,0.0851072571555374,7944780,16445333,True,34.2595329284668,ok,2022,true
2023H2,-0.0011677648489699,0.015773028586286,0.940982097937851,7944780,16445333,True,34.2595329284668,ok,2022,true
2019H1,0.0115586859794817,0.0143583385644152,0.42081069996441,7530960,16097654,True,33.3976218700409,ok,2022,asof
2019H2,-0.0134493325243107,0.0143203383905904,0.347639873002969,7530960,16097654,True,33.3976218700409,ok,2022,asof
2020H1,-0.018314096014108,0.0117949841955782,0.120494334912771,7530960,16097654,True,33.3976218700409,ok,2022,asof
2020H2,-0.028739917620853,0.0118048629887152,0.0149089640939133,7530960,16097654,True,33.3976218700409,ok,2022,asof
2021H1,0.0,0.0,,7530960,16097654,True,33.3976218700409,reference,2022,asof
2021H2,-0.0315274772557915,0.0079983468674443,8.08895387823002e-05,7530960,16097654,True,33.3976218700409,ok,2022,asof
2022H1,0.0202985330776839,0.0106668460634855,0.0570463558174332,7530960,16097654,True,33.3976218700409,ok,2022,asof
2022H2,-0.0251250507087328,0.0131463512560121,0.0559813836197973,7530960,16097654,True,33.3976218700409,ok,2022,asof
2023H1,-0.324277256648229,0.0170762047011164,2.0629876681451398e-80,7530960,16097654,True,33.3976218700409,ok,2022,asof
2023H2,-0.414391658090631,0.0223581141984431,1.09232141525552e-76,7530960,16097654,True,33.3976218700409,ok,2022,asof
