grp,expband,fresh,n,ws,wh
15H,3-5,0,184.0,13507.339856,87.0
15H,3-5,1,5074.0,377150.232896,2987.0
15H,6-10,0,478.0,34048.8096668,211.0
15H,6-10,1,9503.0,700331.1276708,5225.0
15H,na,0,64.0,4157.43995,20.0
15H,na,1,237.0,13336.9098496,79.0
15P,0-2,0,25.0,1852.829978,10.0
15P,0-2,1,927.0,68866.65812000001,655.0
15P,11-20,0,232.0,15596.9899068,83.0
15P,11-20,1,2805.0,201327.5064205,1478.0
15P,21+,0,2630.0,179215.9484891,1071.0
15P,21+,1,8477.0,582688.8417222,3872.0
15P,3-5,0,49.0,3481.689949,23.0
15P,3-5,1,1080.0,79887.538006,718.0
15P,6-10,0,113.0,8035.069922,40.0
15P,6-10,1,1889.0,138605.647148,1099.0
15P,na,0,342.0,23365.379725,123.0
15P,na,1,499.0,23425.4797909,75.0
15S,0-2,0,50.0,3532.090002,22.0
15S,0-2,1,3235.0,212028.795272,746.0
15S,11-20,0,627.0,41100.909268,132.0
15S,11-20,1,4733.0,320271.815229,1363.0
15S,21+,0,1400.0,91351.768657,385.0
15S,21+,1,2617.0,167927.30849640002,850.0
15S,3-5,0,60.0,4225.79997,25.0
15S,3-5,1,3440.0,227168.375073,793.0
15S,6-10,0,142.0,9924.239882999998,47.0
15S,6-10,1,3746.0,250872.735211,964.0
15S,na,0,17.0,994.73997,6.0
15S,na,1,37.0,1192.809988,0.0
15V,0-2,0,31.0,1483.909947,0.0
15V,0-2,1,813.0,45470.108612,114.0
15V,11-20,0,231.0,14174.539752,47.0
15V,11-20,1,1910.0,118882.807348,540.0
15V,21+,0,1468.0,80868.5091612,296.0
15V,21+,1,2710.0,138559.1380746,439.0
15V,3-5,0,40.0,2049.519928,5.0
15V,3-5,1,756.0,42650.598655,119.0
15V,6-10,0,101.0,5817.149858,12.0
15V,6-10,1,1294.0,78672.047869,345.0
15V,na,0,35.0,1505.639988,0.0
15V,na,1,100.0,2668.389988,0.0
23E,0-2,0,2046.0,74598.0907894,141.0
23E,0-2,1,4342.0,166789.32193818,358.0
23E,11-20,0,5269.0,250360.09168755,1018.0
23E,11-20,1,10181.0,464253.6425397,1673.0
23E,21+,0,5512.0,314595.68138594,1741.0
23E,21+,1,10308.0,549137.3016544901,2655.0
23E,3-5,0,2013.0,79847.9009955,196.0
23E,3-5,1,3493.0,141221.5618131,314.0
23E,6-10,0,3273.0,137204.70144144,385.0
23E,6-10,1,5617.0,238408.7921115,675.0
23E,na,0,1283.0,45465.2102565,124.0
23E,na,1,2777.0,97384.55027688,212.0
23X,0-2,0,193.0,6592.4901068,6.0
23X,0-2,1,432.0,16105.5901569,21.0
23X,11-20,0,3404.0,144441.34050334,365.0
23X,11-20,1,6149.0,266448.6306401,767.0
23X,21+,0,1249.0,58420.3900063,157.0
23X,21+,1,2589.0,115394.08009958,323.0
23X,3-5,0,155.0,6538.3901561,11.0
23X,3-5,1,318.0,12207.2001922,13.0
23X,6-10,0,1253.0,49899.6205389,81.0
23X,6-10,1,2337.0,95222.87064294,194.0
23X,na,0,52.0,1450.6700158,0.0
23X,na,1,169.0,6506.8899944,10.0
24P,0-2,0,8447.0,396509.57335978,1668.0
24P,0-2,1,9488.0,508701.46240778,2677.0
24P,11-20,0,4777.0,317493.5017458,2216.0
24P,11-20,1,10164.0,640903.94262548,4450.0
24P,21+,0,3274.0,230070.7207826,1710.0
24P,21+,1,6701.0,448853.9117446,3398.0
24P,3-5,0,1936.0,110748.2008302,675.0
24P,3-5,1,3326.0,197593.9811052,1218.0
24P,6-10,0,3084.0,191375.6713623,1261.0
24P,6-10,1,5710.0,346130.47179346,2235.0
24P,na,0,90.0,7008.270024,59.0
24P,na,1,104.0,7331.650024,58.0
25H,0-2,0,1025.0,56111.9905025,300.0
25H,0-2,1,1919.0,133330.7413634,1034.0
25H,11-20,0,2330.0,161457.1810985,1237.0
25H,11-20,1,7162.0,492788.3932134,3831.0
25H,21+,0,2661.0,191364.1112864,1517.0
25H,21+,1,6129.0,424330.5823639,3391.0
25H,3-5,0,818.0,52382.4404995,375.0
25H,3-5,1,2082.0,151254.9915944,1248.0
25H,6-10,0,1647.0,114397.3310517,864.0
25H,6-10,1,4488.0,321891.6628495,2626.0
25H,na,0,329.0,20827.0302192,141.0
25H,na,1,953.0,52926.790286200005,327.0
25K,0-2,0,1415.0,66705.7805638,237.0
25K,0-2,1,2009.0,117483.9105897,544.0
25K,11-20,0,2669.0,168354.80039,1101.0
25K,11-20,1,5429.0,342672.809648,2153.0
25K,21+,0,2394.0,146281.8301791,704.0
25K,21+,1,4978.0,296201.15953,1349.0
25K,3-5,0,1323.0,72740.9604233,400.0
25K,3-5,1,2142.0,135671.7604497,801.0
25K,6-10,0,2336.0,140148.6007309,861.0
25K,6-10,1,3816.0,242904.4604398,1496.0
25K,na,0,974.0,50479.8101782,277.0
25K,na,1,1846.0,94621.9198302,498.0
25M,0-2,0,1192.0,61032.3507182,325.0
25M,0-2,1,1101.0,71617.6806884,562.0
25M,11-20,0,1808.0,137078.8311005,1195.0
25M,11-20,1,2798.0,200483.7410512,1667.0
25M,21+,0,623.0,47787.980332,425.0
25M,21+,1,1035.0,74827.9403661,653.0
25M,3-5,0,997.0,70185.120673,581.0
25M,3-5,1,1003.0,72754.5806899,653.0
25M,6-10,0,1349.0,101720.2509124,893.0
25M,6-10,1,1661.0,120290.34079,1025.0
25M,na,0,48.0,3390.7400647,35.0
25M,na,1,99.0,6546.7900832000005,57.0
25T,0-2,0,97.0,5423.870028,18.0
25T,0-2,1,349.0,21574.54019,46.0
25T,11-20,0,241.0,15206.990113999998,38.0
25T,11-20,1,1276.0,83489.40079199999,212.0
25T,21+,0,1005.0,63299.970797,105.0
25T,21+,1,1703.0,107529.901206,220.0
25T,3-5,0,46.0,2565.240026,0.0
25T,3-5,1,429.0,26381.070234,71.0
