term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
post_rb_x_high,0.0325935689627451,0.0041876874898971,7.071809329519371e-15,29591094,128110140,True,60.7734298706055,ok
post_gpt_x_high,0.0235894894272342,0.0036931016840255,1.68678591272844e-10,29591094,128110140,True,60.7734298706055,ok
