grp,expband,fresh,n,ws,wh
01Z,11-20,0,539.0,12127.9800708,0.0
01Z,11-20,1,631.0,15078.6400247,0.0
01Z,21+,0,2140.0,47004.84026794,10.0
01Z,21+,1,2462.0,53198.5702665,14.0
01Z,6-10,0,46.0,849.479999,0.0
01Z,6-10,1,98.0,2069.28,0.0
01Z,na,0,56008.0,1449259.30656763,1738.0
01Z,na,1,50966.0,1206249.77585605,531.0
02Z,0-2,0,3228.0,94114.56050724,215.0
02Z,0-2,1,13366.0,394411.29416091,376.0
02Z,11-20,0,27012.0,901588.43684246,2023.0
02Z,11-20,1,29073.0,1009378.18684025,2263.0
02Z,21+,0,24388.0,908963.17524042,2738.0
02Z,21+,1,32771.0,1236155.49585377,3663.0
02Z,3-5,0,4912.0,144112.8610296,192.0
02Z,3-5,1,8188.0,263444.37222172,286.0
02Z,6-10,0,13266.0,425342.68340864,719.0
02Z,6-10,1,13064.0,438096.01395971,703.0
02Z,na,0,124283.0,4314322.12970375,12806.0
02Z,na,1,123106.0,3929690.31341983,8831.0
03A,0-2,0,12071.0,452178.52511014,1058.0
03A,0-2,1,23906.0,960120.21244786,2276.0
03A,11-20,0,30136.0,1498029.51071814,6790.0
03A,11-20,1,46320.0,2266028.08170128,10265.0
03A,21+,0,53164.0,2947431.58015819,16745.0
03A,21+,1,75800.0,3955657.92062587,21838.0
03A,3-5,0,12619.0,517071.31596574,1432.0
03A,3-5,1,16972.0,727496.54883193,2031.0
03A,6-10,0,21581.0,967954.29956361,3574.0
03A,6-10,1,28650.0,1304808.31051691,4955.0
03A,na,0,32817.0,1235089.50470811,4451.0
03A,na,1,42565.0,1573767.34346343,4932.0
03N,0-2,0,7661.0,298936.40304215,826.0
03N,0-2,1,10109.0,411441.25479526,1081.0
03N,11-20,0,4683.0,254318.41138709,1331.0
03N,11-20,1,7440.0,386700.03185867,1935.0
03N,21+,0,10295.0,620317.05218214,3909.0
03N,21+,1,12608.0,732856.73162917,4744.0
03N,3-5,0,3441.0,141625.7313906,422.0
03N,3-5,1,3296.0,135277.4314965,389.0
03N,6-10,0,3165.0,140056.88124635,529.0
03N,6-10,1,4267.0,197016.78126805,667.0
03N,na,0,720.0,36234.7101794,181.0
03N,na,1,692.0,26931.53005948,92.0
03T,0-2,0,3750.0,140424.7513274,404.0
03T,0-2,1,5915.0,230367.39229582,633.0
03T,11-20,0,335.0,13685.23016668,29.0
03T,11-20,1,775.0,31779.320318,129.0
03T,3-5,0,2927.0,118816.8210815,376.0
03T,3-5,1,3735.0,153951.64136942,487.0
03T,6-10,0,795.0,32574.48035698,101.0
03T,6-10,1,1309.0,51911.9104052,175.0
03T,na,0,12.0,273.7800066,0.0
03T,na,1,10.0,562.6500149999999,5.0
13Z,0-2,1,12.0,670.920018,0.0
13Z,11-20,0,49.0,1724.3200053,0.0
13Z,11-20,1,90.0,3533.1400252000003,0.0
13Z,21+,0,453.0,22087.7998793,46.0
13Z,21+,1,495.0,22178.6799049,58.0
13Z,na,0,2661.0,111674.1906781,96.0
13Z,na,1,6849.0,300865.0412963,130.0
14P,0-2,0,13867.0,647082.4730736,1931.0
14P,0-2,1,20292.0,1104187.2943074,5051.0
14P,11-20,0,3128.0,185415.8503824,987.0
14P,11-20,1,7985.0,451758.23897548,2284.0
14P,21+,0,791.0,50663.6901025,311.0
14P,21+,1,1600.0,101605.3898906,629.0
14P,3-5,0,1324.0,70424.8501632,294.0
14P,3-5,1,3500.0,201807.7287782,1016.0
14P,6-10,0,1963.0,108775.8002813,502.0
14P,6-10,1,5103.0,286897.7692737,1342.0
15B,0-2,0,711.0,36932.460683100006,14.0
15B,0-2,1,6739.0,414245.312629,88.0
15B,11-20,0,923.0,57657.9311584,66.0
15B,11-20,1,6268.0,393478.1076933,497.0
15B,21+,0,12171.0,750900.9813538,1509.0
15B,21+,1,28984.0,1793824.0299594,2927.0
15B,3-5,0,708.0,42168.230992,19.0
15B,3-5,1,6229.0,384332.3711206,141.0
15B,6-10,0,799.0,48810.0911898,24.0
15B,6-10,1,6043.0,376290.1185855,381.0
15B,na,0,4241.0,265012.583716,502.0
15B,na,1,1097.0,60974.33065,121.0
15F,0-2,0,31.0,1840.549982,6.0
15F,0-2,1,1419.0,89991.129422,198.0
15F,11-20,0,107.0,6757.790013,14.0
15F,11-20,1,1927.0,124097.169019,385.0
15F,21+,0,2697.0,164671.369716,473.0
15F,21+,1,7789.0,488400.78695190005,1531.0
15F,3-5,0,45.0,2935.349967,11.0
15F,3-5,1,1231.0,78821.36946300001,197.0
15F,6-10,0,25.0,1543.580016,0.0
15F,6-10,1,892.0,57684.929456,185.0
15F,na,0,465.0,28816.029894,75.0
15F,na,1,132.0,7175.449929,19.0
15G,0-2,0,618.0,36521.640064,228.0
15G,0-2,1,6884.0,498334.206653,5341.0
15G,11-20,0,4172.0,263946.0688066,1719.0
15G,11-20,1,29840.0,2072849.0882034,18069.0
15G,21+,0,6339.0,413247.073984,3168.0
15G,21+,1,18391.0,1265772.8981537002,11645.0
15G,3-5,0,617.0,41766.8099138,305.0
15G,3-5,1,6991.0,510272.77738310007,5299.0
15G,6-10,0,2070.0,128017.1305226,620.0
15G,6-10,1,18538.0,1286022.9217031,10171.0
15G,na,0,7556.0,504686.6176633,4565.0
15G,na,1,4252.0,211027.5868185,1291.0
15H,0-2,0,209.0,14221.679871,82.0
15H,0-2,1,4583.0,340311.652982,2810.0
15H,11-20,0,2289.0,162650.5691092,1039.0
15H,11-20,1,23999.0,1749197.5228930998,12141.0
15H,21+,0,6012.0,437096.2481664,2543.0
15H,21+,1,13352.0,955866.6897858,6181.0
15H,3-5,0,239.0,17129.169778,97.0
15H,3-5,1,5405.0,401204.42271,3074.0
15H,6-10,0,807.0,56606.449752,309.0
15H,6-10,1,11411.0,838911.1964938,5932.0
15H,na,0,228.0,15561.569874,97.0
15H,na,1,193.0,12266.0798377,82.0
15P,0-2,0,23.0,1702.2499750000002,10.0
15P,0-2,1,824.0,61382.928351,582.0
15P,11-20,0,241.0,15858.659863,96.0
15P,11-20,1,3072.0,221410.985745,1696.0
15P,21+,0,4066.0,277181.9264306,1889.0
15P,21+,1,8845.0,612659.8609555,4106.0
15P,3-5,0,76.0,5646.349905,39.0
15P,3-5,1,1162.0,85677.757986,722.0
15P,6-10,0,123.0,8200.659881,48.0
15P,6-10,1,1685.0,123376.877487,958.0
15P,na,0,897.0,61609.36882140001,451.0
15P,na,1,466.0,26178.5297138,112.0
15S,0-2,0,66.0,4663.049994,30.0
15S,0-2,1,3241.0,212789.904968,800.0
15S,11-20,0,1400.0,89633.97811200001,229.0
15S,11-20,1,4830.0,323891.27495600004,1325.0
15S,21+,0,3246.0,212575.3965182,897.0
