inr,expband,fresh,n,ws,wh
010c,0-2,0,883.0,36738.8004146,114.0
010c,0-2,1,568.0,23643.5603796,58.0
010c,11-20,0,82.0,5232.97006,30.0
010c,11-20,1,342.0,21137.89009,130.0
010c,3-5,0,124.0,4977.8000825,15.0
010c,3-5,1,100.0,4518.600076000001,14.0
010c,6-10,0,32.0,1812.860045,7.0
010c,6-10,1,67.0,3777.26004,22.0
140z,0-2,1,43.0,3832.730003,43.0
140z,11-20,1,74.0,5847.069884,61.0
140z,3-5,1,72.0,6251.499900000001,67.0
140z,6-10,1,95.0,7415.199837999999,67.0
140z,na,0,159.0,5905.1100534,19.0
140z,na,1,334.0,14682.9499962,56.0
142z,0-2,0,300.0,16529.5300773,86.0
142z,0-2,1,1485.0,104531.4597458,754.0
142z,11-20,0,684.0,51844.219825,411.0
142z,11-20,1,3163.0,229965.9993596,1743.0
142z,21+,0,354.0,26003.360058,208.0
142z,21+,1,604.0,43936.05995,350.0
142z,3-5,0,271.0,18571.809996,131.0
142z,3-5,1,1748.0,127843.339539,951.0
142z,6-10,0,362.0,26159.000043,194.0
142z,6-10,1,2301.0,164500.889055,1168.0
142z,na,0,45.0,1386.4499801,9.0
142z,na,1,113.0,4692.1999897000005,17.0
143a,0-2,0,475.0,24820.5204729,5.0
143a,0-2,1,6325.0,388874.6318710001,70.0
143a,11-20,0,804.0,50039.560975,44.0
143a,11-20,1,6695.0,419566.5183085,506.0
143a,21+,0,8685.0,537347.747612,1079.0
143a,21+,1,30380.0,1883687.1128136,3002.0
143a,3-5,0,522.0,30998.870760400005,8.0
143a,3-5,1,5390.0,333738.829372,151.0
143a,6-10,0,521.0,32270.950752,15.0
143a,6-10,1,4794.0,298814.4566655,318.0
143a,na,0,3012.0,188617.8824782,373.0
143a,na,1,1950.0,115663.011675,192.0
143b,0-2,0,39.0,2317.379982,6.0
143b,0-2,1,1160.0,73643.449565,154.0
143b,11-20,0,117.0,7664.639966000001,24.0
143b,11-20,1,2248.0,143748.86888700002,446.0
143b,21+,0,1855.0,113942.049767,328.0
143b,21+,1,7984.0,499891.9872342,1506.0
143b,3-5,0,57.0,3675.989977,11.0
143b,3-5,1,1139.0,73018.089464,187.0
143b,6-10,0,24.0,1594.079986,8.0
143b,6-10,1,555.0,36268.439658,131.0
143b,na,0,338.0,21212.339913,59.0
143b,na,1,197.0,11678.349915,28.0
143x,0-2,0,4112.0,181269.5314793,208.0
143x,0-2,1,7334.0,362658.9025888,591.0
143x,11-20,0,72.0,4402.0900280000005,17.0
143x,11-20,1,383.0,20916.1202076,38.0
143x,21+,0,49.0,3057.059994,14.0
143x,21+,1,223.0,13122.010102,32.0
143x,3-5,0,216.0,10661.5301331,16.0
143x,3-5,1,900.0,46906.6204559,78.0
143x,6-10,0,129.0,6175.43011,0.0
143x,6-10,1,745.0,41521.5806727,42.0
143x,na,0,67.0,2439.5700541,0.0
143x,na,1,171.0,7009.660020400001,18.0
144a,0-2,0,81.0,5333.099864000001,52.0
144a,0-2,1,2296.0,171949.04365399998,2147.0
144a,11-20,0,206.0,14216.859702,131.0
144a,11-20,1,2394.0,172813.935353,1686.0
144a,21+,0,1918.0,134354.966641,1220.0
144a,21+,1,5547.0,396936.0093898,3669.0
144a,3-5,0,82.0,6099.619794,74.0
144a,3-5,1,1578.0,117808.615756,1441.0
144a,6-10,0,109.0,7622.359832,74.0
144a,6-10,1,1565.0,113747.146834,1171.0
144a,na,0,4623.0,328039.790578,3229.0
144a,na,1,2413.0,159340.216063,1369.0
144b,0-2,0,16.0,1212.319952,16.0
144b,0-2,1,779.0,58266.777843,726.0
144b,11-20,0,494.0,35749.089147000006,336.0
144b,11-20,1,6727.0,489947.3255856001,5075.0
144b,21+,0,205.0,15470.819629,154.0
144b,21+,1,2349.0,174930.25471200002,1826.0
144b,3-5,0,48.0,3424.109931,33.0
144b,3-5,1,1104.0,79736.507945,810.0
144b,6-10,0,169.0,12027.029808,109.0
144b,6-10,1,2766.0,196938.365734,1807.0
144c,0-2,0,20.0,1515.39994,20.0
144c,0-2,1,639.0,48061.198162,614.0
144c,11-20,0,588.0,42996.718983,409.0
144c,11-20,1,7610.0,554154.2841950001,5602.0
144c,21+,0,704.0,51271.4587485,486.0
144c,21+,1,6045.0,445061.526984,4481.0
144c,3-5,0,61.0,4494.259862000001,52.0
144c,3-5,1,1050.0,77993.957351,914.0
144c,6-10,0,147.0,10393.529777,97.0
144c,6-10,1,2318.0,167937.775487,1662.0
