grp,expband,fresh,n,ws,wh
01Z,0-2,1,11.0,329.01,0.0
01Z,11-20,0,441.0,9873.4500604,0.0
01Z,11-20,1,681.0,16663.9500264,0.0
01Z,21+,0,1422.0,31672.4202141,12.0
01Z,21+,1,2544.0,54574.7602953,14.0
01Z,3-5,1,35.0,734.5100027999999,0.0
01Z,6-10,0,37.0,630.4600048,0.0
01Z,6-10,1,112.0,2490.5500074,0.0
01Z,na,0,46850.0,1178848.53528354,1423.0
01Z,na,1,50129.0,1226881.16629346,647.0
02Z,0-2,0,2359.0,72404.61014922,156.0
02Z,0-2,1,17527.0,505172.46599748,421.0
02Z,11-20,0,19341.0,643097.66437768,1482.0
02Z,11-20,1,31504.0,1090023.44737681,2374.0
02Z,21+,0,16869.0,623569.78346683,1842.0
02Z,21+,1,32039.0,1210975.28597125,3568.0
02Z,3-5,0,4172.0,124210.52087967,160.0
02Z,3-5,1,9992.0,316032.26284049,395.0
02Z,6-10,0,11395.0,361926.06287349,586.0
02Z,6-10,1,15465.0,518020.3245074,848.0
02Z,na,0,98671.0,3386935.26425509,10009.0
02Z,na,1,133578.0,4373981.65659448,10362.0
03A,0-2,0,10614.0,401641.284093,960.0
03A,0-2,1,27061.0,1089403.8847657,2418.0
03A,11-20,0,21484.0,1074481.24674379,4986.0
03A,11-20,1,47655.0,2342165.47238974,10663.0
03A,21+,0,39746.0,2214995.55712046,12786.0
03A,21+,1,78693.0,4133857.69156757,22679.0
03A,3-5,0,11639.0,477314.4752131,1356.0
03A,3-5,1,19335.0,824024.90009804,2264.0
03A,6-10,0,17004.0,764413.1570858901,2917.0
03A,6-10,1,32938.0,1513210.73274258,5737.0
03A,na,0,23796.0,907441.18336863,3358.0
03A,na,1,45128.0,1675289.68404541,5420.0
03N,0-2,0,6657.0,258741.19234605,735.0
03N,0-2,1,11116.0,451158.8854334,1138.0
03N,11-20,0,3760.0,205881.8610223,1101.0
03N,11-20,1,8372.0,442887.19192594,2334.0
03N,21+,0,7749.0,457508.01138323,2846.0
03N,21+,1,12361.0,736748.54170868,4773.0
03N,3-5,0,3046.0,127914.851171,395.0
03N,3-5,1,3822.0,156063.99167346,439.0
03N,6-10,0,2310.0,104788.9709994,400.0
03N,6-10,1,4596.0,212801.801507,743.0
03N,na,0,560.0,25885.06017,116.0
03N,na,1,671.0,28792.66014718,97.0
03T,0-2,0,3173.0,119947.6309985,349.0
03T,0-2,1,6701.0,263845.11263679,751.0
03T,11-20,0,179.0,6630.7400925,10.0
03T,11-20,1,662.0,26862.43026409,94.0
03T,3-5,0,2507.0,101557.60094764,331.0
03T,3-5,1,4061.0,166136.99151828,519.0
03T,6-10,0,149.0,5212.9700896,7.0
03T,6-10,1,440.0,15284.27016588,37.0
13Z,0-2,1,21.0,1297.050012,5.0
13Z,11-20,0,32.0,1633.130019,0.0
13Z,11-20,1,103.0,4129.4900182,5.0
13Z,21+,0,342.0,15999.3098609,23.0
13Z,21+,1,551.0,25581.4998784,67.0
13Z,na,0,1553.0,65882.25036980001,52.0
13Z,na,1,5565.0,246497.771104,102.0
14P,0-2,0,11226.0,521207.0422024,1513.0
14P,0-2,1,21267.0,1143946.1359416,5095.0
14P,11-20,0,2205.0,130418.8501947,698.0
14P,11-20,1,7927.0,453187.4490013,2351.0
14P,21+,0,435.0,28206.0400965,173.0
14P,21+,1,1261.0,80374.4900263,463.0
14P,3-5,0,999.0,54809.3200003,249.0
14P,3-5,1,3752.0,214862.1789138,1079.0
14P,6-10,0,1491.0,83622.340083,377.0
14P,6-10,1,5539.0,310811.6694072,1423.0
15B,0-2,0,477.0,24926.1904749,5.0
15B,0-2,1,6346.0,390182.001908,71.0
15B,11-20,0,824.0,51453.750958,52.0
15B,11-20,1,6773.0,424762.9783985,514.0
15B,21+,0,8721.0,539635.9275826,1089.0
15B,21+,1,30399.0,1885245.8828183,3015.0
15B,3-5,0,546.0,32592.7007834,14.0
15B,3-5,1,5557.0,344455.449597,173.0
15B,6-10,0,558.0,34379.730806,15.0
15B,6-10,1,5205.0,324233.3172976,335.0
15B,na,0,3018.0,189026.6224812,375.0
15B,na,1,1962.0,116461.601659,198.0
15F,0-2,0,39.0,2317.379982,6.0
15F,0-2,1,1160.0,73643.449565,154.0
15F,11-20,0,117.0,7664.639966000001,24.0
15F,11-20,1,2248.0,143748.86888700002,446.0
15F,21+,0,1854.0,113880.229767,328.0
15F,21+,1,7984.0,499891.9872342,1506.0
15F,3-5,0,57.0,3675.989977,11.0
15F,3-5,1,1139.0,73018.089464,187.0
15F,6-10,0,24.0,1594.079986,8.0
15F,6-10,1,555.0,36268.439658,131.0
15F,na,0,338.0,21212.339913,59.0
15F,na,1,197.0,11678.349915,28.0
15G,0-2,0,487.0,29107.649785,195.0
15G,0-2,1,5966.0,436996.6585054,4698.0
15G,11-20,0,3561.0,232491.4775654,1723.0
15G,11-20,1,28077.0,1954175.8990162003,17428.0
15G,21+,0,4658.0,304449.0850291,2404.0
15G,21+,1,17360.0,1197400.5105137,10929.0
15G,3-5,0,760.0,51256.8695734,374.0
15G,3-5,1,8094.0,579651.3590484,5338.0
15G,6-10,0,2020.0,130137.9495048,815.0
15G,6-10,1,18396.0,1270753.0430412,9794.0
15G,na,0,5709.0,378793.4104508,3485.0
15G,na,1,5258.0,288495.764667,2024.0
15H,0-2,0,288.0,19901.329811,109.0
15H,0-2,1,3949.0,292947.024447,2309.0
15H,11-20,0,2276.0,161884.658247,1084.0
15H,11-20,1,22888.0,1669318.1143867,11638.0
15H,21+,0,4511.0,322198.0685427,1861.0
15H,21+,1,12461.0,902185.4411936,5773.0
15H,3-5,0,488.0,35792.169408,256.0
15H,3-5,1,5470.0,406499.302816,3041.0
15H,6-10,0,1105.0,78563.639199,454.0
15H,6-10,1,11267.0,826930.2575768,5716.0
15H,na,0,187.0,11098.5799078,69.0
15H,na,1,197.0,14390.569824,101.0
15P,0-2,0,54.0,4045.879908,35.0
15P,0-2,1,781.0,58161.68847500001,537.0
15P,11-20,0,275.0,18639.24974,125.0
15P,11-20,1,3029.0,217318.275991,1626.0
15P,21+,0,3064.0,206826.7973101,1393.0
15P,21+,1,9053.0,630205.4107172,4226.0
15P,3-5,0,127.0,9498.009806000002,76.0
15P,3-5,1,1173.0,86317.64813300001,687.0
15P,6-10,0,139.0,9660.9098114,77.0
15P,6-10,1,1651.0,120895.097627,923.0
15P,na,0,682.0,45025.6891631,327.0
15P,na,1,564.0,35109.769533,184.0
15S,0-2,0,92.0,6466.699921,39.0
15S,0-2,1,2765.0,182088.045827,676.0
15S,11-20,0,1136.0,72467.158434,187.0
15S,11-20,1,4937.0,329753.6446764,1294.0
15S,21+,0,2376.0,154365.217412,648.0
15S,21+,1,2607.0,173473.9180637,858.0
15S,3-5,0,102.0,7045.539877,38.0
15S,3-5,1,2665.0,176886.566352,655.0
15S,6-10,0,157.0,10741.249825,54.0
15S,6-10,1,2705.0,183385.986899,810.0
15S,na,0,79.0,4926.429951,26.0
15S,na,1,36.0,2247.039967,12.0
15V,0-2,0,35.0,1898.329954,0.0
15V,0-2,1,700.0,39686.188876,98.0
15V,11-20,0,214.0,12829.44978,49.0
15V,11-20,1,1305.0,79621.25828,282.0
15V,21+,0,2477.0,136678.4787615,537.0
15V,21+,1,3184.0,175855.63765216002,619.0
15V,3-5,0,76.0,4477.279866,18.0
15V,3-5,1,878.0,53716.348677,208.0
15V,6-10,0,146.0,9111.619805,33.0
15V,6-10,1,1692.0,106466.92768,466.0
15V,na,0,104.0,4498.3499566,12.0
15V,na,1,75.0,3818.109986,11.0
23E,0-2,0,2212.0,82508.90078,189.0
23E,0-2,1,4875.0,187236.4223816,338.0
23E,11-20,0,4913.0,238953.41156991,1012.0
23E,11-20,1,11256.0,528328.88209399,2046.0
23E,21+,0,3209.0,178476.99085488002,952.0
23E,21+,1,7102.0,390863.93085214,1917.0
23E,3-5,0,3145.0,125670.7214113,285.0
23E,3-5,1,4682.0,192709.5323618,442.0
23E,6-10,0,3579.0,145424.33151256,364.0
23E,6-10,1,6738.0,285718.542412,794.0
23E,na,0,1596.0,61701.3303322,205.0
23E,na,1,3216.0,120221.65015428,302.0
23X,0-2,0,107.0,3563.2500533,5.0
23X,0-2,1,242.0,9545.3002522,6.0
23X,11-20,0,1984.0,84907.95024148,175.0
23X,11-20,1,4895.0,213104.9900156,520.0
23X,21+,0,487.0,23998.020012,66.0
23X,21+,1,1333.0,62227.9899563,183.0
23X,3-5,0,295.0,10849.9102168,7.0
23X,3-5,1,573.0,22562.2104107,27.0
23X,6-10,0,2278.0,90916.79069186,164.0
23X,6-10,1,4454.0,183925.55095037,411.0
23X,na,0,532.0,20902.4501657,55.0
23X,na,1,1316.0,47655.830123,83.0
24P,0-2,0,7491.0,351948.7926371,1486.0
24P,0-2,1,9649.0,511235.5030222,2640.0
24P,11-20,0,4004.0,269284.7313832,1940.0
24P,11-20,1,10025.0,635120.9027151,4444.0
24P,21+,0,2255.0,156660.8105343,1138.0
24P,21+,1,4869.0,332452.2311788,2514.0
24P,3-5,0,2104.0,120787.85097,704.0
24P,3-5,1,4486.0,261794.6915666,1571.0
24P,6-10,0,2663.0,164787.9010726,1075.0
24P,6-10,1,6311.0,387825.3416966,2555.0
24P,na,0,119.0,8796.650011,69.0
24P,na,1,163.0,11595.410006,93.0
25H,0-2,0,723.0,42330.5503753,258.0
25H,0-2,1,1725.0,117840.0412925,900.0
25H,11-20,0,1867.0,129100.3408681,961.0
25H,11-20,1,6271.0,439967.3930769,3519.0
25H,21+,0,2472.0,178902.0412654,1431.0
25H,21+,1,4968.0,352076.1020455,2882.0
25H,3-5,0,824.0,54998.8905081,411.0
25H,3-5,1,2738.0,197445.2821564,1617.0
25H,6-10,0,1377.0,95012.5209745,719.0
25H,6-10,1,3966.0,282929.9525154,2274.0
25H,na,0,339.0,20265.8401597,127.0
25H,na,1,1051.0,60991.1403374,400.0
25K,0-2,0,884.0,44352.0303896,196.0
25K,0-2,1,1797.0,102813.060499,511.0
25K,11-20,0,1680.0,103851.5301686,661.0
25K,11-20,1,4675.0,292455.129581,1746.0
25K,21+,0,1683.0,99801.9900874,474.0
25K,21+,1,4384.0,264781.6595021,1178.0
25K,3-5,0,1081.0,61961.670278,361.0
25K,3-5,1,2420.0,149865.6003889,845.0
25K,6-10,0,1478.0,84998.2902956,485.0
25K,6-10,1,3297.0,207836.910195,1278.0
25K,na,0,812.0,40305.830094,213.0
25K,na,1,1688.0,85370.7299661,398.0
25M,0-2,0,484.0,26441.3403279,170.0
25M,0-2,1,903.0,62450.6705146,513.0
25M,11-20,0,942.0,72659.570667,624.0
25M,11-20,1,2348.0,169117.0508265,1412.0
25M,21+,0,368.0,28453.840199,245.0
25M,21+,1,750.0,53616.9902632,446.0
25M,3-5,0,577.0,41525.0603764,361.0
25M,3-5,1,1020.0,72916.8704804,594.0
25M,6-10,0,1050.0,78624.7307875,698.0
25M,6-10,1,1783.0,129641.1108592,1102.0
25M,na,0,40.0,2952.7100668000003,28.0
25M,na,1,117.0,7981.0900747,72.0
25T,0-2,0,56.0,3158.05003,9.0
25T,0-2,1,414.0,24193.800188,41.0
25T,11-20,0,261.0,17540.060168,61.0
25T,11-20,1,1155.0,74857.520749,186.0
25T,21+,0,866.0,53868.570638,75.0
