year,age_group,lam,corr,n_cells
2019,ALL,1.0,1.0,143700
2019,22-25,1.0,1.0,14554
2019,26-30,1.0,1.0,22531
2019,31-34,1.0,1.0,18455
2019,35-40,1.0,1.0,23705
2019,41-49,1.0,1.0,31773
2019,50+,1.0,1.0,32682
2021,ALL,0.916733029726041,0.923913575982464,108491
2021,22-25,0.8350731603378774,0.8441030519674004,9401
2021,26-30,0.8849776650275074,0.9040683959549176,16168
2021,31-34,0.906089128671307,0.9179186865376012,13503
2021,35-40,0.9206169936196328,0.926197948047738,18024
2021,41-49,0.935238044079842,0.9331316927988396,24997
2021,50+,0.9368020141860524,0.9440055850286232,26398
2022,ALL,0.8901534500300591,0.9042084014978516,102820
2022,22-25,0.8172375049244264,0.8234040051112267,8837
2022,26-30,0.8458959071150904,0.8777413896631421,14964
2022,31-34,0.868606538895304,0.8956228133444656,12827
2022,35-40,0.8940497687675626,0.9059601781838476,17096
2022,41-49,0.9123839471627548,0.9128412871420162,23687
2022,50+,0.9169280455794449,0.9294471069636046,25409
2023,ALL,0.8900334499064743,0.8928280143789372,95089
2023,22-25,0.8288464574214096,0.818659331048128,8281
2023,26-30,0.8711195338276023,0.8752170297834806,13486
2023,31-34,0.8695665904611013,0.8838791158401798,11855
2023,35-40,0.8852212581408415,0.8911573319589053,15971
2023,41-49,0.9059947637512544,0.8988988000632393,21847
2023,50+,0.9104786222634912,0.9144537169939496,23649
