age_group,olsplus1_g2,olsplus1_se,olsplus1_p,poisson_g2,poisson_se,poisson_p,poisson_mult_pct
22-25,-0.0100245097978098,0.0015600019249321,1.3103995479407618e-10,-0.174038479015202,0.0111380421214559,4.87389600843151e-55,-15.973543551658942
26-30,0.0001997185041197,0.0013935973518461,0.8860441867993488,-0.0531468124867371,0.0070932472097517,6.75261873552413e-14,-5.175921132555928
31-34,0.0087521241735246,0.0014635461675766,2.230271170475217e-09,0.0086243221625939,0.005682757834044,0.129107771053192,0.8661618771196533
35-40,0.0032371699587292,0.0012985514719076,0.0126701504141317,0.0057637186808552,0.0045912842324394,0.209347778570314,0.5780360865631939
41-49,0.0017029681523469,0.0011118668402515,0.1256138664014301,0.0004527020245692,0.0031422407255605,0.885445344043655,0.0452804509595283
50+,0.0103702652107661,0.0008850777984149,1.0456689059423592e-31,0.0235894894272342,0.0036931016840255,1.68678591272844e-10,2.386992217989148
