term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
post_rb_x_high,0.0284958774244371,0.0022222178251546,1.21624048990946e-37,24076650,115893919,True,47.633898973465,ok
post_gpt_x_high,0.0213579982247574,0.0034924685923381,9.62881245709245e-10,24076650,115893919,True,47.633898973465,ok
