term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group
post_rb_x_high,-0.0066011857590805,0.0107084135588494,0.537598534388841,11682918,21181520,True,22.2788059711456,ok,22-25
post_gpt_x_high,-0.174038479015202,0.0111380421214559,4.87389600843151e-55,11682918,21181520,True,22.2788059711456,ok,22-25
post_rb_x_high,0.0123726128630069,0.0082068779688631,0.131659315639904,15983058,36258195,True,31.4755229949951,ok,26-30
post_gpt_x_high,-0.0531468124867371,0.0070932472097517,6.75261873552413e-14,15983058,36258195,True,31.4755229949951,ok,26-30
post_rb_x_high,0.0237165751407156,0.0066588766070534,0.0003685341432322,14225562,31866644,True,27.5391068458557,ok,31-34
post_gpt_x_high,0.0086243221625939,0.005682757834044,0.129107771053192,14225562,31866644,True,27.5391068458557,ok,31-34
post_rb_x_high,0.0071035988713255,0.0064398899829145,0.270000177667519,16967730,45465068,True,30.3478090763092,ok,35-40
post_gpt_x_high,0.0057637186808552,0.0045912842324394,0.209347778570314,16967730,45465068,True,30.3478090763092,ok,35-40
post_rb_x_high,0.0167586597840245,0.0051147888967143,0.0010509838594123,21340410,69055871,True,41.1723248958588,ok,41-49
post_gpt_x_high,0.0004527020245692,0.0031422407255605,0.885445344043655,21340410,69055871,True,41.1723248958588,ok,41-49
post_rb_x_high,0.0325935689627451,0.0041876874898971,7.071809329519371e-15,29591094,128110140,True,58.3262138366699,ok,50+
post_gpt_x_high,0.0235894894272342,0.0036931016840255,1.68678591272844e-10,29591094,128110140,True,58.3262138366699,ok,50+
