date,outcome,n_post_months,coef,se,status,n_obs,spec
2023-01,hires,30,-0.0153799363451315,0.0204879323412041,ok,11013772,grid
2023-04,hires,27,-0.0160572986869059,0.0207680092926589,ok,11013772,grid
2023-07,hires,24,-0.0178905128321899,0.0239008902817724,ok,11013772,grid
2023-10,hires,21,-0.0371295131146302,0.0268477150965347,ok,11013772,grid
2024-01,hires,18,-0.034969826655117,0.0300571163731919,ok,11013772,grid
2024-04,hires,15,-0.0374918391280622,0.0337466115375769,ok,11013772,grid
2024-07,hires,12,-0.0405915300091923,0.0434097945996708,ok,11013772,grid
