gamma,se,n_obs,status,tax_coef,variant,payroll_tax_control
0.0070046970743458,0.0088734947906135,11208600,ok,,floor,False
0.0082247048630953,0.0086869210564727,11095344,ok,,coverage>=0.50,False
0.0103654568797544,0.0096380335603529,10325718,ok,,coverage>=0.75,False
0.0057835652681429,0.0087307378834592,11208600,ok,0.0317656341538898,floor,True
-0.0005087533929886,0.0115268611568537,38398230,ok,,shrunk,False
-0.0015875023217067,0.0114004141440063,38398230,ok,0.0284509485988952,shrunk,True
