clerical_t,clerical_t1,fresh_t,fresh_t1,age_group,n,year
0,0,0,0,22-29,121807,2022
0,1,0,1,50+,2654,2022
1,0,0,1,50+,3101,2022
1,0,1,1,22-29,9174,2022
0,1,0,1,22-29,5542,2022
0,0,1,0,30-49,193344,2022
0,0,1,1,30-49,1336607,2022
1,1,0,0,30-49,28129,2022
0,0,0,1,22-29,81018,2022
1,0,0,0,30-49,4124,2022
1,1,1,1,50+,70079,2022
1,1,1,1,30-49,85110,2022
1,0,0,0,50+,2110,2022
1,0,1,0,22-29,966,2022
1,0,0,1,22-29,7135,2022
0,0,0,1,30-49,170896,2022
0,0,1,1,22-29,366217,2022
0,1,1,0,30-49,1344,2022
0,1,1,1,50+,5583,2022
1,0,1,1,30-49,13949,2022
1,0,0,0,22-29,2424,2022
0,0,0,0,50+,281815,2022
0,0,1,0,50+,137463,2022
0,0,0,1,50+,97599,2022
1,1,0,0,22-29,16059,2022
1,1,0,0,50+,22875,2022
1,0,0,1,30-49,7651,2022
0,1,1,0,22-29,816,2022
0,1,0,0,50+,1960,2022
1,0,1,0,50+,411,2022
0,0,1,1,50+,1009234,2022
1,1,1,0,22-29,12157,2022
1,1,0,1,22-29,5340,2022
1,1,0,1,50+,8524,2022
0,1,1,1,22-29,6932,2022
