age_group,q4_pre,q4_post,rest_pre,rest_post,gap_pre,gap_post,selection_did
22-25,0.718912691001937,0.7297622379859406,0.6771238560547701,0.7042758985088914,0.0417888349471669,0.0254863394770492,-0.0163024954701176
26-30,0.7531479248854602,0.7504075335177698,0.7017692433048226,0.7158779485195941,0.0513786815806376,0.0345295849981757,-0.0168490965824619
31-34,0.7350032826373317,0.725725022217078,0.7208941345774376,0.7270990442923054,0.0141091480598941,-0.0013740220752274,-0.0154831701351215
35-40,0.7456374779526187,0.7396134733654766,0.7411974447291287,0.7475356755715287,0.0044400332234899,-0.0079222022060521,-0.012362235429542
41-49,0.7596620222646872,0.7579885656698955,0.7543728799652011,0.7633954914032736,0.005289142299486,-0.005406925733378,-0.0106960680328641
50+,0.6945052976216148,0.7284519964226234,0.7036519387598713,0.7431307610013363,-0.0091466411382564,-0.0146787645787129,-0.0055321234404565
