age_group,gamma1,se1,p1,gamma2,se2,p2,mean_zero,n_obs
22-25,0.0125485840537156,0.001549445069771,5.552210663907629e-16,0.0048042592454625,0.0016161581989568,0.0029524889684598,0.6966019961793791,11682918
26-30,0.0133531613837401,0.0013520799979573,5.289508613836168e-23,-0.004183645234184,0.0014282694686563,0.0033986760133487,0.6509440183474277,15983058
31-34,0.007734187940903,0.0014396561019675,7.776156105753245e-08,-0.0059168434354755,0.0015401610923915,0.0001221829959654,0.6420393092378354,14225562
35-40,0.0062622350523413,0.0012860768428283,1.120202358074509e-06,-0.001220955223926,0.0013764263193185,0.3750534455434144,0.6138996789788617,16967730
41-49,0.0005146102888277,0.0011126315141628,0.6437110660064622,-0.0006144996132737,0.0011824560067398,0.6032861126040434,0.5788954382788335,21340410
50+,-0.0027282677952793,0.0008740208995792,0.0017992416757751,-0.0029008585808616,0.0009378256693092,0.0019802756030479,0.5559120592161952,29591094
