inr,expband,fresh,n,ws,wh
145a,11-20,0,491.0,35180.3296528,235.0
145a,11-20,1,4989.0,367186.9939004,2680.0
145a,21+,0,636.0,48229.52967,320.0
145a,21+,1,3079.0,224787.0370913,1546.0
145a,3-5,0,29.0,2177.4099610000003,17.0
145a,3-5,1,694.0,51695.669149,370.0
145a,6-10,0,107.0,8003.459932,57.0
145a,6-10,1,1442.0,106682.038269,762.0
145a,na,0,42.0,2394.33998,12.0
145a,na,1,43.0,2539.619944,17.0
145b,0-2,0,50.0,3521.059959,23.0
145b,0-2,1,993.0,73668.398384,622.0
145b,11-20,0,373.0,26556.0598428,147.0
145b,11-20,1,5270.0,380387.0538858,2577.0
145b,21+,0,596.0,42917.519694,243.0
145b,21+,1,2534.0,186318.757216,1294.0
145b,3-5,0,34.0,2554.59995,21.0
145b,3-5,1,953.0,70893.298589,568.0
145b,6-10,0,94.0,6982.4399300000005,39.0
145b,6-10,1,2045.0,150312.42730500002,1081.0
145c,0-2,0,53.0,3932.709961,20.0
145c,0-2,1,1329.0,99043.317756,859.0
145c,11-20,0,477.0,32645.3496354,209.0
145c,11-20,1,5385.0,395722.6336879,2849.0
145c,21+,0,762.0,56338.629612,361.0
145c,21+,1,3530.0,258702.5366588,1797.0
145c,3-5,0,79.0,5865.329933,32.0
145c,3-5,1,1232.0,91571.468412,672.0
145c,6-10,0,189.0,12984.0099074,70.0
145c,6-10,1,2694.0,198299.646427,1492.0
145c,na,0,44.0,3360.749965,26.0
145c,na,1,39.0,2931.789939,25.0
145d,0-2,1,63.0,4723.709930999999,33.0
145d,11-20,0,14.0,1037.540014,0.0
145d,11-20,1,426.0,31853.089668,181.0
145d,21+,0,24.0,1786.940004,5.0
145d,21+,1,99.0,7272.069939,31.0
145d,3-5,1,70.0,5259.079898,43.0
145d,6-10,1,177.0,13046.029872,64.0
145e,0-2,1,65.0,4895.169877,47.0
145e,11-20,0,28.0,2103.2999600000003,17.0
145e,11-20,1,349.0,25688.879749,126.0
145e,21+,1,33.0,2472.189969,16.0
145e,3-5,1,93.0,6990.169857000001,59.0
145e,6-10,1,175.0,13128.609791,96.0
