baseline,outcome,gamma,se,n_obs
2019,stock,0.0070046970743458,0.0088734947906135,11208600
2019,hires,-0.0166789530927869,0.0121434955199459,11013772
2019,seps,-0.0170886965380185,0.0089008103736827,11013772
2022,stock,-0.0005053469181902,0.0072692988229114,12535614
2022,hires,-0.0100235003669247,0.0114937185865486,12327546
2022,seps,-0.0483496058100654,0.0085968478331864,12327546
