export_file,script,exhibit_scripts,manifest_rows,used_for,status
2026-09-20_2148_s61-s63/output_63_launchdated__63_summary.txt,63,,,,not read by any exhibit or manifest row
2026-09-20_2148_s61-s63/output_63_launchdated__horserace.csv,63,,,,not read by any exhibit or manifest row
2026-09-20_2148_s61-s63/output_63_launchdated__measure_correlation.csv,63,,,,not read by any exhibit or manifest row
2026-09-20_2148_s61-s63/output_63_launchdated__robustness_gradient.csv,63,,,,not read by any exhibit or manifest row
2026-09-21_0733_s66/output_66__66_log.txt,66,,,,not read by any exhibit or manifest row
2026-09-21_0733_s66/output_66__66_summary.txt,66,,,,not read by any exhibit or manifest row
2026-09-21_0733_s66/output_66__plain_flows.csv,66,,,,not read by any exhibit or manifest row
2026-09-21_0733_s66/output_66__plain_stock.csv,66,05_tab_descriptive_bands.py,,Online Appendix Table A9,read by the package
2026-09-21_0812_s68/68_log.txt,68,04_tab_estimation_sample.py,,Online Appendix Table A2,read by the package
2026-09-21_0812_s68/68_summary.txt,68,,,,not read by any exhibit or manifest row
2026-09-21_0812_s68/seasonal_gender.csv,68,,,,not read by any exhibit or manifest row
2026-09-21_0812_s68/seasonal_path.csv,68,,,,not read by any exhibit or manifest row
2026-09-21_0812_s68/seasonal_pooled.csv,68,,,,not read by any exhibit or manifest row
2026-09-21_2152_s68/68_summary.txt,68,,,,not read by any exhibit or manifest row
2026-09-21_2152_s68/seasonal_path.csv,68,03_figure3_quarterly_path.py,,Figure 3 of the paper,read by the package
2026-09-21_2152_s68/seasonal_pooled.csv,68,,,,not read by any exhibit or manifest row
2026-09-22_0105_s74/74_summary.txt,74,,,,not read by any exhibit or manifest row
2026-09-22_0105_s74/contrast_seasonal.csv,74,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/75_summary.txt,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/76_summary.txt,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/77_summary.txt,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/contrast_by_track.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/education_mix_by_sex.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/gender_by_track.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/gender_split.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/reference_window.csv,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s75_22_25_hires.csv,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s75_22_25_seps.csv,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s75_22_25_stock.csv,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s75_26_30_stock.csv,75,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_all.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_business_law_social.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_engineering.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_health_education_care.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_ict.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s76_other.csv,76,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s77_all.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s77_business_law_social.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s77_engineering.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s77_health_education_care.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_0712_s75-s77/vcov_s77_other.csv,77,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/78_summary.txt,78,07_tab_prepath.py,,Online Appendix Table A10,read by the package
2026-09-22_1333_s78/boundary_may.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/predrift.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/prepath_plain.csv,78,06_fig_prepath.py 07_tab_prepath.py,,Online Appendix Figure A5; Online Appendix Table A10,read by the package
2026-09-22_1333_s78/skill_placebo.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_boundary_may_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_predrift_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_predrift_26_30.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_prepath_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_prepath_26_30.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_ai_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_ai_26_30.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_both_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_both_26_30.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_edu_22_25.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_1333_s78/vcov_s78_skill_edu_26_30.csv,78,,,,not read by any exhibit or manifest row
2026-09-22_2232_s82-partA/82_summary.txt,82,,,,not read by any exhibit or manifest row
2026-09-22_2232_s82-partA/occ_route_appendix_coverage.csv,82,18_tab_score_precision_and_coverage.py,,Online Appendix Table A22 and Table A28,read by the package
2026-09-22_2232_s82-partA/occ_route_coverage.csv,82,04_tab_estimation_sample.py 18_tab_score_precision_and_coverage.py,M013 OA114 OA115 OA116 OA117,Online Appendix Table A2; Online Appendix Table A22 and Table A28; Section 2; IV.4 text,read by the package
2026-09-22_2232_s82-partA/occ_route_ssyk3_book.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/82_summary.txt,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/occ_route_flows.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/occ_route_gender.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/occ_route_ssyk3_book.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/occ_route_vintage.csv,82,19_tab_register_coverage.py,,Online Appendix Part IV coverage tables,read by the package
2026-09-22_2327_s82-partC/vcov_s82_gender_22_25.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/vcov_s82_seps_22_25.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/vcov_s82_vintage_cascade_back_2019.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2327_s82-partC/vcov_s82_vintage_code_2019_only.csv,82,,,,not read by any exhibit or manifest row
2026-09-22_2333_s83-partA/83_summary.txt,83,,,,not read by any exhibit or manifest row
2026-09-22_2333_s83-partA/occ_rest_descriptive.csv,83,,,,not read by any exhibit or manifest row
2026-09-22_2333_s83-partA/occ_rest_firststage.csv,83,12_fig_first_stage.py,M016 OA054 OA055 OA056 OA057 OA058 OA059,Online Appendix Figure A6; Section 2; Fig. A6 caption,read by the package
2026-09-22_2333_s83-partA/occ_rest_firststage_overlap.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/82_summary.txt,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/83_summary.txt,83,09_tab_industry_credit.py,,Online Appendix Table A12,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_cluster.csv,83,01_table1_headline.py 10_tab_cluster_industry.py,,Table 1 of the paper; Online Appendix Table A13,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_credit.csv,83,09_tab_industry_credit.py,,Online Appendix Table A12,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,83,01_table1_headline.py 07_tab_prepath.py,OA089 OA090 OA091 OA092 OA093 OA094,Table 1 of the paper; Online Appendix Table A10; III.2 pre-period,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv,83,09_tab_industry_credit.py,M053 M054 OA095,Online Appendix Table A12; Section 3; III.2 industry,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_reliability.csv,83,18_tab_score_precision_and_coverage.py,OA102 OA103 OA104,Online Appendix Table A22 and Table A28; III.3 text,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,83,18_tab_score_precision_and_coverage.py,M010 OA001 OA105,Online Appendix Table A22 and Table A28; Section 2; III.3 text,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_window.csv,83,01_table1_headline.py 14_tab_window.py,OA064,Table 1 of the paper; Online Appendix Table A17,read by the package
