"term","rb_x_highwfh_x_young","q1_x_highwfh_x_young","q2_x_highwfh_x_young","q3_x_highwfh_x_young","interim_x_highwfh_x_young","post_x_highwfh_x_young"
"rb_x_highwfh_x_young",0.00274576374828298,0.000511440499404184,-0.000117975235402997,-0.000293185169335611,-0.000539410306724633,-0.0011138409748845
"q1_x_highwfh_x_young",0.000511440499404184,0.000749459633979912,0.000439087644633005,9.79608366195725e-05,-2.20578322637224e-05,-0.000568999122616557
"q2_x_highwfh_x_young",-0.000117975235402997,0.000439087644633005,0.000555500348276184,0.000261856297076975,2.53756880469272e-05,-0.000155773222805444
"q3_x_highwfh_x_young",-0.000293185169335611,9.79608366195725e-05,0.000261856297076975,0.000570153205535689,0.000194698887560818,0.000116598502279653
"interim_x_highwfh_x_young",-0.000539410306724633,-2.20578322637224e-05,2.53756880469272e-05,0.000194698887560818,0.00179389246974395,0.00142380229621522
"post_x_highwfh_x_young",-0.0011138409748845,-0.000568999122616557,-0.000155773222805444,0.000116598502279653,0.00142380229621522,0.00379383243335243
